,flx-mouse-fold-0,flx-auc-fold-0,epm-mouse-fold-0,epm-auc-fold-0,oft-mouse-fold-0,oft-auc-fold-0,flx-mouse-fold-1,flx-auc-fold-1,epm-mouse-fold-1,epm-auc-fold-1,oft-mouse-fold-1,oft-auc-fold-1,flx-mouse-fold-2,flx-auc-fold-2,epm-mouse-fold-2,epm-auc-fold-2,oft-mouse-fold-2,oft-auc-fold-2,flx-mouse-fold-3,flx-auc-fold-3,epm-mouse-fold-3,epm-auc-fold-3,oft-mouse-fold-3,oft-auc-fold-3
0,Mouse3191,0.673779387407714,Mouse04193,0.43763335065279635,Mouse04193,0.4143521033254874,Mouse3191,0.6365602933132515,Mouse04205,0.5469135802469136,Mouse04191,0.35065692881075183,Mouse3191,0.5877200394020451,Mouse39125,0.47245878371001204,Mouse3191,0.41727700167277004,Mouse3191,0.6522157173651031,Mouse69065,0.5159893404397069,Mouse04191,0.3018107894439634
1,Mouse3193,0.7516094159070417,Mouse04201,0.41825584499790225,Mouse04201,0.3556017141039316,Mouse3193,0.6987466530863656,Mouse0643,0.4298133818843879,Mouse04205,0.5759032477530704,Mouse3193,0.6922173162941844,Mouse39133,0.5182935052324954,Mouse3193,0.3677326511032939,Mouse3193,0.7002981983923778,Mouse69074,0.4573047434493217,Mouse3191,0.36837108368371085
2,Mouse61631,0.6903950340008734,Mouse04202,0.5776119402985075,Mouse04202,0.46461813599967483,Mouse61635,0.708844712385111,Mouse1551,0.47555372950360436,Mouse3191,0.44553325195533255,Mouse78744,0.6686567134695582,Mouse6293,0.504504724666015,Mouse39125,0.3447478229317852,Mouse78752,0.6976922051619854,Mouse8582,0.4662698412698413,Mouse3193,0.3399504317236969
3,,,Mouse0630,0.4557505971192257,Mouse3191,0.3790632487906325,,,Mouse39114,0.5581050893550894,Mouse3193,0.3289414774544292,,,Mouse69064,0.5533709374160624,Mouse39133,0.32124208034533175,,,Mouse8891,0.610798650168729,Mouse69065,0.4187791897469316
4,,,Mouse0633,0.45940699577513033,Mouse3193,0.28879117364886475,,,Mouse39124,0.476162870674239,Mouse39114,0.47158018867924534,,,Mouse8580,0.46573529917173584,Mouse69064,0.5215802161909946,,,Mouse8894,0.4504078605858361,Mouse69074,0.43792902284880897
5,,,Mouse0634,0.41909855940664664,Mouse69072,0.5534986195674035,,,Mouse6291,0.4541820258553554,Mouse39124,0.45280036133694673,,,Mouse8581,0.4952380952380952,Mouse69072,0.5488727990784927,,,Mouse04193,0.4270979581458594,Mouse04193,0.5351560142434668
6,,,Mouse0642,0.46455953684869344,Mouse04191,0.32739148439558785,,,Mouse6292,0.5819351892568413,Mouse04193,0.5876395678677048,,,Mouse04193,0.4969985739080447,Mouse04191,0.3621202424424952,,,Mouse04201,0.4563865898775697,Mouse04201,0.3695989820168791
7,,,Mouse04205,0.5185185185185185,Mouse04205,0.4461632112292763,,,Mouse04193,0.5035541749118365,Mouse04201,0.4889593742397874,,,Mouse04201,0.4939547656279797,Mouse04193,0.5780674754058784,,,Mouse04202,0.567942496108415,Mouse04202,0.46753444701865626
8,,,Mouse04215,0.485776702670267,Mouse04215,,,,Mouse04201,0.522979518669667,Mouse04202,0.5986058610738528,,,Mouse04202,0.6324787107407747,Mouse04201,0.4014483803963397,,,Mouse04205,0.4246913580246913,Mouse04205,0.47404841193110614
9,,,Mouse0643,0.429676832043696,Mouse3192,,,,Mouse04202,0.627982785459207,Mouse04215,,,,Mouse04205,0.5061728395061729,Mouse04202,0.5828963947486079,,,Mouse04215,0.45979597959795976,Mouse04215,
