,flx-mouse-fold-0,flx-auc-fold-0,epm-mouse-fold-0,epm-auc-fold-0,oft-mouse-fold-0,oft-auc-fold-0,flx-mouse-fold-1,flx-auc-fold-1,epm-mouse-fold-1,epm-auc-fold-1,oft-mouse-fold-1,oft-auc-fold-1,flx-mouse-fold-2,flx-auc-fold-2,epm-mouse-fold-2,epm-auc-fold-2,oft-mouse-fold-2,oft-auc-fold-2,flx-mouse-fold-3,flx-auc-fold-3,epm-mouse-fold-3,epm-auc-fold-3,oft-mouse-fold-3,oft-auc-fold-3
0,Mouse3191,0.7266148980003991,Mouse04193,0.6436594182871419,Mouse04193,0.8940672339911884,Mouse3191,0.7655662218726098,Mouse04205,0.6320987654320988,Mouse04191,0.7732748560027105,Mouse3191,0.732357840282762,Mouse39125,0.755527350147396,Mouse3191,0.5761788507617884,Mouse3191,0.7989778843362739,Mouse69065,0.8165889407061959,Mouse04191,0.8440311711779542
1,Mouse3193,0.4607165162235439,Mouse04201,0.7533468095655822,Mouse04201,0.8818793390594883,Mouse3193,0.47427050083287675,Mouse0643,0.6258534365043241,Mouse04205,0.9419737171912486,Mouse3193,0.45892781642801495,Mouse39133,0.7264942280720682,Mouse3193,0.7150223856731691,Mouse3193,0.46838793507577753,Mouse69074,0.654804532816581,Mouse3191,0.6040847235408472
2,Mouse61631,0.45982444319670596,Mouse04202,0.6789945975643256,Mouse04202,0.8088546112262733,Mouse61635,0.49523994670620264,Mouse1551,0.5821163112090538,Mouse3191,0.5440006329400063,Mouse78744,0.40535853313022974,Mouse6293,0.6441837732160314,Mouse39125,0.8972242380261247,Mouse78752,0.4778186845380635,Mouse8582,0.44841269841269843,Mouse3193,0.7722737448033259
3,Mouse3192,0.6002638643718741,Mouse0630,0.49479019994367784,Mouse3191,0.5899113883991138,Mouse3192,0.7268812211925075,Mouse39114,0.5778457653457654,Mouse3193,0.7016309561880396,Mouse3192,0.7434501262626263,Mouse69064,0.7548348106365834,Mouse39133,0.8839959154308525,Mouse3192,0.7352352407570855,Mouse8891,0.4515394877965836,Mouse69065,0.7141631367437818
4,Mouse3194,0.39612102293709,Mouse0633,0.6037820830002918,Mouse3193,0.6941877198592901,Mouse3194,0.5171992322832999,Mouse39124,0.680812388232751,Mouse39114,0.6675471698113209,Mouse3194,0.3662217200248098,Mouse8580,0.4686050108258584,Mouse69064,0.6556205770277628,Mouse3194,0.5217157225368592,Mouse8894,0.6312106043752319,Mouse69074,0.780495867768595
5,Mouse3202,,Mouse0634,0.6009128512337756,Mouse69072,0.8096648565629971,Mouse3202,,Mouse6291,0.6948929615977018,Mouse39124,0.8651573321288768,Mouse3202,,Mouse8581,0.5609251700680272,Mouse69072,0.7515221326312325,Mouse3202,,Mouse04193,0.7346142365986048,,
6,Mouse3203,0.33045154474034244,Mouse0642,0.621272970670561,,,Mouse3203,0.4047152616265076,Mouse6292,0.7120471535365152,,,Mouse3203,0.43070446470192003,Mouse04193,0.7025658600218889,,,Mouse3203,0.3445211492827154,Mouse04201,0.8673671764750753,,
7,Mouse61635,0.45920841905274623,Mouse04205,0.6814814814814816,,,Mouse61631,0.49506095202445566,Mouse04193,0.7245431531003681,,,Mouse61631,0.48669012414997814,Mouse04201,0.8293699225752317,,,Mouse61631,0.5026808908852705,Mouse04202,0.8512956688947899,,
8,Mouse78744,0.4115300404635168,Mouse04215,0.7011185493549354,,,Mouse78744,0.4398320320824056,Mouse04201,0.8420515656584919,,,Mouse61635,0.4719107364499239,Mouse04202,0.8581952202179288,,,Mouse61635,0.5029445463938742,Mouse04205,0.7,,
9,Mouse78752,0.4645027076403497,Mouse0643,0.5817478379608557,,,Mouse78752,0.5073549146947718,Mouse04202,0.8855049903854959,,,Mouse78752,0.4644408395140805,Mouse04205,0.49135802469135803,,,Mouse78744,0.4283697970848588,Mouse04215,0.6698122937293729,,
10,Mouse99002,,Mouse1551,0.5957992504886764,,,Mouse99002,,Mouse04215,0.7226550780078007,,,Mouse99002,,Mouse04215,0.7076113861386137,,,Mouse99002,,Mouse0630,0.4571899412789303,,
11,Mouse99003,,Mouse39114,0.7065608003108004,,,Mouse99003,,Mouse0630,0.4755050742096644,,,Mouse99003,,Mouse0630,0.48706154760787257,,,Mouse99003,,Mouse0633,0.6398203478856621,,
12,Mouse99021,,Mouse39124,0.7621101656611707,,,Mouse99021,,Mouse0633,0.6608939468909781,,,Mouse99021,,Mouse0633,0.6619850543650643,,,Mouse99021,,Mouse0634,0.5878904578519469,,
13,,,Mouse39125,0.8005377224587837,,,,,Mouse0634,0.619797461132506,,,,,Mouse0634,0.6691912708600771,,,,,Mouse0642,0.6615553121577218,,
14,,,Mouse39133,0.8138013809472435,,,,,Mouse0642,0.6338079591091639,,,,,Mouse0642,0.6762287244214955,,,,,Mouse0643,0.659262630860264,,
15,,,Mouse6291,0.6932921447484555,,,,,Mouse39125,0.8175701495796484,,,,,Mouse0643,0.6561675011379153,,,,,Mouse1551,0.5449644542387231,,
16,,,Mouse6292,0.6174229611338498,,,,,Mouse39133,0.7761894486999678,,,,,Mouse1551,0.566030453566404,,,,,Mouse39114,0.7389034576534578,,
17,,,Mouse6293,0.6350439882697947,,,,,Mouse6293,0.6214809384164223,,,,,Mouse39114,0.7500242812742813,,,,,Mouse39124,0.7720635918800479,,
18,,,Mouse69064,0.8159951651893634,,,,,Mouse69064,0.7989121676067689,,,,,Mouse39124,0.775600841079254,,,,,Mouse39125,0.7885140299159296,,
19,,,Mouse69065,0.7840772818121252,,,,,Mouse69065,0.8097435043304464,,,,,Mouse6291,0.6592596438398837,,,,,Mouse39133,0.8029520444492395,,
20,,,Mouse69074,0.7629960401044739,,,,,Mouse69074,0.7182471143314516,,,,,Mouse6292,0.639414132530528,,,,,Mouse6291,0.6629891144454252,,
21,,,Mouse8580,0.5176822352819878,,,,,Mouse8580,0.5348919132556621,,,,,Mouse69065,0.8021735509660226,,,,,Mouse6292,0.6584835774447789,,
22,,,Mouse8581,0.6167074829931973,,,,,Mouse8581,0.6104308390022676,,,,,Mouse69074,0.7332336338360435,,,,,Mouse6293,0.6482811990876507,,
23,,,Mouse8582,0.4126984126984127,,,,,Mouse8582,0.45833333333333337,,,,,Mouse8582,0.4107142857142857,,,,,Mouse69064,0.8019742143432715,,
