Predictors,net 1,net 2,net 3
Amy 1,0.025547294,0.172175,3.2755593e-06
Amy 2,0.054806583,0.13776556,0.011289766
Amy 3,0.07028456,0.08021317,0.054144114
Amy 4,0.07201813,0.0124044595,0.10776017
Amy 5,0.04499922,1.3821045e-05,0.16725945
Amy 6,0.012990153,1.6273785e-05,0.23092428
Amy 7,1.1074084e-05,1.9115027e-05,0.28524274
Amy 8,1.301016e-05,0.024800092,0.30779076
Amy 9,0.02540034,0.04954454,0.30238068
Amy 10,0.08659055,0.061276,0.26476386
Amy 11,0.15145172,0.06682847,0.22017854
Amy 12,0.20416659,0.06912779,0.17467797
Amy 13,0.23268448,0.07139978,0.13549866
Amy 14,0.23421575,0.08006256,0.102125786
Amy 15,0.21263166,0.097869575,0.061101884
Amy 16,0.18433416,0.12417743,0.0040154746
Amy 17,0.15734576,0.15063809,3.2759068e-05
Amy 18,0.12990226,0.15905522,3.509447e-05
Amy 19,0.09333333,0.15652391,3.7471436e-05
Amy 20,0.06055008,0.14690755,4.005813e-05
Amy 21,0.037081644,0.13728197,4.3167274e-05
Amy 22,0.022224126,0.13206619,4.6512843e-05
Amy 23,0.004793198,0.12543918,5.046045e-05
Amy 24,0.00010510714,0.12533373,5.3386524e-05
Amy 25,0.00010704621,0.13776466,5.469359e-05
Amy 26,0.000107179745,0.15476277,5.4916578e-05
Amy 27,0.00010529202,0.16921203,5.41748e-05
Amy 28,0.00010294121,0.182294,5.314684e-05
Amy 29,0.00010089785,0.19475092,5.2227646e-05
Amy 30,9.942243e-05,0.20500104,5.155848e-05
Amy 31,0.02235532,0.20723082,5.0197203e-05
Amy 32,0.06736165,0.20042467,4.8606555e-05
Amy 33,0.09323903,0.18945836,4.951725e-05
Amy 34,0.12250641,0.17699026,5.022851e-05
Amy 35,0.15285186,0.16692112,5.0593684e-05
Amy 36,0.18384212,0.16029568,5.102653e-05
Amy 37,0.21372114,0.15543795,5.14948e-05
Amy 38,0.2422303,0.15171658,5.2286374e-05
Amy 39,0.26551908,0.14706673,5.374744e-05
Amy 40,0.27481136,0.143874,5.575425e-05
Amy 41,0.28137824,0.13845938,5.8316542e-05
Amy 42,0.28492954,0.13045387,6.136486e-05
Amy 43,0.2863216,0.12431842,6.45443e-05
Amy 44,0.28634512,0.12007022,6.78581e-05
Amy 45,0.28562474,0.11696858,7.13567e-05
Amy 46,0.28360382,0.11474527,7.4979536e-05
Amy 47,0.2811724,0.112976074,7.869474e-05
Amy 48,0.28038317,0.11207015,8.239333e-05
Amy 49,0.2793815,0.11155929,8.579509e-05
Amy 50,0.26746768,0.108099855,8.8297085e-05
Amy 51,0.245813,0.105938345,8.880989e-05
Amy 52,0.20779835,0.1031925,8.69254e-05
