split,mouse,drug,expDate
train,Mouse3191,0,110918
train,Mouse3191,1,121218
train,Mouse3192,0,121218
train,Mouse3192,1,110918
train,Mouse3193,0,110918
train,Mouse3193,1,121218
train,Mouse3194,0,121218
train,Mouse3194,1,110918
train,Mouse3202,1,111018
train,Mouse3203,0,121218
train,Mouse3203,1,111018
train,Mouse99002,1,072321
train,Mouse99003,1,072321
train,Mouse99021,1,072321
val,Mouse61631,0,121422
val,Mouse61631,1,121422
val,Mouse61635,0,121422
val,Mouse61635,1,121422
val,Mouse78744,0,040623
val,Mouse78744,1,040623
val,Mouse78752,0,040723
val,Mouse78752,1,040723
test,Mouse69061,0,110521
test,Mouse69061,1,110421
test,Mouse78732,0,040623
test,Mouse78732,1,040623
test,Mouse78743,0,040623
test,Mouse78743,1,040623
test,Mouse78745,0,040623
test,Mouse78745,1,040623
test,Mouse78751,0,040723
test,Mouse78751,1,040723
test,Mouse78764,0,040723
test,Mouse78764,1,040723
