,Mouse,-2,-1,0
0,Mouse0912,1.6992295980453491,4.593743324279785,3.3898086547851562
1,Mouse0912,2.663801908493042,0.4079352915287018,3.3079285621643066
2,Mouse0912,1.3806822299957275,2.0884976387023926,1.1553007364273071
3,Mouse0912,1.068569302558899,0.6278109550476074,0.826637864112854
4,Mouse0913,2.8708226680755615,3.0630125999450684,2.973745584487915
5,Mouse0913,5.2171735763549805,3.9335012435913086,1.393007516860962
6,Mouse0913,4.411707401275635,3.7552478313446045,3.0265238285064697
7,Mouse0913,2.8257699012756348,3.4260988235473633,2.451904058456421
8,Mouse0913,3.8393476009368896,5.423196315765381,3.973454713821411
9,Mouse0913,4.77781343460083,2.8601038455963135,2.5475525856018066
10,Mouse0913,3.9722304344177246,4.053964138031006,4.891787528991699
11,Mouse0913,3.4282100200653076,2.6750595569610596,5.116331100463867
12,Mouse0913,2.106611967086792,3.3395323753356934,3.6313188076019287
13,Mouse0913,4.193869590759277,4.393614292144775,6.0007147789001465
14,Mouse0913,2.727736473083496,3.478532552719116,5.6030192375183105
15,Mouse0913,4.486324310302734,4.877311706542969,3.506114959716797
16,Mouse0913,3.1862874031066895,4.784208297729492,4.341055393218994
17,Mouse0913,4.14323091506958,4.741929531097412,5.162592887878418
18,Mouse0913,4.8940863609313965,4.240474700927734,4.957705974578857
19,Mouse0913,4.522826671600342,2.2349777221679688,4.400905609130859
20,Mouse0913,2.050809860229492,3.5356128215789795,2.9706621170043945
21,Mouse0913,2.770418882369995,5.981021881103516,4.034735202789307
22,Mouse0913,5.457324504852295,3.773648977279663,2.8981974124908447
23,Mouse0913,2.5782225131988525,3.810837507247925,2.374053478240967
24,Mouse0914,5.102088928222656,5.901325225830078,5.51254415512085
25,Mouse0914,4.851471424102783,4.987905025482178,3.8194499015808105
26,Mouse0914,2.982234477996826,6.459635257720947,5.170957565307617
27,Mouse0914,5.39788293838501,5.565782070159912,3.2274861335754395
28,Mouse2401,3.1590681076049805,1.6696300506591797,5.402750492095947
29,Mouse2401,4.08147668838501,2.9569523334503174,2.896216869354248
30,Mouse2402,2.812466621398926,0.2592940330505371,1.1718628406524658
31,Mouse2402,3.473078489303589,1.3629601001739502,3.884209156036377
32,Mouse2402,1.4671990871429443,2.703641176223755,4.273619651794434
33,Mouse2402,4.723842620849609,3.4132163524627686,3.2668280601501465
34,Mouse2402,5.63833475112915,3.2505197525024414,3.5776612758636475
35,Mouse2403,1.460301160812378,3.8461616039276123,2.6830713748931885
36,Mouse2403,3.0702970027923584,4.443251609802246,2.4855451583862305
37,Mouse2403,4.471188545227051,2.435014486312866,3.99664044380188
38,Mouse2403,2.760808229446411,4.950046539306641,3.6298599243164062
39,Mouse2403,4.383172512054443,3.5329461097717285,4.432069301605225
40,Mouse2403,3.2847297191619873,3.3164901733398438,2.5488669872283936
41,Mouse2403,3.350614070892334,4.776307582855225,3.9424991607666016
42,Mouse2403,4.24888277053833,3.8296687602996826,5.008832931518555
43,Mouse2403,1.9767982959747314,4.143762111663818,3.5401532649993896
44,Mouse2403,2.7601139545440674,3.2556304931640625,3.0115294456481934
45,Mouse2403,5.885885238647461,2.396636724472046,3.9475362300872803
46,Mouse2403,3.8189728260040283,3.678889513015747,7.726912975311279
47,Mouse2403,4.230340957641602,4.0220184326171875,3.291548490524292
48,Mouse2403,2.821829319000244,3.436070203781128,2.540426731109619
49,Mouse2403,4.8796491622924805,4.880817890167236,3.437746524810791
50,Mouse2403,4.156908988952637,3.981792449951172,0.8383439779281616
51,Mouse2403,2.912473201751709,2.610395908355713,4.5040082931518555
52,Mouse2403,1.8215762376785278,1.9174991846084595,2.902448892593384
53,Mouse30391,4.311412334442139,4.905130386352539,3.7641260623931885
54,Mouse30392,3.7092525959014893,3.2132909297943115,3.826935291290283
55,Mouse30392,2.127345561981201,1.8926560878753662,3.1337130069732666
56,Mouse3881,1.125511646270752,3.5783307552337646,1.9748833179473877
57,Mouse3882,3.7246005535125732,4.430264472961426,5.813868522644043
58,Mouse3882,3.311748504638672,3.6828160285949707,3.0397748947143555
59,Mouse3883,5.674919605255127,5.448133945465088,3.363375425338745
60,Mouse3883,3.4712705612182617,4.195589542388916,2.673661231994629
61,Mouse3883,4.128716468811035,4.051906585693359,4.186374187469482
62,Mouse3883,4.004701137542725,4.183952331542969,4.779833793640137
63,Mouse3883,1.964234709739685,2.4333598613739014,4.126191139221191
64,Mouse69841,2.162116765975952,1.56941819190979,2.153656244277954
65,Mouse69841,2.8098201751708984,1.7043030261993408,2.801389455795288
66,Mouse69841,2.2083566188812256,2.4197988510131836,2.5398335456848145
67,Mouse69861,2.72617244720459,3.4219729900360107,1.393319845199585
68,Mouse69861,1.9797697067260742,0.5034945011138916,2.984743118286133
69,Mouse69872,4.867650032043457,4.876448631286621,4.201975345611572
70,Mouse69872,3.2109155654907227,3.285755157470703,3.3126614093780518
71,Mouse69872,4.718280792236328,5.108336448669434,2.9597575664520264
72,Mouse69872,4.725065231323242,1.0146037340164185,3.956820249557495
73,Mouse69872,4.17787504196167,3.274686574935913,4.58449649810791
74,Mouse69872,4.636345386505127,3.9702603816986084,4.42026424407959
75,Mouse69873,3.149733066558838,3.430812120437622,3.3891472816467285
76,Mouse69873,2.404904365539551,3.3863065242767334,3.9277026653289795
