,mouse,stressed,composite avgScore,composite avgHCScore,composite avgTaskScore,net 1 avgScore,net 1 avgHCScore,net 1 avgTaskScore,net 2 avgScore,net 2 avgHCScore,net 2 avgTaskScore,net 3 avgScore,net 3 avgHCScore,net 3 avgTaskScore,net 1 avgImpact,net 1 avgHCImpact,net 1 avgTaskImpact,net 2 avgImpact,net 2 avgHCImpact,net 2 avgTaskImpact,net 3 avgImpact,net 3 avgHCImpact,net 3 avgTaskImpact
0,MouseC5C12,False,4.028735,3.529812,4.2517967,0.07709066,0.06334403,0.08323654,0.19421534,0.17239141,0.20397252,0.048906263,0.04835929,0.049150806,0.18742165,0.1757684,0.19174685,0.8037961,0.8143201,0.79989004,0.008782289,0.009911521,0.008363155
1,MouseC5C13,False,3.1785529,2.7174053,3.3788846,0.105124034,0.09205309,0.11080227,0.12753838,0.10769659,0.1361581,0.030924307,0.02776288,0.03229767,0.32393607,0.33179563,0.32119,0.6690253,0.6608131,0.67189467,0.0070385383,0.007391321,0.0069152806
2,MouseC5C20,False,1.5273565,1.5753127,1.5093863,0.04654414,0.04660195,0.046522412,0.062472645,0.065067746,0.061500225,0.041228913,0.046923894,0.039095134,0.2984773,0.2897504,0.30188987,0.681994,0.6887,0.67937165,0.019528704,0.021549601,0.018738475
3,MouseC5C21,False,2.690799,2.8530087,2.6000361,0.07414244,0.07462807,0.07387074,0.11579753,0.12491463,0.11069613,0.046767466,0.054283652,0.042561814,0.269881,0.25620395,0.2782786,0.717545,0.730031,0.7098787,0.012574031,0.013765055,0.011842754
4,MouseC5C23,False,1.4302853,1.1244005,1.6617981,0.048355933,0.041973677,0.053186417,0.055935975,0.041578718,0.06680245,0.033174794,0.027666416,0.03734388,0.33114165,0.36563075,0.31347954,0.65207815,0.61656827,0.670263,0.016780214,0.017800977,0.016257476
5,MouseC5C24,False,2.9615684,2.4316237,3.2005184,0.07214251,0.057892665,0.07856768,0.13288678,0.109278575,0.14353167,0.054255202,0.058764473,0.052221913,0.23859219,0.23319215,0.24044201,0.7481542,0.74932414,0.74775356,0.013253531,0.017483583,0.011804413
6,MouseC5S10,True,3.8892434,3.6125636,4.0371222,0.07847056,0.07407721,0.08081876,0.18542598,0.17151186,0.19286273,0.039981395,0.037701853,0.04119975,0.19761884,0.2008426,0.19607715,0.79494405,0.7916072,0.79653984,0.0074371197,0.007550212,0.0073830304
7,MouseC5S11,True,2.92772,2.8112538,2.9978476,0.06708092,0.0660719,0.06768849,0.13328375,0.12722774,0.13693023,0.06684648,0.05909536,0.07151353,0.22441722,0.23019901,0.22115257,0.7590646,0.7545932,0.7615894,0.016518133,0.015207761,0.017258007
8,MouseC5S12,True,2.9027855,2.6673932,2.9889822,0.09290628,0.09233438,0.0931158,0.117845654,0.1041459,0.1228622,0.03854638,0.036658242,0.039237764,0.31348506,0.33904952,0.30513132,0.67690814,0.65100783,0.6853715,0.009606841,0.009942522,0.0094971405
9,MouseC5S13,True,3.658411,3.1761127,3.881684,0.10490794,0.0952514,0.1093783,0.15530884,0.13213436,0.16603711,0.057103828,0.055288713,0.057944145,0.28086823,0.29373938,0.27599275,0.7078394,0.69366693,0.71320784,0.011292359,0.012593677,0.010799442
10,MouseC5S14,True,3.5882263,3.2715492,3.7304606,0.08784854,0.08015043,0.09130611,0.1610156,0.1466029,0.16748902,0.059526198,0.0581929,0.06012505,0.23979573,0.23996015,0.23973095,0.7482026,0.7471713,0.7486089,0.012001631,0.012868517,0.011660172
11,MouseC5S23,True,3.3434613,3.095064,3.4410481,0.1097074,0.10543811,0.11138463,0.13405426,0.121950425,0.13880946,0.04664469,0.040056437,0.049232926,0.32138556,0.3336681,0.31704527,0.6685215,0.6569689,0.6726039,0.010092945,0.009362992,0.01035087
