,mouse,Stressed,composite avgScore,composite avgSocScore,composite avgObjScore,net 1 avgScore,net 1 avgSocScore,net 1 avgObjScore,net 2 avgScore,net 2 avgSocScore,net 2 avgObjScore,net 3 avgScore,net 3 avgSocScore,net 3 avgObjScore,net 1 avgImpact,net 1 avgSocImpact,net 1 avgObjImpact,net 2 avgImpact,net 2 avgSocImpact,net 2 avgObjImpact,net 3 avgImpact,net 3 avgSocImpact,net 3 avgObjImpact
0,MouseC5C12,False,3.214894,3.301914,3.147476,0.05337561,0.056225512,0.05426403,0.15957905,0.16317649,0.15509938,0.043310773,0.042099766,0.041337773,0.16261587,0.166784,0.16886371,0.8276378,0.8239919,0.82163465,0.009746333,0.00922414,0.009501598
1,MouseC5C13,False,3.3475618,3.3407874,3.3958945,0.113701686,0.11278427,0.11336973,0.13277188,0.13288344,0.13583028,0.027790872,0.028275916,0.028604686,0.33267874,0.33066362,0.3269864,0.6613153,0.66321313,0.66691965,0.006006003,0.006123219,0.006093895
2,MouseC5C20,False,1.8611708,2.1547925,2.1840212,0.05350524,0.059218056,0.05869757,0.0780869,0.09230941,0.09427119,0.048535854,0.0492623,0.051496595,0.28157678,0.26917544,0.26323885,0.6995569,0.71428514,0.7197029,0.018866371,0.016539454,0.017058216
3,MouseC5C22,False,2.8811917,2.8574486,2.9768925,0.07254935,0.071800746,0.07616719,0.12847601,0.12752502,0.13207059,0.039302897,0.03853609,0.039759852,0.24663125,0.24611454,0.25060603,0.74350005,0.74412876,0.7397314,0.009868801,0.009756661,0.00966259
4,MouseC5C23,False,1.418211,1.4762046,1.3366568,0.049394418,0.049622234,0.047674704,0.054398358,0.0576969,0.050499823,0.037863284,0.038918454,0.038267534,0.34113303,0.32924294,0.34934524,0.63955224,0.6516839,0.62994266,0.019314764,0.019073088,0.020712024
5,MouseC5C24,False,3.4053013,3.363214,3.4646072,0.08718565,0.08692599,0.089750685,0.15062882,0.14825788,0.15271461,0.05503881,0.05502235,0.05421565,0.25077036,0.2531523,0.25372922,0.73753667,0.73501194,0.73494977,0.011692986,0.011835773,0.011320944
6,MouseC5S10,True,3.7765265,3.8298798,3.7438948,0.07618418,0.07502125,0.0766702,0.18021014,0.18396728,0.17810121,0.0353427,0.038243588,0.032262832,0.1975873,0.19186065,0.20058095,0.7956422,0.80091524,0.79318476,0.006770476,0.007224128,0.0062343446
7,MouseC5S11,True,3.203245,3.2083554,3.2134073,0.07198312,0.070311144,0.073060185,0.1469714,0.14815609,0.14709531,0.065860115,0.068256974,0.062469427,0.22010367,0.21464877,0.22269051,0.7650218,0.7699599,0.76324534,0.014874565,0.015391343,0.014064157
8,MouseC5S12,True,3.1556787,3.1789343,3.1368232,0.096149825,0.09662327,0.0981267,0.13088728,0.13201995,0.12857756,0.043622367,0.043252677,0.044027444,0.29842997,0.29770553,0.30639657,0.6915694,0.69245106,0.6834492,0.0100006545,0.00984336,0.010154192
9,MouseC5S13,True,3.8015265,3.7472885,3.825673,0.09899483,0.09584422,0.10044236,0.16756412,0.16608025,0.16816449,0.052530732,0.05441399,0.052472778,0.25505933,0.25051603,0.25715548,0.73494375,0.7389788,0.73292166,0.009996947,0.0105052255,0.00992289
10,MouseC5S14,True,3.7715619,3.633709,3.7696695,0.08557972,0.08109044,0.0864312,0.17365608,0.16799785,0.17308205,0.05233092,0.0529687,0.05141714,0.22224724,0.21857789,0.22457115,0.7677147,0.7708763,0.7655611,0.010038044,0.010545839,0.009867715
11,MouseC5S23,True,3.454618,3.5482938,3.4977682,0.123271495,0.12629153,0.124204,0.13269442,0.13669743,0.13476194,0.04799246,0.044330653,0.047361374,0.34950176,0.34861124,0.34780136,0.6404478,0.6423502,0.6424027,0.010050437,0.009038503,0.00979592
