mouse,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
1.0,1,1.0,-4.382952242023352,-27.819556689827188,0.12255569429032258,0.17999229896774188
1.0,2,1.0,-4.3339560394587515,-26.337996991235826,0.12416472675,0.1839541102222222
1.0,3,1.0,-4.4633123794297775,-29.643688745528195,0.119989315675,0.175497733425
1.0,4,1.0,-4.286681008632666,-28.260698971708344,0.12575018705555552,0.1788686538333333
1.0,5,1.0,-4.420537199299136,-37.54836336722327,0.12134434066666665,0.15970464727777775
1.0,6,1.0,-4.338059554403213,-30.65991572421056,0.12402864763157898,0.1731565527719298
1.0,7,1.0,-4.443413182766459,-40.12457295676991,0.1206165901212121,0.15552524966666662
1.0,8,1.0,-4.421526391345613,-34.930163634322,0.1213127235,0.16438127017857138
1.0,9,1.0,-4.687979508751718,-39.190973573801735,0.11326119513333331,0.1569956463333333
1.0,10,1.0,-4.444191768134864,-32.97833895862603,0.12059194653846153,0.1681964028846154
1.0,11,1.0,-4.609217767194773,-30.59537885924875,0.11554820859090911,0.17330201954545457
2.0,1,1.0,-4.6698599252344275,-26.84737023281375,0.11378075244186045,0.1825579522093023
2.0,2,1.0,-4.9236306185956185,-27.23995090759922,0.10684190860465113,0.1815066731627907
2.0,3,1.0,-4.893128384804141,-29.596279695648832,0.10763892025581392,0.17560966237209294
2.0,4,1.0,-5.020587410343725,-38.239989651667216,0.10437138351162792,0.158544324
2.0,5,1.0,-5.352850847297831,-41.231758962017054,0.09657420651162792,0.15384190899999997
2.0,6,1.0,-5.116854931161787,-32.05816014844606,0.10200936423255812,0.17010546444186045
2.0,7,1.0,-5.080424756151188,-33.14554654091241,0.10289285620930234,0.16785742481395344
2.0,8,1.0,-5.332016784633781,-35.49376396525799,0.0970348101627907,0.1633342860465116
2.0,9,1.0,-5.107120052184551,-29.672991762276354,0.10224423530232563,0.1754286752558139
2.0,10,1.0,-4.779972986701937,-23.833883049187822,0.11068214111627907,0.19140371776744186
2.0,11,1.0,-4.733709941134981,-26.641276484109373,0.11196701220930232,0.18311839360465118
3.0,1,1.0,-3.636457389832262,-34.28374951215898,0.151411854547619,0.1656113417142857
3.0,2,1.0,-3.635209846159255,-31.260185885121302,0.15146911647727274,0.17182355613636363
3.0,3,1.0,-3.6088504348462416,-30.679421505633655,0.1526873208536585,0.17311267000000005
3.0,4,1.0,-3.6524531344768287,-31.94026022923174,0.1506807740476191,0.17035555797619054
3.0,5,1.0,-3.662079394358607,-27.032602797737123,0.15024358178571426,0.18205929297619047
3.0,6,1.0,-3.6733136353285185,-30.218100270463296,0.14973597313333334,0.17416099848888894
3.0,7,1.0,-3.648914286209245,-26.91849124150348,0.1508420189,0.18236592822500003
3.0,8,1.0,-3.6518183223771703,-27.20479722829629,0.15070967804878047,0.1815999536585366
3.0,9,1.0,-3.7722027901537287,-31.916022317898097,0.14538593509756098,0.17040713092682927
3.0,10,1.0,-3.6877136202955825,-28.53957641400513,0.14908940575000001,0.17817076365
3.0,11,1.0,-3.677499396389527,-28.28137376270154,0.14954755893023253,0.17881658860465116
4.0,1,1.0,-6.542194200832974,-11.995129269499444,0.07518849869230766,0.2508946313076923
4.0,2,1.0,-6.723670501548123,-12.817038866046113,0.07260709527692309,0.2444760216153846
4.0,3,1.0,-6.58801102888941,-12.15967973961585,0.0745227964923077,0.24956257692307696
4.0,4,1.0,-6.6270288228928385,-12.597027387751515,0.07396343275384615,0.2461381736923077
4.0,5,1.0,-6.696995871706657,-12.176213725432142,0.072977384234375,0.24943008687500004
4.0,6,1.0,-6.904380543511157,-12.318010116297543,0.0701773080923077,0.24830379369230765
4.0,7,1.0,-6.463343385646571,-10.526094361097739,0.07635714340000001,0.26400082938461544
4.0,8,1.0,-6.575060855487757,-11.440132102544217,0.07470997956923073,0.255576968
4.0,9,1.0,-6.459508161670661,-12.144618501130768,0.07641474027692308,0.24968347876923075
4.0,10,1.0,-6.962268387746094,-12.64893709592469,0.0694269202923077,0.24574246215384615
4.0,11,1.0,-7.140326556095684,-13.180381892843126,0.0671990074,0.24181434276923072
5.0,1,1.0,-5.680205381768921,-18.142440967463354,0.08978080860714287,0.21324700732142857
5.0,2,1.0,-5.939812665349476,-17.908613780137003,0.08492997218518517,0.21434228444444445
5.0,3,1.0,-6.076239218005142,-20.734427876210404,0.08254979772413794,0.20227562310344827
5.0,4,1.0,-5.855990564133876,-17.883521713548916,0.08644849414814813,0.21446098518518522
5.0,5,1.0,-6.232343351355053,-17.733962581250022,0.07995717703448275,0.21517326413793098
5.0,6,1.0,-6.003135334389405,-16.250643408094245,0.08381146455882352,0.22271503279411764
5.0,7,1.0,-6.181104584092363,-19.480057071881877,0.08079333741935486,0.20733420322580642
5.0,8,1.0,-5.9814013560820944,-15.653507714582165,0.08419264132258064,0.2260228325806451
5.0,9,1.0,-6.127350451090169,-15.549041226021183,0.08168599651724137,0.22661929413793103
5.0,10,1.0,-6.205449031448413,-16.27540283577462,0.08039429182758621,0.22258148275862072
5.0,11,1.0,-6.377496033574841,-15.512727844289678,0.07766356848275861,0.2268279146551724
6.0,1,1.0,-6.769171965762245,-17.55999369341354,0.07198249452083333,0.2160122399444445
6.0,2,1.0,-6.733489965441937,-17.65774169668242,0.07247155624999999,0.21553944765714286
6.0,3,1.0,-6.783042300302327,-16.492371073193492,0.07179383856338029,0.22142296008450701
6.0,4,1.0,-6.7078685711450365,-15.94000756229624,0.0728260814178082,0.22441461323287676
6.0,5,1.0,-6.783508047700517,-17.134651161928254,0.07178751775694446,0.21811239636111118
