,Mouse0641,Mouse39115,Mouse39121,Mouse39122,Mouse39135,Mouse6674,Mouse69061,Mouse69071,Mouse69075,Mouse8893
0,475.0,,,,,,,,,
1,523.0,,,,,,,,,
2,652.0,,,,,,,,,
3,,451.0,,,,,,,,
4,,,605.0,,,,,,,
5,,,,332.0,,,,,,
6,,,,383.0,,,,,,
7,,,,393.0,,,,,,
8,,,,427.0,,,,,,
9,,,,447.0,,,,,,
10,,,,474.0,,,,,,
11,,,,522.0,,,,,,
12,,,,,492.0,,,,,
13,,,,,616.0,,,,,
14,,,,,,155.0,,,,
15,,,,,,325.0,,,,
16,,,,,,351.0,,,,
17,,,,,,515.0,,,,
18,,,,,,598.0,,,,
19,,,,,,734.0,,,,
20,,,,,,762.0,,,,
21,,,,,,,381.0,,,
22,,,,,,,391.0,,,
23,,,,,,,502.0,,,
24,,,,,,,545.0,,,
25,,,,,,,674.0,,,
26,,,,,,,,474.0,,
27,,,,,,,,502.0,,
28,,,,,,,,,419.0,
29,,,,,,,,,430.0,
30,,,,,,,,,488.0,
31,,,,,,,,,,182.0
32,,,,,,,,,,422.0
