mouse,split,time-in-task,OpenArmPerc,ClosedArmPerc,CenterPerc
Mouse04201,train,330,0.1393939393939394,0.696969696969697,0.11515151515151516
Mouse04202,train,325,0.09846153846153846,0.7569230769230769,0.1476923076923077
Mouse04205,train,35,0.05714285714285714,0.2,0.0
Mouse04215,train,356,0.056179775280898875,0.8174157303370787,0.1151685393258427
Mouse0630,train,608,0.19901315789473684,0.6891447368421053,0.10361842105263158
Mouse0634,train,614,0.13680781758957655,0.5684039087947883,0.22312703583061888
Mouse0643,train,168,0.21428571428571427,0.6964285714285714,0.09523809523809523
Mouse1551,train,663,0.22926093514328807,0.6530920060331825,0.09954751131221719
Mouse39114,train,352,0.056818181818181816,0.3096590909090909,0.19318181818181818
Mouse39124,train,342,0.16666666666666666,0.5935672514619883,0.22514619883040934
Mouse39133,train,376,0.12234042553191489,0.6835106382978723,0.1702127659574468
Mouse6291,train,618,0.20064724919093851,0.7006472491909385,0.09870550161812297
Mouse6292,train,634,0.12145110410094637,0.8012618296529969,0.0694006309148265
Mouse6293,train,622,0.21061093247588425,0.7154340836012861,0.0707395498392283
Mouse69064,train,368,0.23097826086956522,0.43478260869565216,0.11684782608695653
Mouse69074,train,365,0.2191780821917808,0.5068493150684932,0.1780821917808219
Mouse8580,train,661,0.21482602118003025,0.5113464447806354,0.1043872919818457
Mouse8581,train,716,0.15363128491620112,0.3268156424581006,0.13547486033519554
Mouse8582,train,755,0.018543046357615896,0.02781456953642384,0.009271523178807948
Mouse8891,train,622,0.1977491961414791,0.6993569131832797,0.0707395498392283
Mouse8894,train,643,0.1150855365474339,0.4230171073094868,0.04043545878693624
Mouse04201,val,330,0.1393939393939394,0.696969696969697,0.11515151515151516
Mouse04202,val,325,0.09846153846153846,0.7569230769230769,0.1476923076923077
Mouse04205,val,35,0.05714285714285714,0.2,0.0
Mouse04215,val,356,0.056179775280898875,0.8174157303370787,0.1151685393258427
Mouse0630,val,608,0.19901315789473684,0.6891447368421053,0.10361842105263158
Mouse0634,val,614,0.13680781758957655,0.5684039087947883,0.22312703583061888
Mouse0643,val,168,0.21428571428571427,0.6964285714285714,0.09523809523809523
Mouse1551,val,663,0.22926093514328807,0.6530920060331825,0.09954751131221719
Mouse39114,val,352,0.056818181818181816,0.3096590909090909,0.19318181818181818
Mouse39124,val,342,0.16666666666666666,0.5935672514619883,0.22514619883040934
Mouse39133,val,376,0.12234042553191489,0.6835106382978723,0.1702127659574468
Mouse6291,val,618,0.20064724919093851,0.7006472491909385,0.09870550161812297
Mouse6292,val,634,0.12145110410094637,0.8012618296529969,0.0694006309148265
Mouse6293,val,622,0.21061093247588425,0.7154340836012861,0.0707395498392283
Mouse69064,val,368,0.23097826086956522,0.43478260869565216,0.11684782608695653
Mouse69074,val,365,0.2191780821917808,0.5068493150684932,0.1780821917808219
Mouse8580,val,661,0.21482602118003025,0.5113464447806354,0.1043872919818457
Mouse8581,val,716,0.15363128491620112,0.3268156424581006,0.13547486033519554
Mouse8582,val,755,0.018543046357615896,0.02781456953642384,0.009271523178807948
Mouse8891,val,622,0.1977491961414791,0.6993569131832797,0.0707395498392283
Mouse8894,val,643,0.1150855365474339,0.4230171073094868,0.04043545878693624
Mouse04201,test,330,0.1393939393939394,0.696969696969697,0.11515151515151516
Mouse04202,test,325,0.09846153846153846,0.7569230769230769,0.1476923076923077
Mouse04205,test,35,0.05714285714285714,0.2,0.0
Mouse04215,test,356,0.056179775280898875,0.8174157303370787,0.1151685393258427
Mouse0630,test,608,0.19901315789473684,0.6891447368421053,0.10361842105263158
Mouse0634,test,614,0.13680781758957655,0.5684039087947883,0.22312703583061888
Mouse0643,test,168,0.21428571428571427,0.6964285714285714,0.09523809523809523
Mouse1551,test,663,0.22926093514328807,0.6530920060331825,0.09954751131221719
Mouse39114,test,352,0.056818181818181816,0.3096590909090909,0.19318181818181818
Mouse39124,test,342,0.16666666666666666,0.5935672514619883,0.22514619883040934
Mouse39133,test,376,0.12234042553191489,0.6835106382978723,0.1702127659574468
Mouse6291,test,618,0.20064724919093851,0.7006472491909385,0.09870550161812297
Mouse6292,test,634,0.12145110410094637,0.8012618296529969,0.0694006309148265
Mouse6293,test,622,0.21061093247588425,0.7154340836012861,0.0707395498392283
Mouse69064,test,368,0.23097826086956522,0.43478260869565216,0.11684782608695653
Mouse69074,test,365,0.2191780821917808,0.5068493150684932,0.1780821917808219
Mouse8580,test,661,0.21482602118003025,0.5113464447806354,0.1043872919818457
Mouse8581,test,716,0.15363128491620112,0.3268156424581006,0.13547486033519554
Mouse8582,test,755,0.018543046357615896,0.02781456953642384,0.009271523178807948
Mouse8891,test,622,0.1977491961414791,0.6993569131832797,0.0707395498392283
Mouse8894,test,643,0.1150855365474339,0.4230171073094868,0.04043545878693624
