,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 7,Mouse39111,-10,group 2,0.0722339004278183,0.13726627826690674,0.029426533728837967,3.0175230503082275
1,Tone 7,Mouse39111,-9,group 2,0.10317079722881317,0.18529610335826874,0.04936101287603378,4.135792255401611
2,Tone 7,Mouse39111,-8,group 2,0.08914219588041306,0.1140429824590683,0.04205658286809921,2.8050527572631836
3,Tone 7,Mouse39111,-7,group 2,0.11422833055257797,0.24709773063659668,0.042366527020931244,5.269495964050293
4,Tone 7,Mouse39111,-6,group 2,0.09495329856872559,0.19628021121025085,0.07992569357156754,4.260562896728516
5,Tone 7,Mouse39111,-5,group 2,0.13248825073242188,0.21996532380580902,0.0022777016274631023,4.966945648193359
6,Tone 7,Mouse39111,-4,group 2,0.1352616399526596,0.2021004557609558,0.03564025089144707,4.720373153686523
7,Tone 7,Mouse39111,-3,group 2,0.12597276270389557,0.1953088939189911,0.09875606000423431,4.561813831329346
8,Tone 7,Mouse39111,-2,group 2,0.08172187954187393,0.07846421003341675,0.052739840000867844,2.146874189376831
9,Tone 7,Mouse39111,-1,group 2,0.11447189003229141,0.220965176820755,0.1055455356836319,4.881863117218018
10,Tone 7,Mouse39111,0,group 2,0.08660883456468582,0.14222294092178345,0.07629486173391342,3.2748727798461914
11,Tone 7,Mouse39111,1,group 2,0.09157343953847885,0.1164809986948967,0.02431572787463665,2.8566818237304688
12,Tone 7,Mouse39111,2,group 2,0.1288265883922577,0.1643921583890915,0.00026863746461458504,4.003019332885742
13,Tone 7,Mouse39111,3,group 2,0.12606307864189148,0.17424894869327545,0.05070871114730835,4.176791667938232
14,Tone 7,Mouse39111,4,group 2,0.0996631607413292,0.0798083171248436,0.057885024696588516,2.3487353324890137
15,Tone 7,Mouse39111,5,group 2,0.1557167023420334,0.14786319434642792,0.046167079359292984,4.0240044593811035
16,Tone 7,Mouse39111,6,group 2,0.11916330456733704,0.18252773582935333,0.07139120995998383,4.26221227645874
17,Tone 7,Mouse39111,7,group 2,0.09767991304397583,0.10631367564201355,0.10486769676208496,2.805241584777832
18,Tone 7,Mouse39111,8,group 2,0.1287098526954651,0.150016188621521,0.009470830671489239,3.7688331604003906
19,Tone 7,Mouse39111,9,group 2,0.05874989554286003,0.1548847258090973,0.04636537656188011,3.1914713382720947
20,Tone 7,Mouse39111,10,group 2,0.11568929255008698,0.18677830696105957,0.024786293506622314,4.265341281890869
21,Tone 7,Mouse39111,11,group 2,0.15140700340270996,0.15103770792484283,0.02365407720208168,4.018435955047607
22,Tone 7,Mouse39111,12,group 2,0.13297371566295624,0.14590613543987274,0.03273240476846695,3.7588951587677
23,Tone 7,Mouse39111,13,group 2,0.12179587781429291,0.20985864102840424,0.07924751192331314,4.749386787414551
24,Tone 7,Mouse39111,14,group 2,0.08202941715717316,0.15202896296977997,0.0476868599653244,3.3728249073028564
25,Tone 7,Mouse39111,15,group 2,0.12871244549751282,0.23344719409942627,0.09713055938482285,5.223377227783203
