,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 7,Mouse39111,-10,group 2,0.17168033123016357,0.260067343711853,0.04558398947119713,6.05079460144043
1,Tone 7,Mouse39111,-9,group 2,0.11007065325975418,0.12067143619060516,0.0363415852189064,3.116424798965454
2,Tone 7,Mouse39111,-8,group 2,0.07471852749586105,0.12654279172420502,0.05668981373310089,2.8827829360961914
3,Tone 7,Mouse39111,-7,group 2,0.1325061172246933,0.1939350962638855,0.02413007989525795,4.548910617828369
4,Tone 7,Mouse39111,-6,group 2,0.11016692966222763,0.2281293272972107,0.06796105951070786,4.931960105895996
5,Tone 7,Mouse39111,-5,group 2,0.09241029620170593,0.1431630700826645,0.006192892789840698,3.2966556549072266
6,Tone 7,Mouse39111,-4,group 2,0.12889672815799713,0.14430002868175507,0.039699871093034744,3.697223424911499
7,Tone 7,Mouse39111,-3,group 2,0.07353884726762772,0.07256577908992767,0.007380292750895023,1.9355604648590088
8,Tone 7,Mouse39111,-2,group 2,0.10775933414697647,0.15607871115207672,0.07673991471529007,3.7133820056915283
9,Tone 7,Mouse39111,-1,group 2,0.13171882927417755,0.2054314762353897,0.04490262269973755,4.7479143142700195
10,Tone 7,Mouse39111,0,group 2,0.12351790815591812,0.11413787305355072,0.03447174280881882,3.1378440856933594
11,Tone 7,Mouse39111,1,group 2,0.10187003761529922,0.13759708404541016,0.08380913734436035,3.352656364440918
12,Tone 7,Mouse39111,2,group 2,0.09643220156431198,0.18592873215675354,0.11088811606168747,4.124851226806641
13,Tone 7,Mouse39111,3,group 2,0.12390540540218353,0.21221427619457245,0.10105469077825546,4.82510232925415
14,Tone 7,Mouse39111,4,group 2,0.09340328723192215,0.17878060042858124,0.026499060913920403,3.9149467945098877
15,Tone 7,Mouse39111,5,group 2,0.09458445757627487,0.1008739024400711,0.06987400352954865,2.658905506134033
16,Tone 7,Mouse39111,6,group 2,0.13817979395389557,0.18515515327453613,0.0009553362033329904,4.441321849822998
17,Tone 7,Mouse39111,7,group 2,0.10980039834976196,0.1741393506526947,0.03377101197838783,4.003424167633057
18,Tone 7,Mouse39111,8,group 2,0.131795734167099,0.15032076835632324,0.0067714364267885685,3.8021836280822754
19,Tone 7,Mouse39111,9,group 2,0.11186462640762329,0.1333881914615631,0.03891678526997566,3.3478939533233643
20,Tone 7,Mouse39111,10,group 2,0.07653431594371796,0.20778906345367432,0.1090787798166275,4.293141841888428
21,Tone 7,Mouse39111,11,group 2,0.09913638979196548,0.08058992028236389,0.0030154737178236246,2.3169121742248535
22,Tone 7,Mouse39111,12,group 2,,,,
23,Tone 7,Mouse39111,13,group 2,,,,
24,Tone 7,Mouse39111,14,group 2,,,,
25,Tone 7,Mouse39111,15,group 2,0.09094177186489105,0.07469393312931061,0.028485571965575218,2.1567678451538086
26,Tone 7,Mouse39111,16,group 2,0.0641513541340828,0.05968867242336273,0.010495886206626892,1.6311591863632202
27,Tone 7,Mouse39111,17,group 2,0.14727552235126495,0.17983442544937134,0.07802604138851166,4.497452735900879
28,Tone 7,Mouse39111,18,group 2,0.1607518494129181,0.27341780066490173,0.02271970734000206,6.149813652038574
29,Tone 7,Mouse39111,19,group 2,0.07872799038887024,0.18558111786842346,0.007539020385593176,3.8708808422088623
30,Tone 7,Mouse39111,20,group 2,0.07464548945426941,0.12392205744981766,0.02975107543170452,2.8188812732696533
31,Tone 7,Mouse39111,21,group 2,0.09443723410367966,0.21299855411052704,0.03129158169031143,4.499079704284668
32,Tone 7,Mouse39111,22,group 2,0.08010350167751312,0.1097271516919136,0.04103605076670647,2.6438236236572266
33,Tone 7,Mouse39111,23,group 2,0.10621481388807297,0.21676555275917053,0.04526376351714134,4.687354564666748
34,Tone 7,Mouse39111,24,group 2,0.10804571211338043,0.21947067975997925,0.07025016099214554,4.768468379974365
35,Tone 7,Mouse39111,25,group 2,0.1690548211336136,0.28858157992362976,0.002162492834031582,6.469101905822754
36,Tone 7,Mouse39111,26,group 2,0.14906293153762817,0.251804918050766,0.03822483867406845,5.6861772537231445
37,Tone 7,Mouse39111,27,group 2,0.12110231816768646,0.19827762246131897,0.09917636215686798,4.563913345336914
38,Tone 7,Mouse39111,28,group 2,0.09141087532043457,0.09704504162073135,0.05261050537228584,2.5514910221099854
39,Tone 7,Mouse39111,29,group 2,0.12237770110368729,0.23462624847888947,0.10984323918819427,5.190187454223633
40,Tone 7,Mouse39111,30,group 2,0.09684716165065765,0.15223851799964905,0.08386880904436111,3.547628879547119
41,Tone 7,Mouse39111,31,group 2,0.08505254983901978,0.09912294149398804,0.026539942249655724,2.5049991607666016
42,Tone 7,Mouse39111,32,group 2,0.13074631989002228,0.17220810055732727,0.00045644311467185616,4.152278900146484
43,Tone 7,Mouse39111,33,group 2,0.1019219309091568,0.11882174760103226,0.05431414023041725,3.018772602081299
44,Tone 7,Mouse39111,34,group 2,0.10357949137687683,0.08344919234514236,0.05450598895549774,2.4453563690185547
45,Tone 7,Mouse39111,35,group 2,0.17682991921901703,0.1601864993572235,0.0430714450776577,4.434034824371338
46,Tone 7,Mouse39111,36,group 2,0.11182324588298798,0.15941576659679413,0.07280074805021286,3.8059773445129395
47,Tone 7,Mouse39111,37,group 2,0.09806594997644424,0.11317449063062668,0.10326821357011795,2.922260284423828
48,Tone 7,Mouse39111,38,group 2,0.13450637459754944,0.15062902867794037,0.010709630325436592,3.8367221355438232
49,Tone 7,Mouse39111,39,group 2,0.07078582048416138,0.1707937866449356,0.05366596207022667,3.579902410507202
50,Tone 7,Mouse39113,-10,group 2,0.1457393914461136,0.19597576558589935,0.023937026038765907,4.712410926818848
51,Tone 7,Mouse39113,-9,group 2,0.08783970028162003,0.09473059326410294,0.0037328526377677917,2.442561626434326
52,Tone 7,Mouse39113,-8,group 2,0.09704336524009705,0.10418529063463211,0.015700753778219223,2.6990106105804443
53,Tone 7,Mouse39113,-7,group 2,0.10792909562587738,0.19968752562999725,0.03507043421268463,4.412017345428467
54,Tone 7,Mouse39113,-6,group 2,0.10561123490333557,0.13759593665599823,0.008756756782531738,3.3349835872650146
55,Tone 7,Mouse39113,-5,group 2,0.10595684498548508,0.08400002121925354,0.022202225401997566,2.454455614089966
56,Tone 7,Mouse39113,-4,group 2,0.10995309799909592,0.20296300947666168,0.0030613818671554327,4.463298797607422
57,Tone 7,Mouse39113,-3,group 2,0.11076721549034119,0.1316847801208496,0.0023854768369346857,3.2823143005371094
58,Tone 7,Mouse39113,-2,group 2,0.1522848904132843,0.25245988368988037,0.012305975891649723,5.709904193878174
59,Tone 7,Mouse39113,-1,group 2,0.08907318860292435,0.1007079929113388,0.03188065066933632,2.574671983718872
60,Tone 7,Mouse39113,0,group 2,0.09372073411941528,0.1004205122590065,0.016008269041776657,2.6039164066314697
61,Tone 7,Mouse39113,1,group 2,0.15129899978637695,0.28590771555900574,0.06103000417351723,6.293195724487305
62,Tone 7,Mouse39113,2,group 2,0.10872827470302582,0.1386934369802475,0.07509997487068176,3.431809663772583
63,Tone 7,Mouse39113,3,group 2,0.09569153189659119,0.1352616399526596,0.0024886149913072586,3.1943681240081787
64,Tone 7,Mouse39113,4,group 2,0.06684660166501999,0.12166853249073029,0.003229393856599927,2.68573260307312
65,Tone 7,Mouse39113,5,group 2,0.0947781503200531,0.10575218498706818,0.01922202855348587,2.7054970264434814
66,Tone 7,Mouse39113,6,group 2,0.14006172120571136,0.2654098868370056,0.03378637135028839,5.821647644042969
67,Tone 7,Mouse39113,7,group 2,0.07790829986333847,0.17576195299625397,0.04962346702814102,3.72957706451416
68,Tone 7,Mouse39113,8,group 2,0.09358055144548416,0.11176130920648575,0.002348878188058734,2.7817540168762207
69,Tone 7,Mouse39113,9,group 2,0.15299101173877716,0.21700339019298553,0.0032416176982223988,5.119072914123535
70,Tone 7,Mouse39113,10,group 2,0.12864352762699127,0.247475266456604,0.0767040103673935,5.441823959350586
71,Tone 7,Mouse39113,11,group 2,0.1021571159362793,0.16199463605880737,0.028203444555401802,3.722036600112915
72,Tone 7,Mouse39113,12,group 2,0.14133551716804504,0.3139009475708008,0.04396836832165718,6.6500139236450195
73,Tone 7,Mouse39113,13,group 2,0.06736812740564346,0.0625627264380455,0.005792633164674044,1.7071845531463623
74,Tone 7,Mouse39113,14,group 2,0.10246847569942474,0.13442151248455048,0.05464525893330574,3.284470558166504
75,Tone 7,Mouse39113,15,group 2,0.1270289421081543,0.13102617859840393,0.04649672657251358,3.4625227451324463
76,Tone 7,Mouse39113,16,group 2,0.10264641791582108,0.10633577406406403,0.008083048276603222,2.7842354774475098
77,Tone 7,Mouse39113,17,group 2,0.11155310273170471,0.12624871730804443,0.03650806099176407,3.2240588665008545
78,Tone 7,Mouse39113,18,group 2,0.08599050343036652,0.18619152903556824,0.022124430164694786,3.9627439975738525
79,Tone 7,Mouse39113,19,group 2,0.06745735555887222,0.1431300938129425,0.0759877935051918,3.1021952629089355
80,Tone 7,Mouse39113,20,group 2,0.10730697214603424,0.16304399073123932,0.03322620317339897,3.793607711791992
81,Tone 7,Mouse39113,21,group 2,0.09794770926237106,0.16808348894119263,0.09592124074697495,3.8313214778900146
82,Tone 7,Mouse39113,22,group 2,0.11618941277265549,0.16327613592147827,0.02326701022684574,3.8772733211517334
83,Tone 7,Mouse39113,23,group 2,0.15243053436279297,0.22651264071464539,0.002082760678604245,5.271298885345459
84,Tone 7,Mouse39113,24,group 2,0.12422501295804977,0.2235034704208374,0.00909721665084362,4.94993782043457
85,Tone 7,Mouse39113,25,group 2,0.11730391532182693,0.10244476795196533,0.03248094767332077,2.8805735111236572
86,Tone 7,Mouse39113,26,group 2,0.11252688616514206,0.15682095289230347,0.0070566097274422646,3.722041368484497
87,Tone 7,Mouse39113,27,group 2,0.11417105048894882,0.1957826167345047,0.020464377477765083,4.3974785804748535
88,Tone 7,Mouse39113,28,group 2,0.12969636917114258,0.15576492249965668,0.021603824570775032,3.8831257820129395
89,Tone 7,Mouse39113,29,group 2,0.13939785957336426,0.1868690848350525,0.023218505084514618,4.497936725616455
90,Tone 7,Mouse39113,30,group 2,0.13637496531009674,0.16044627130031586,0.0611770823597908,4.055224895477295
91,Tone 7,Mouse39113,31,group 2,0.1002560630440712,0.10778529942035675,0.020928801968693733,2.794285297393799
92,Tone 7,Mouse39113,32,group 2,0.11239689588546753,0.21874114871025085,0.0059087201952934265,4.752374172210693
93,Tone 7,Mouse39113,33,group 2,0.1282067745923996,0.2599852979183197,0.03130652755498886,5.613290786743164
94,Tone 7,Mouse39113,34,group 2,0.10205064713954926,0.1251850426197052,0.010401813313364983,3.0943641662597656
95,Tone 7,Mouse39113,35,group 2,0.14661742746829987,0.18887624144554138,0.05641128122806549,4.626129627227783
96,Tone 7,Mouse39113,36,group 2,0.14519628882408142,0.20382799208164215,0.00941002368927002,4.827507019042969
97,Tone 7,Mouse39113,37,group 2,0.14261631667613983,0.20916585624217987,0.034086402505636215,4.909091472625732
98,Tone 7,Mouse39113,38,group 2,0.08739983290433884,0.14179998636245728,0.031545769423246384,3.2431938648223877
