minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0.07553904,0.118373536,0,Mouse69061,1.0,110421
0.08184798,0.12872489,60,Mouse69061,1.0,110421
0.0730709,0.12315645,120,Mouse69061,1.0,110421
0.07326639,0.12041924,180,Mouse69061,1.0,110421
0.0721535,0.1217578,240,Mouse69061,1.0,110421
0.07707833,0.11739383,300,Mouse69061,1.0,110421
0.07137699,0.11113096,360,Mouse69061,1.0,110421
0.06910933,0.11035153,420,Mouse69061,1.0,110421
0.072576426,0.11382416,480,Mouse69061,1.0,110421
0.07498685,0.11953991,540,Mouse69061,1.0,110421
0.07500255,0.11507437,600,Mouse69061,1.0,110421
0.07550033,0.12053521,660,Mouse69061,1.0,110421
0.07606131,0.11832841,720,Mouse69061,1.0,110421
0.07379786,0.13595682,780,Mouse69061,1.0,110421
0.07450573,0.13948065,840,Mouse69061,1.0,110421
0.067672126,0.115496665,900,Mouse69061,1.0,110421
0.07364955,0.11614234,960,Mouse69061,1.0,110421
0.069266535,0.12168345,1020,Mouse69061,1.0,110421
0.073393054,0.12816961,1080,Mouse69061,1.0,110421
0.07243097,0.12414477,1140,Mouse69061,1.0,110421
0.069984116,0.110486574,1200,Mouse69061,1.0,110421
0.07889284,0.11668759,1260,Mouse69061,1.0,110421
0.07456049,0.12692052,1320,Mouse69061,1.0,110421
0.06858672,0.10113997,1380,Mouse69061,1.0,110421
0.06743349,0.112407334,1440,Mouse69061,1.0,110421
0.06707955,0.111726105,1500,Mouse69061,1.0,110421
0.0720137,0.12610222,1560,Mouse69061,1.0,110421
0.07287758,0.1436837,1620,Mouse69061,1.0,110421
0.0694295,0.117010534,1680,Mouse69061,1.0,110421
0.07069325,0.11027718,1740,Mouse69061,1.0,110421
0.07231049,0.11319588,1800,Mouse69061,1.0,110421
0.06894268,0.09902471,1860,Mouse69061,1.0,110421
0.06991117,0.10557783,1920,Mouse69061,1.0,110421
0.06688085,0.0953394,1980,Mouse69061,1.0,110421
0.07374147,0.12095849,2040,Mouse69061,1.0,110421
0.076765075,0.116075486,2100,Mouse69061,1.0,110421
0.07834057,0.14816989,2160,Mouse69061,1.0,110421
0.062308908,0.10144924,2220,Mouse69061,1.0,110421
0.06383677,0.103078514,2280,Mouse69061,1.0,110421
0.06971161,0.112259105,2340,Mouse69061,1.0,110421
0.061611883,0.09705384,2400,Mouse69061,1.0,110421
0.06534958,0.092868544,2460,Mouse69061,1.0,110421
0.070811726,0.09848502,2520,Mouse69061,1.0,110421
0.06619909,0.10065674,2580,Mouse69061,1.0,110421
0.06491295,0.09690031,2640,Mouse69061,1.0,110421
0.06808719,0.10919227,2700,Mouse69061,1.0,110421
0.06311231,0.095263675,2760,Mouse69061,1.0,110421
0.05987647,0.08687521,2820,Mouse69061,1.0,110421
0.06750684,0.10442762,2880,Mouse69061,1.0,110421
0.06697243,0.10291558,2940,Mouse69061,1.0,110421
0.066452414,0.10165207,3000,Mouse69061,1.0,110421
0.060445867,0.09399107,3060,Mouse69061,1.0,110421
0.06381021,0.11199424,3120,Mouse69061,1.0,110421
0.066675,0.10231866,3180,Mouse69061,1.0,110421
0.065775596,0.09747704,3240,Mouse69061,1.0,110421
0.06951829,0.10079424,3300,Mouse69061,1.0,110421
0.06633619,0.10184375,3360,Mouse69061,1.0,110421
0.06284313,0.09079507,3420,Mouse69061,1.0,110421
0.060596857,0.0971483,3480,Mouse69061,1.0,110421
0.06537469,0.10276557,3540,Mouse69061,1.0,110421
0.0811582,0.14012395,0,Mouse69061,0.0,110521
0.08049488,0.12760241,60,Mouse69061,0.0,110521
0.08456563,0.13926534,120,Mouse69061,0.0,110521
0.080321856,0.12932216,180,Mouse69061,0.0,110521
0.07784535,0.12656485,240,Mouse69061,0.0,110521
0.080535725,0.13966335,300,Mouse69061,0.0,110521
0.07857651,0.12757428,360,Mouse69061,0.0,110521
0.07384961,0.11923086,420,Mouse69061,0.0,110521
0.076128654,0.122494794,480,Mouse69061,0.0,110521
0.07561392,0.13179243,540,Mouse69061,0.0,110521
0.077464096,0.12701657,600,Mouse69061,0.0,110521
0.073734984,0.12909065,660,Mouse69061,0.0,110521
0.0712292,0.12004911,720,Mouse69061,0.0,110521
0.06832496,0.13504729,780,Mouse69061,0.0,110521
0.07314647,0.13809511,840,Mouse69061,0.0,110521
0.0767443,0.12693818,900,Mouse69061,0.0,110521
0.07810698,0.13945505,960,Mouse69061,0.0,110521
0.072524026,0.12821084,1020,Mouse69061,0.0,110521
0.07880584,0.13486736,1080,Mouse69061,0.0,110521
0.07595488,0.12899584,1140,Mouse69061,0.0,110521
0.068589136,0.12240862,1200,Mouse69061,0.0,110521
0.06816292,0.1119609,1260,Mouse69061,0.0,110521
0.07068343,0.11158326,1320,Mouse69061,0.0,110521
0.07096472,0.12888831,1380,Mouse69061,0.0,110521
0.06984407,0.11861252,1440,Mouse69061,0.0,110521
0.06894885,0.116632484,1500,Mouse69061,0.0,110521
0.07123827,0.11630005,1560,Mouse69061,0.0,110521
0.06903957,0.11764709,1620,Mouse69061,0.0,110521
0.070396595,0.11849007,1680,Mouse69061,0.0,110521
0.07517539,0.12580168,1740,Mouse69061,0.0,110521
0.0719336,0.1267051,1800,Mouse69061,0.0,110521
0.07036184,0.125056,1860,Mouse69061,0.0,110521
0.06503707,0.11177644,1920,Mouse69061,0.0,110521
0.06933027,0.12135011,1980,Mouse69061,0.0,110521
0.064767785,0.112226054,2040,Mouse69061,0.0,110521
0.070645794,0.12696189,2100,Mouse69061,0.0,110521
0.071904756,0.11569575,2160,Mouse69061,0.0,110521
0.07043775,0.13298042,2220,Mouse69061,0.0,110521
0.071126886,0.14811581,2280,Mouse69061,0.0,110521
0.0700033,0.14254315,2340,Mouse69061,0.0,110521
0.07173157,0.14580075,2400,Mouse69061,0.0,110521
0.06117133,0.12347369,2460,Mouse69061,0.0,110521
0.06791491,0.103265144,2520,Mouse69061,0.0,110521
0.07096873,0.11096067,2580,Mouse69061,0.0,110521
0.06660865,0.109338984,2640,Mouse69061,0.0,110521
0.07644438,0.118236355,2700,Mouse69061,0.0,110521
0.07721413,0.12254539,2760,Mouse69061,0.0,110521
0.074640945,0.11833276,2820,Mouse69061,0.0,110521
0.074590825,0.11768846,2880,Mouse69061,0.0,110521
0.07039287,0.11205587,2940,Mouse69061,0.0,110521
0.066238895,0.10455958,3000,Mouse69061,0.0,110521
0.073085934,0.1205194,3060,Mouse69061,0.0,110521
0.06563295,0.102810815,3120,Mouse69061,0.0,110521
0.067467354,0.09551796,3180,Mouse69061,0.0,110521
0.06783506,0.107138135,3240,Mouse69061,0.0,110521
0.068894036,0.11054017,3300,Mouse69061,0.0,110521
0.06912693,0.10643769,3360,Mouse69061,0.0,110521
0.07728984,0.11433414,3420,Mouse69061,0.0,110521
0.07700749,0.12847823,3480,Mouse69061,0.0,110521
0.065827124,0.12852249,3540,Mouse69061,0.0,110521
0.09289572,0.15707865,0,Mouse78732,0.0,040623
0.09414801,0.16669488,60,Mouse78732,0.0,040623
0.09756305,0.17029673,120,Mouse78732,0.0,040623
0.09486624,0.16344589,180,Mouse78732,0.0,040623
0.09768887,0.16441715,240,Mouse78732,0.0,040623
0.09558772,0.1585752,300,Mouse78732,0.0,040623
0.09959357,0.17192636,360,Mouse78732,0.0,040623
0.0930705,0.15883121,420,Mouse78732,0.0,040623
0.09224316,0.15214479,480,Mouse78732,0.0,040623
0.094126746,0.15367386,540,Mouse78732,0.0,040623
0.09255709,0.14895049,600,Mouse78732,0.0,040623
0.09920646,0.16248982,660,Mouse78732,0.0,040623
0.07784939,0.15649888,720,Mouse78732,0.0,040623
0.083079405,0.14379072,780,Mouse78732,0.0,040623
0.09509516,0.17238747,840,Mouse78732,0.0,040623
0.09286611,0.15683274,900,Mouse78732,0.0,040623
0.09341741,0.1569095,960,Mouse78732,0.0,040623
0.08553607,0.1490435,1020,Mouse78732,0.0,040623
0.09321662,0.14986038,1080,Mouse78732,0.0,040623
0.089859694,0.1538298,1140,Mouse78732,0.0,040623
0.08598377,0.14472714,1200,Mouse78732,0.0,040623
0.08729054,0.16162966,1260,Mouse78732,0.0,040623
0.09054592,0.15457724,1320,Mouse78732,0.0,040623
0.086774416,0.15267365,1380,Mouse78732,0.0,040623
0.094957575,0.16094467,1440,Mouse78732,0.0,040623
0.0887019,0.15132976,1500,Mouse78732,0.0,040623
0.08294133,0.14177634,1560,Mouse78732,0.0,040623
0.080809966,0.14363812,1620,Mouse78732,0.0,040623
