,Mouse,Group,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,Mouse39114,group_1,2.51387619972229,2.9953317642211914,4.384922504425049,4.664724349975586,4.26806116104126,2.7383315563201904,4.578103542327881,4.228954315185547,4.211690425872803,4.144017219543457,4.865584850311279,2.5691041946411133,2.9130232334136963,5.060729503631592,3.4460573196411133,3.986217737197876,4.685255527496338,6.456981182098389,3.151276111602783,3.67117977142334,3.084850788116455,2.7196810245513916,3.383922576904297,3.5857510566711426,2.1536402702331543,3.9126460552215576,3.2011568546295166,4.555383205413818,4.159112453460693,3.441990375518799,2.68780255317688,2.455321788787842,4.1901068687438965,5.6520490646362305,3.015275716781616,2.4217305183410645,3.353553056716919,4.3911943435668945,3.9908158779144287,2.505241870880127,3.174830675125122,4.75468111038208,5.022790908813477,3.2800300121307373,3.179182291030884,2.4954516887664795,2.790283679962158,3.794595718383789,3.763922691345215,3.317523717880249,2.0279998779296875,3.4093284606933594,2.739431381225586,3.309500217437744,2.7661590576171875,3.927138566970825,4.111429691314697,3.9050533771514893,3.7031631469726562,4.2498860359191895,3.58579158782959,2.3771140575408936,4.760666370391846,2.9747283458709717,4.4933295249938965,3.5516457557678223,4.137892723083496,3.3952460289001465,2.67555832862854,3.42557954788208,3.7610199451446533,2.9753782749176025,4.615220546722412,3.3324825763702393,4.319281578063965,4.467981338500977,3.2444934844970703,4.068310737609863,3.996259927749634,3.0483665466308594,3.670426845550537,3.347322463989258,2.70340895652771,4.496498107910156,5.77317476272583,3.9518280029296875,2.6913766860961914,1.7662404775619507,3.846426486968994,3.035548448562622,6.240894794464111,3.415109634399414,4.860001087188721,3.283884048461914,2.1567223072052,5.274529933929443,5.596293926239014,3.816372871398926,2.8549997806549072,4.529818058013916,4.48995304107666,2.728790760040283,3.5317976474761963,4.191813945770264,4.725302696228027,3.3482601642608643,4.703185081481934,3.4776864051818848,3.9383273124694824,3.0363903045654297,4.003306865692139,5.053165912628174,3.1665289402008057,3.519894599914551,1.910967469215393,2.954380989074707,2.146033763885498,2.899951457977295,2.7540206909179688,3.2232069969177246,4.143132209777832,3.7089264392852783,1.7259173393249512,2.804793357849121,4.0330023765563965,4.149664402008057,4.625909805297852,4.054512023925781,3.9232285022735596,3.3117592334747314,2.9954493045806885,2.2947869300842285,3.24847674369812,4.440210819244385,4.092334747314453,2.981872081756592,4.007785797119141,2.7361233234405518,2.5216379165649414,,3.509096145629883,2.592604637145996,1.7953613996505737,3.4490137100219727,3.3726565837860107,3.701915979385376,1.776394248008728,3.655634641647339,3.881757974624634,5.269474029541016
1,Mouse39121,group_1,4.3608832359313965,5.996542930603027,2.2540082931518555,2.692891836166382,3.3150229454040527,4.211801052093506,3.3495140075683594,5.8122172355651855,2.9965837001800537,2.5212366580963135,4.6539411544799805,3.1959996223449707,4.099030494689941,4.315761566162109,3.1206820011138916,5.696842670440674,4.214205265045166,4.718937397003174,2.236642837524414,2.8564064502716064,3.501997470855713,4.45004940032959,4.256566524505615,2.685386896133423,3.3035383224487305,5.905380725860596,4.21395206451416,4.191542625427246,2.9777638912200928,4.039436340332031,3.41176700592041,3.2319295406341553,4.332702159881592,4.6186909675598145,3.313369035720825,5.070069313049316,4.325978755950928,5.059945106506348,4.999744415283203,3.543386459350586,3.3069727420806885,5.066607475280762,3.200617551803589,4.715463638305664,2.7522242069244385,3.1432783603668213,3.624464511871338,4.677170753479004,4.2268595695495605,1.876772403717041,4.21809720993042,3.7957873344421387,3.457103967666626,4.310301780700684,4.754227638244629,2.6895081996917725,2.500199794769287,3.459596633911133,5.267232418060303,3.688338279724121,4.759990215301514,4.953219413757324,2.9122931957244873,4.0382208824157715,3.6521248817443848,4.073134422302246,3.135922908782959,3.318422555923462,2.8163201808929443,3.191042423248291,5.064748287200928,2.9829280376434326,3.752495050430298,4.541031360626221,3.5484373569488525,3.836374282836914,2.6127419471740723,3.3802812099456787,3.126269817352295,2.5223076343536377,3.345794439315796,3.9319851398468018,3.9792654514312744,3.319438934326172,4.506875038146973,4.172091960906982,3.365675687789917,3.1689913272857666,4.60384464263916,3.258176326751709,3.363176107406616,2.4268198013305664,5.222862243652344,2.7034406661987305,3.9368972778320312,5.020692348480225,4.06761360168457,4.365475177764893,2.9943857192993164,3.4232077598571777,4.257319450378418,3.9065139293670654,4.0035400390625,4.06278133392334,4.432336330413818,4.414897441864014,3.9044525623321533,3.528024435043335,3.665597438812256,3.669788360595703,2.088308095932007,4.16094970703125,3.1013498306274414,5.829919815063477,3.354259729385376,2.7518117427825928,4.523270130157471,2.2070505619049072,5.10582971572876,2.715398073196411,3.6728978157043457,4.337813377380371,4.272368907928467,5.754917621612549,3.5088088512420654,4.182482719421387,2.5877766609191895,3.874392032623291,3.1427135467529297,4.083599090576172,3.7100157737731934,3.7382781505584717,4.334677696228027,3.669942617416382,4.796761989593506,3.084435224533081,2.8872878551483154,3.2113564014434814,3.210559844970703,4.207237720489502,4.4363932609558105,4.516539573669434,3.0339138507843018,3.9423530101776123,3.3412134647369385,4.252389430999756,3.500715494155884,3.824664831161499,3.075469732284546,3.4058587551116943
2,Mouse39124,group_1,2.739614963531494,3.6740763187408447,1.8425638675689697,4.486784934997559,2.1270670890808105,2.4025747776031494,2.326381206512451,1.7422035932540894,2.6605899333953857,2.4721131324768066,0.8922092914581299,3.9387619495391846,4.328010082244873,1.855666160583496,2.355478048324585,2.669703245162964,3.1223793029785156,3.3049538135528564,5.485503196716309,5.339693546295166,3.71634840965271,4.252312183380127,2.9398441314697266,3.4571690559387207,3.912109375,,1.9166016578674316,4.213080406188965,3.806466579437256,3.9507508277893066,4.5707106590271,4.2007951736450195,4.434653282165527,2.4814934730529785,3.808990240097046,5.508456707000732,4.79301643371582,3.5941107273101807,3.3089439868927,4.048444747924805,5.130745887756348,3.84313702583313,5.36991024017334,3.8824868202209473,4.196019172668457,4.502164363861084,4.363413333892822,4.0584917068481445,3.943833351135254,3.893883466720581,5.080875873565674,3.816027879714966,5.81742000579834,4.6307373046875,4.789684295654297,5.292082786560059,3.7905004024505615,2.7273244857788086,2.6638238430023193,4.2067694664001465,3.2939298152923584,3.711535930633545,3.5657432079315186,3.379085063934326,4.162215709686279,4.668222904205322,4.039410591125488,5.466464996337891,4.195098876953125,4.260221004486084,5.573901653289795,6.221598148345947,2.8877665996551514,4.3380446434021,3.0782058238983154,3.6938865184783936,5.782631874084473,4.6119303703308105,3.650052309036255,2.22240948677063,5.325024127960205,2.5513455867767334,3.181302070617676,3.824012517929077,4.126150608062744,4.36426305770874,3.856876850128174,2.992918014526367,4.586839199066162,3.3631906509399414,5.306413173675537,3.044440984725952,3.9494736194610596,4.571028232574463,4.931755542755127,3.2761647701263428,3.268362522125244,2.011317491531372,1.8495619297027588,4.187073230743408,2.1131489276885986,4.006065368652344,4.566616058349609,4.280204772949219,4.520649433135986,4.481986999511719,2.8359932899475098,3.5143468379974365,4.410044193267822,3.4014039039611816,3.8057868480682373,4.0756516456604,3.1887433528900146,3.823496103286743,3.0561881065368652,4.593557357788086,3.1940577030181885,,4.15642786026001,4.7982988357543945,2.3020477294921875,3.5881752967834473,3.8490498065948486,4.088294982910156,2.975686550140381,3.790518283843994,2.8773562908172607,4.378672122955322,3.6968863010406494,4.34301233291626,4.627198696136475,2.3407998085021973,1.1813396215438843,3.8890390396118164,3.8171157836914062,2.559147596359253,6.2984619140625,4.586775302886963,2.568502902984619,4.200305461883545,4.77954626083374,3.7561352252960205,4.213922500610352,3.4663736820220947,3.827537775039673,5.895355701446533,5.811761856079102,2.5401737689971924,2.7786593437194824,5.243574619293213
3,Mouse39133,group_1,4.181914329528809,3.0935263633728027,2.219372272491455,3.909019708633423,4.415192127227783,3.7429521083831787,4.528590679168701,3.5328691005706787,3.480623722076416,3.787332773208618,3.769896984100342,4.417564392089844,3.3727023601531982,3.478379011154175,4.687106132507324,2.617844820022583,3.1522696018218994,2.6845152378082275,2.0597612857818604,4.840267181396484,1.516711711883545,3.7711899280548096,2.7930386066436768,2.1320884227752686,3.8127074241638184,2.9142656326293945,2.3207151889801025,3.003783941268921,3.0710678100585938,3.908543586730957,3.6282505989074707,3.144392251968384,1.3773984909057617,3.7600109577178955,3.5253472328186035,1.9680330753326416,2.864877700805664,4.087399959564209,3.608912229537964,4.065810203552246,4.995175838470459,4.23966121673584,4.68012809753418,4.208321571350098,5.139763832092285,4.087843418121338,4.691519737243652,3.8902392387390137,4.359922885894775,3.323214292526245,3.7323145866394043,3.564023017883301,4.106414794921875,2.4355626106262207,4.087777137756348,4.220484256744385,4.158586025238037,4.204479217529297,3.9010560512542725,4.639649391174316,3.8872995376586914,2.8717455863952637,3.26790452003479,3.19046950340271,3.876674175262451,4.950801372528076,3.50184965133667,4.449472427368164,4.456622123718262,4.383407115936279,3.2595624923706055,3.567147970199585,3.671218156814575,4.044293403625488,4.431346416473389,3.5257461071014404,3.153048276901245,2.9878032207489014,5.359968662261963,4.153781890869141,6.2952189445495605,4.532245635986328,2.6370294094085693,4.752274990081787,2.9789352416992188,3.5859451293945312,4.420357704162598,3.9550600051879883,3.410456895828247,3.0230050086975098,6.2466912269592285,2.5063440799713135,3.9663078784942627,4.752925872802734,4.686580657958984,5.488300800323486,5.095804691314697,4.889074325561523,5.520722389221191,4.502569198608398,3.5568888187408447,2.92103910446167,3.5702788829803467,4.553933143615723,5.232037544250488,4.248447895050049,3.58853816986084,4.933601379394531,4.027669429779053,2.3711795806884766,3.899247407913208,5.394528388977051,3.658132314682007,3.7735023498535156,4.990656852722168,5.231778144836426,3.0096211433410645,3.098930835723877,3.7945170402526855,4.402178764343262,2.4846158027648926,3.315690517425537,4.764021396636963,2.935922384262085,4.010760307312012,4.273430824279785,3.9217822551727295,3.3394060134887695,4.17311429977417,2.6369895935058594,3.361363172531128,3.1113879680633545,3.5877177715301514,3.1473796367645264,4.038815498352051,4.093386173248291,4.166256904602051,3.017810106277466,4.633567810058594,2.2427284717559814,3.412959575653076,5.123491287231445,4.591691017150879,3.3226656913757324,5.09789514541626,4.414579391479492,2.376163959503174,3.250626802444458,3.5269618034362793,0.8578553795814514
4,Mouse9001,group_1,3.697418451309204,1.8156418800354004,3.7320480346679688,,2.3464715480804443,3.580615997314453,4.133010387420654,4.058684825897217,4.135875225067139,2.0304923057556152,3.3269224166870117,3.7298624515533447,4.510272026062012,3.152850866317749,2.337925910949707,2.3538901805877686,4.163965702056885,3.2171201705932617,2.6835880279541016,,2.1270976066589355,2.0694007873535156,4.380407810211182,4.224552631378174,2.7649455070495605,2.7322187423706055,1.607785940170288,5.496307373046875,3.514052629470825,2.5160462856292725,2.0281171798706055,2.7994565963745117,2.6644434928894043,2.231411933898926,3.206923484802246,2.8010592460632324,3.2286996841430664,3.9766764640808105,3.3729817867279053,2.511854410171509,3.2281644344329834,2.584453582763672,1.58437979221344,2.0210886001586914,1.303189754486084,2.1929450035095215,2.8441197872161865,2.3734395503997803,3.7766170501708984,2.8079819679260254,2.970214605331421,2.9139773845672607,4.129701614379883,3.580429792404175,5.04622745513916,3.151815891265869,3.1126749515533447,,,3.765348196029663,1.3339332342147827,3.850231170654297,3.63324236869812,3.4130425453186035,3.2919721603393555,1.5483845472335815,1.5878362655639648,3.897632122039795,2.9976179599761963,2.746359348297119,2.2800257205963135,1.695738673210144,1.4187783002853394,3.18640398979187,2.747943878173828,3.0727055072784424,2.4151878356933594,2.720857858657837,1.9740867614746094,2.4798245429992676,3.5090932846069336,3.2873294353485107,2.139064073562622,2.3746862411499023,2.3642020225524902,3.812270164489746,3.998913049697876,1.319602608680725,3.0913262367248535,3.999157190322876,1.9022235870361328,1.5579487085342407,3.5081605911254883,1.352487325668335,4.9445109367370605,3.828705072402954,2.11210298538208,2.691901445388794,2.1964831352233887,2.112941265106201,2.0917110443115234,2.4914393424987793,2.094649076461792,3.8488800525665283,3.048529624938965,3.0922493934631348,3.890104293823242,2.097724437713623,2.950387477874756,1.8065561056137085,3.7060983180999756,3.707866907119751,1.917435884475708,2.914071559906006,3.7145376205444336,3.562771797180176,3.3057267665863037,3.744586706161499,2.573922872543335,3.4223926067352295,2.1097326278686523,2.5206222534179688,2.364563465118408,3.394329309463501,3.910656690597534,3.2717185020446777,2.3467769622802734,3.918520927429199,,2.22038197517395,1.6875953674316406,3.546143054962158,3.1950271129608154,1.4266088008880615,2.5175023078918457,3.1418371200561523,3.9012413024902344,3.391035318374634,1.861771583557129,4.510798931121826,3.8596203327178955,2.722830057144165,3.0144007205963135,4.2172770500183105,1.6288983821868896,2.330049753189087,2.317333459854126,3.3464019298553467,1.716719388961792,
5,Mouse9011,group_1,3.9430229663848877,3.514840841293335,,,,,,2.847738742828369,4.128480911254883,5.818282127380371,4.303612232208252,3.5146913528442383,3.305661916732788,3.0239384174346924,3.033155679702759,4.097593784332275,4.56235933303833,3.3007843494415283,2.4626641273498535,2.5288381576538086,2.7223517894744873,2.1244871616363525,4.399334907531738,3.0480117797851562,4.196649551391602,3.9330978393554688,5.4109086990356445,5.243860244750977,3.7826082706451416,4.263914585113525,5.215848922729492,3.9639594554901123,,,2.6242594718933105,3.154466152191162,4.044084548950195,4.215576648712158,4.496387481689453,5.311225414276123,3.7872769832611084,3.7020089626312256,2.7707266807556152,2.9952409267425537,2.952967643737793,4.314779758453369,4.491927623748779,4.914154052734375,2.5628387928009033,4.2185587882995605,4.319094181060791,4.02812385559082,3.407001256942749,3.3593194484710693,4.704061985015869,4.5209808349609375,5.024789333343506,5.869735240936279,5.822451591491699,6.184178829193115,3.6071131229400635,4.019425868988037,4.973305702209473,5.458783149719238,3.777097702026367,3.672743082046509,3.7981724739074707,4.526347637176514,3.5557053089141846,3.8854713439941406,4.626492977142334,5.669891834259033,,6.810107707977295,4.289745807647705,4.415290832519531,3.6134889125823975,,,3.043767213821411,3.722991704940796,5.001758098602295,4.305131912231445,4.546454429626465,5.158953666687012,2.7324862480163574,,,3.59995436668396,3.1531975269317627,4.8239359855651855,4.393624305725098,3.3885533809661865,3.7185094356536865,5.218219757080078,4.399263858795166,5.155903339385986,3.5757734775543213,4.2535295486450195,3.966327667236328,2.760730743408203,4.66038179397583,3.6343166828155518,3.61283802986145,4.3930745124816895,4.065776824951172,2.658385753631592,5.321455955505371,3.591658115386963,4.455111026763916,3.0547897815704346,2.148820638656616,3.843625545501709,4.129022598266602,4.065323352813721,2.9007303714752197,5.677850723266602,3.5865581035614014,3.63838529586792,4.486110210418701,2.7838211059570312,3.5391290187835693,2.543754816055298,3.907909631729126,3.6377651691436768,4.138028144836426,4.772179126739502,3.8453238010406494,5.317043304443359,2.4169468879699707,2.3161838054656982,5.534286975860596,3.4769859313964844,6.595055103302002,4.858753681182861,5.970916271209717,1.1466389894485474,3.572558641433716,5.782229423522949,1.933948040008545,4.565366268157959,3.4273507595062256,4.683434009552002,4.775578022003174,4.499668598175049,,,5.196739196777344,2.5046801567077637,
6,Mouse9013,group_1,3.125340700149536,3.442373752593994,2.8924267292022705,5.791372776031494,4.699923515319824,2.988527536392212,,2.733046531677246,2.7312254905700684,3.3739511966705322,3.601250171661377,3.83994722366333,2.683490037918091,2.396740198135376,4.516351699829102,3.887018918991089,3.6427290439605713,2.3550472259521484,5.264377117156982,3.8996572494506836,3.8751556873321533,2.572225332260132,3.9090185165405273,2.5004241466522217,3.970174789428711,4.5624589920043945,3.470531940460205,4.3910698890686035,4.275079250335693,1.3493181467056274,3.7781789302825928,4.612349033355713,4.026847839355469,4.856475830078125,2.6062638759613037,4.302997589111328,4.251545429229736,4.693990230560303,4.849855422973633,3.4476141929626465,3.6294496059417725,3.478576183319092,3.930323362350464,4.768039226531982,4.555459499359131,3.901024580001831,2.7967076301574707,4.486021041870117,3.4671671390533447,3.8689825534820557,4.940893173217773,3.9507362842559814,5.676459312438965,4.497527599334717,4.611209869384766,3.2406299114227295,5.280021667480469,4.384900093078613,3.4861161708831787,3.565772533416748,4.897442817687988,3.8933098316192627,3.321981191635132,4.652769565582275,4.504578590393066,5.069005012512207,4.205581188201904,4.348099231719971,2.073427200317383,3.988396167755127,5.162679672241211,5.365646839141846,3.3694164752960205,4.5533061027526855,5.907241344451904,3.392735004425049,4.186468601226807,4.120851039886475,3.719783306121826,3.4271023273468018,6.106145858764648,4.088895797729492,5.05222749710083,5.722402572631836,3.4946227073669434,3.268857717514038,5.156147003173828,3.8340322971343994,4.39638090133667,3.021927833557129,4.239403247833252,4.914679050445557,3.687631130218506,2.6522955894470215,4.441719055175781,5.058847427368164,4.047882080078125,4.5147528648376465,4.811319351196289,4.339914798736572,2.920585870742798,4.162501811981201,4.011284828186035,3.393559694290161,4.175331115722656,4.5230021476745605,4.223876476287842,3.8453238010406494,3.599926710128784,5.911684036254883,1.9362252950668335,5.689264297485352,3.744295120239258,6.278451919555664,4.543964862823486,3.931100368499756,,,,,,,,,,3.404064178466797,4.518553733825684,4.152474403381348,5.250589370727539,3.188227891921997,4.189540386199951,3.896969795227051,3.600975751876831,4.447689533233643,4.954477787017822,4.34624719619751,4.949036121368408,5.439318656921387,6.183832168579102,3.6889970302581787,5.744523525238037,4.191921710968018,5.72796630859375,4.875040054321289,3.7065317630767822,4.386513710021973,4.076343059539795,4.6685028076171875,5.4695048332214355,4.504724025726318
7,Mouse9071,group_1,2.6931259632110596,3.946578025817871,4.293414115905762,4.543850421905518,2.6102616786956787,2.951249599456787,3.338630199432373,2.8571667671203613,3.401531934738159,2.504303455352783,3.126753330230713,2.7017078399658203,2.8786652088165283,2.9735124111175537,3.197817325592041,3.7248024940490723,3.602121591567993,4.754364490509033,,,,,3.711668014526367,2.907395362854004,3.4308247566223145,3.251236915588379,3.281195878982544,4.1361212730407715,3.747140645980835,2.7426908016204834,3.321061849594116,3.3840932846069336,4.069891929626465,2.71588397026062,3.1489081382751465,3.3828318119049072,4.308591842651367,3.6107192039489746,3.501739978790283,4.32538366317749,5.042644023895264,4.092595100402832,2.545377254486084,4.876303195953369,4.344985008239746,3.588376998901367,5.4429545402526855,5.00388240814209,3.298337936401367,4.8423357009887695,3.7090108394622803,3.4097981452941895,3.5707945823669434,3.803525447845459,3.473010778427124,3.007162094116211,,,,,,,4.196218490600586,5.502213001251221,2.2846851348876953,3.990792989730835,4.035815715789795,3.7685256004333496,4.029490947723389,3.0018513202667236,3.9098424911499023,2.881821393966675,3.6869304180145264,3.1488142013549805,4.594707012176514,2.811316728591919,3.823967456817627,3.8447225093841553,3.0342066287994385,3.4761910438537598,4.499016761779785,2.925959587097168,4.854870319366455,3.448033571243286,4.8997368812561035,3.119187593460083,3.5031089782714844,4.921197414398193,3.2495315074920654,3.9007062911987305,5.905479907989502,3.901998281478882,4.6949262619018555,2.5147759914398193,4.955164909362793,4.770271301269531,5.785404205322266,4.831314563751221,2.9122114181518555,4.680440902709961,3.660630941390991,4.992709636688232,2.7335574626922607,4.220447540283203,4.613943099975586,3.4471449851989746,3.688534736633301,4.661970138549805,3.6699602603912354,4.259346008300781,3.3462579250335693,3.8162147998809814,5.0765061378479,3.5847575664520264,4.007566452026367,2.364734172821045,2.927187442779541,4.802885055541992,5.307684898376465,3.8384506702423096,4.224372863769531,4.495365619659424,4.749586582183838,5.6556549072265625,3.711747169494629,3.513916015625,4.66827917098999,3.745060920715332,4.332559585571289,4.937567710876465,3.408869504928589,4.468043804168701,3.0410830974578857,3.43435001373291,3.292665719985962,3.063194513320923,3.6234939098358154,3.7064127922058105,3.3308935165405273,3.0638835430145264,2.6150622367858887,2.981250524520874,3.6539480686187744,4.783992290496826,5.655549049377441,3.4762308597564697,3.4284274578094482,2.4642651081085205,3.7542316913604736,4.318298816680908
8,Mouse9072,group_1,4.889387607574463,2.8667540550231934,2.418008804321289,3.2851479053497314,2.4577243328094482,3.1372880935668945,2.069242238998413,3.826169013977051,3.1990957260131836,2.411790370941162,3.246206283569336,2.0158727169036865,4.323704242706299,3.4814164638519287,2.2686872482299805,4.585291385650635,3.7721059322357178,2.681818723678589,4.359212398529053,1.953786015510559,,2.274106740951538,3.020559549331665,2.9248602390289307,1.733261227607727,2.66995906829834,2.0504941940307617,1.702848196029663,2.824146032333374,3.2776682376861572,2.1719706058502197,2.917356252670288,3.165459156036377,2.7871971130371094,3.0655879974365234,3.701282501220703,2.3454065322875977,2.1296355724334717,2.310429334640503,1.503967046737671,2.5365989208221436,4.0839996337890625,4.068520545959473,2.743102550506592,2.2006897926330566,2.4241182804107666,3.93957257270813,4.231306076049805,2.851547956466675,3.812565565109253,3.7529947757720947,3.392129421234131,5.244485378265381,2.5520646572113037,3.4213109016418457,2.7769224643707275,2.553118944168091,3.2235615253448486,3.685969829559326,3.4088969230651855,3.2655446529388428,3.4701898097991943,3.364250898361206,3.6638851165771484,2.269191265106201,3.522249221801758,3.9541451930999756,2.3241617679595947,2.801447629928589,4.983129501342773,1.6552608013153076,2.8194899559020996,3.4278218746185303,2.5150086879730225,3.387730121612549,3.124786138534546,3.8634684085845947,2.122340440750122,4.008524417877197,3.7576522827148438,3.1462268829345703,3.709111452102661,4.399682521820068,2.657949924468994,2.4880311489105225,3.443655014038086,2.4101123809814453,3.5851023197174072,3.2677552700042725,3.3186874389648438,2.817875862121582,2.9331862926483154,2.956655502319336,4.404037952423096,3.812379837036133,4.1086225509643555,2.9531829357147217,4.785651683807373,3.19427490234375,1.7628514766693115,3.9164888858795166,2.3977577686309814,2.639958381652832,2.013319253921509,2.264958381652832,2.7860701084136963,2.202362537384033,3.7200684547424316,1.688297986984253,3.1386353969573975,3.4106228351593018,3.7477543354034424,1.8295893669128418,4.23351526260376,2.7317678928375244,4.437208652496338,5.369725227355957,3.9886410236358643,3.0534446239471436,3.407761335372925,2.950195550918579,3.7706873416900635,4.178723335266113,3.2551419734954834,1.754616379737854,,2.169046401977539,3.065613031387329,2.831066608428955,2.52247953414917,3.213181734085083,2.4481892585754395,1.8904842138290405,3.2781550884246826,2.7248144149780273,2.4650654792785645,4.135788440704346,1.9319053888320923,2.9001002311706543,2.0304672718048096,4.323741436004639,5.285742282867432,3.698199987411499,3.4012560844421387,4.659433841705322,3.0380775928497314,3.1959872245788574,2.431403160095215,2.0603888034820557,3.4415342807769775
9,Mouse9084,group_1,4.070724010467529,4.051135063171387,3.233405351638794,3.8599984645843506,2.644545555114746,6.048646926879883,4.678699493408203,4.754120349884033,4.134807586669922,4.204954624176025,5.119222164154053,5.5312933921813965,3.58518648147583,2.673994779586792,4.508044242858887,4.093107223510742,4.18596887588501,2.77378511428833,3.533025026321411,3.723237991333008,3.704979658126831,4.0741376876831055,3.9852592945098877,4.3668742179870605,2.1869189739227295,2.8844196796417236,4.244357585906982,3.6908059120178223,4.153458595275879,5.7289652824401855,2.883042573928833,3.738614559173584,5.290682315826416,4.825308799743652,3.495795488357544,5.293230056762695,2.9235641956329346,4.634459495544434,4.261735439300537,3.1623239517211914,4.87166166305542,3.653290033340454,3.6052463054656982,3.6235949993133545,3.351329803466797,3.701176881790161,4.006775379180908,3.5593271255493164,4.1200480461120605,3.981563091278076,5.152120590209961,3.3213562965393066,5.147500038146973,4.6044721603393555,4.1663384437561035,3.6059412956237793,4.805654525756836,4.472456932067871,2.851917266845703,3.5192806720733643,4.114300727844238,4.04937219619751,5.076714038848877,3.9203455448150635,3.9038264751434326,3.3780782222747803,4.2012739181518555,3.0848796367645264,3.4572432041168213,3.9826436042785645,4.663969993591309,5.044772148132324,4.504887104034424,3.632443428039551,3.1431589126586914,5.166807651519775,3.128052234649658,3.6012136936187744,3.821685791015625,4.01061487197876,4.1278252601623535,3.6846470832824707,3.464113473892212,3.800534248352051,3.2235312461853027,3.672192096710205,3.8345744609832764,2.3708925247192383,3.262828826904297,4.339266777038574,4.191835403442383,2.227254629135132,5.484118461608887,4.026845932006836,3.2495555877685547,5.050361633300781,4.194637298583984,3.7869954109191895,4.794215202331543,4.020229339599609,2.5589213371276855,5.081607341766357,4.8016438484191895,4.480659484863281,3.539590358734131,4.827207565307617,3.875223398208618,6.751856803894043,3.412543773651123,4.673508644104004,3.5494139194488525,4.531236171722412,3.7493045330047607,4.165014743804932,3.7312302589416504,4.3848114013671875,4.596518039703369,4.443925380706787,4.203841209411621,5.2548065185546875,3.9423320293426514,4.814894199371338,4.6456217765808105,3.3070590496063232,5.371604919433594,3.4481453895568848,4.302714824676514,3.8633928298950195,4.095104694366455,4.519676685333252,4.226511001586914,4.289330959320068,5.306077480316162,4.0111188888549805,5.114498615264893,4.033392906188965,4.612458229064941,2.7420921325683594,3.1752328872680664,4.355913162231445,2.943010091781616,3.3151779174804688,3.849205255508423,3.678997278213501,3.6077723503112793,3.035587787628174,4.328139305114746,3.719196319580078,3.043912410736084,3.4323461055755615
