,minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0,0.07579267,0.1185561,0,Mouse69061,1.0,110421
1,0.08182233,0.12856089,1,Mouse69061,1.0,110421
2,0.07320202,0.122688405,2,Mouse69061,1.0,110421
3,0.0737907,0.12089159,3,Mouse69061,1.0,110421
4,0.07190333,0.12157372,4,Mouse69061,1.0,110421
5,0.07761582,0.11817077,5,Mouse69061,1.0,110421
6,0.07161475,0.11218105,6,Mouse69061,1.0,110421
7,0.06929682,0.1112539,7,Mouse69061,1.0,110421
8,0.072799176,0.11365115,8,Mouse69061,1.0,110421
9,0.07503427,0.119263,9,Mouse69061,1.0,110421
10,0.07458312,0.114589505,10,Mouse69061,1.0,110421
11,0.07585787,0.121038325,11,Mouse69061,1.0,110421
12,0.07607187,0.11754131,12,Mouse69061,1.0,110421
13,0.07406321,0.13691363,13,Mouse69061,1.0,110421
14,0.07410712,0.13909018,14,Mouse69061,1.0,110421
15,0.06824514,0.11597237,15,Mouse69061,1.0,110421
16,0.07341375,0.11543334,16,Mouse69061,1.0,110421
17,0.06909218,0.12158413,17,Mouse69061,1.0,110421
18,0.07394591,0.12994559,18,Mouse69061,1.0,110421
19,0.07268879,0.12336264,19,Mouse69061,1.0,110421
20,0.06990902,0.10928543,20,Mouse69061,1.0,110421
21,0.079296924,0.11754683,21,Mouse69061,1.0,110421
22,0.074081324,0.12639095,22,Mouse69061,1.0,110421
23,0.06844733,0.10004727,23,Mouse69061,1.0,110421
24,0.06778275,0.11334846,24,Mouse69061,1.0,110421
25,0.06707955,0.111726105,25,Mouse69061,1.0,110421
26,0.072367765,0.1275737,26,Mouse69061,1.0,110421
27,0.07286213,0.1436987,27,Mouse69061,1.0,110421
28,0.06957667,0.11798305,28,Mouse69061,1.0,110421
29,0.07075488,0.10955173,29,Mouse69061,1.0,110421
30,0.072207205,0.11369123,30,Mouse69061,1.0,110421
31,0.06912632,0.10038388,31,Mouse69061,1.0,110421
32,0.070168786,0.105857044,32,Mouse69061,1.0,110421
33,0.067561984,0.096306264,33,Mouse69061,1.0,110421
34,0.073749065,0.1216113,34,Mouse69061,1.0,110421
35,0.07598629,0.11443362,35,Mouse69061,1.0,110421
36,0.07881984,0.14963476,36,Mouse69061,1.0,110421
37,0.06245251,0.102539346,37,Mouse69061,1.0,110421
38,0.063776575,0.10293894,38,Mouse69061,1.0,110421
39,0.070042565,0.1127682,39,Mouse69061,1.0,110421
40,0.061456345,0.09678576,40,Mouse69061,1.0,110421
41,0.065362684,0.092343815,41,Mouse69061,1.0,110421
42,0.07087466,0.09842507,42,Mouse69061,1.0,110421
43,0.06633232,0.09947968,43,Mouse69061,1.0,110421
44,0.06513446,0.09665668,44,Mouse69061,1.0,110421
45,0.06888846,0.11020592,45,Mouse69061,1.0,110421
46,0.063763745,0.09648155,46,Mouse69061,1.0,110421
47,0.05967194,0.08651603,47,Mouse69061,1.0,110421
48,0.06774695,0.10466,48,Mouse69061,1.0,110421
49,0.06688737,0.103770316,49,Mouse69061,1.0,110421
50,0.067239456,0.10319854,50,Mouse69061,1.0,110421
51,0.059704736,0.091979966,51,Mouse69061,1.0,110421
52,0.06387708,0.111954994,52,Mouse69061,1.0,110421
53,0.06705414,0.101859815,53,Mouse69061,1.0,110421
54,0.065843716,0.097872,54,Mouse69061,1.0,110421
55,0.06961166,0.1007778,55,Mouse69061,1.0,110421
56,0.06617216,0.10197893,56,Mouse69061,1.0,110421
57,0.06284313,0.09079507,57,Mouse69061,1.0,110421
58,0.060015377,0.09692045,58,Mouse69061,1.0,110421
59,0.06559898,0.1027504,59,Mouse69061,1.0,110421
60,0.06844179,0.09904279,60,Mouse69061,1.0,110421
61,0.081910536,0.14035097,0,Mouse69061,0.0,110521
62,0.08072644,0.127875,1,Mouse69061,0.0,110521
63,0.08459955,0.13853744,2,Mouse69061,0.0,110521
64,0.08033983,0.13023724,3,Mouse69061,0.0,110521
65,0.077959,0.12631047,4,Mouse69061,0.0,110521
66,0.080847956,0.13951679,5,Mouse69061,0.0,110521
67,0.07773852,0.12786916,6,Mouse69061,0.0,110521
68,0.07362561,0.11944314,7,Mouse69061,0.0,110521
69,0.07605317,0.12243622,8,Mouse69061,0.0,110521
70,0.075591244,0.13133037,9,Mouse69061,0.0,110521
71,0.07698488,0.12624913,10,Mouse69061,0.0,110521
72,0.07419647,0.12923762,11,Mouse69061,0.0,110521
73,0.070804425,0.12014773,12,Mouse69061,0.0,110521
74,0.06876416,0.13608272,13,Mouse69061,0.0,110521
75,0.07244817,0.13800183,14,Mouse69061,0.0,110521
76,0.076976925,0.1272168,15,Mouse69061,0.0,110521
77,0.07855421,0.13949549,16,Mouse69061,0.0,110521
78,0.07225248,0.12787408,17,Mouse69061,0.0,110521
79,0.0790203,0.1350082,18,Mouse69061,0.0,110521
80,0.07595488,0.12899584,19,Mouse69061,0.0,110521
81,0.068576604,0.1217037,20,Mouse69061,0.0,110521
82,0.06779097,0.1114607,21,Mouse69061,0.0,110521
83,0.070897885,0.112265505,22,Mouse69061,0.0,110521
84,0.07108174,0.12958914,23,Mouse69061,0.0,110521
85,0.06972908,0.118816786,24,Mouse69061,0.0,110521
86,0.06916659,0.117630735,25,Mouse69061,0.0,110521
87,0.07148163,0.116441585,26,Mouse69061,0.0,110521
88,0.069238886,0.11842769,27,Mouse69061,0.0,110521
89,0.069986805,0.118650176,28,Mouse69061,0.0,110521
90,0.07513009,0.12566112,29,Mouse69061,0.0,110521
91,0.07165775,0.12608126,30,Mouse69061,0.0,110521
92,0.07019709,0.1247023,31,Mouse69061,0.0,110521
93,0.06443265,0.11148682,32,Mouse69061,0.0,110521
94,0.06947615,0.12153125,33,Mouse69061,0.0,110521
95,0.06469678,0.112959854,34,Mouse69061,0.0,110521
96,0.07090845,0.1269231,35,Mouse69061,0.0,110521
97,0.07190588,0.116154745,36,Mouse69061,0.0,110521
98,0.070097834,0.13276818,37,Mouse69061,0.0,110521
99,0.07128985,0.1491747,38,Mouse69061,0.0,110521
100,0.06961525,0.14266875,39,Mouse69061,0.0,110521
101,0.07173157,0.14580075,40,Mouse69061,0.0,110521
102,0.061358742,0.12394269,41,Mouse69061,0.0,110521
103,0.067766905,0.103567995,42,Mouse69061,0.0,110521
104,0.07083521,0.1118669,43,Mouse69061,0.0,110521
105,0.066717185,0.10980421,44,Mouse69061,0.0,110521
106,0.07598435,0.117833234,45,Mouse69061,0.0,110521
107,0.0773804,0.12329273,46,Mouse69061,0.0,110521
108,0.074537605,0.117650375,47,Mouse69061,0.0,110521
109,0.07440332,0.11773803,48,Mouse69061,0.0,110521
110,0.070696734,0.11274283,49,Mouse69061,0.0,110521
111,0.0667999,0.10566031,50,Mouse69061,0.0,110521
112,0.07344944,0.12140959,51,Mouse69061,0.0,110521
113,0.06591706,0.10184794,52,Mouse69061,0.0,110521
114,0.067800336,0.095445074,53,Mouse69061,0.0,110521
115,0.06751274,0.106850095,54,Mouse69061,0.0,110521
116,0.06968054,0.11162799,55,Mouse69061,0.0,110521
117,0.068740375,0.10697125,56,Mouse69061,0.0,110521
118,0.07736513,0.11397291,57,Mouse69061,0.0,110521
119,0.07678832,0.12760961,58,Mouse69061,0.0,110521
120,0.0653084,0.12896486,59,Mouse69061,0.0,110521
121,0.06938865,0.11431526,60,Mouse69061,0.0,110521
122,0.091620766,0.1583693,0,Mouse78732,1.0,040623
123,0.09107008,0.16206715,1,Mouse78732,1.0,040623
124,0.09815397,0.1672585,2,Mouse78732,1.0,040623
125,0.098993905,0.1651822,3,Mouse78732,1.0,040623
126,0.10125236,0.16307715,4,Mouse78732,1.0,040623
127,0.10056596,0.16843297,5,Mouse78732,1.0,040623
128,0.10531338,0.17091471,6,Mouse78732,1.0,040623
129,0.098727904,0.16456996,7,Mouse78732,1.0,040623
130,0.09623786,0.15995015,8,Mouse78732,1.0,040623
131,0.09957154,0.16351344,9,Mouse78732,1.0,040623
132,0.101763204,0.1593658,10,Mouse78732,1.0,040623
133,0.10234692,0.1694044,11,Mouse78732,1.0,040623
134,0.09013828,0.16841318,12,Mouse78732,1.0,040623
135,0.09323023,0.15570904,13,Mouse78732,1.0,040623
136,0.095996894,0.17680629,14,Mouse78732,1.0,040623
137,0.09808775,0.17197895,15,Mouse78732,1.0,040623
