,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
0,Mouse04395,063020,50353,3.4437143802642822,3.8564510345458984,5.509848594665527,3.4847850799560547,5.807680130004883,2.748311758041382,3.840515613555908,4.238171100616455,4.459784984588623,4.251059055328369
1,Mouse04391,061320,51529,4.412394046783447,3.6316895484924316,4.070734024047852,1.7578134536743164,5.6039886474609375,2.2231431007385254,0.830095648765564,1.3634827136993408,1.5553966760635376,0.69388347864151
2,Mouse04393,053120,53740,4.440154075622559,4.960990905761719,4.3787841796875,4.454761981964111,4.0412983894348145,4.513347148895264,4.048282623291016,3.9834775924682617,4.749403953552246,3.8128528594970703
3,Mouse04395,062820,53929,5.214960098266602,4.670761585235596,4.213386058807373,4.999612331390381,2.4720935821533203,4.22824764251709,2.4169461727142334,4.974854946136475,2.3084256649017334,2.8174102306365967
4,Mouse04395,062520,59612,4.015398979187012,3.10508394241333,3.3193135261535645,4.592113494873047,4.506450176239014,3.354597806930542,4.486455917358398,5.496974945068359,3.795412540435791,4.220361709594727
5,Mouse04395,062820,72537,3.0863771438598633,3.125678300857544,5.220120906829834,3.109250545501709,4.65117073059082,3.7955853939056396,2.013920307159424,1.8094791173934937,2.7963204383850098,3.1390790939331055
6,Mouse04393,053120,78122,4.036685466766357,4.7716827392578125,4.198399543762207,3.6327555179595947,4.9895501136779785,4.318341255187988,4.481383323669434,4.845419883728027,5.3374786376953125,3.329104423522949
7,Mouse04395,062820,85320,2.533403158187866,4.103939533233643,2.793513298034668,1.9751057624816895,4.833746910095215,3.0602543354034424,3.617199182510376,2.422295093536377,1.7255408763885498,4.3958587646484375
8,Mouse04395,062620,88414,3.591280460357666,4.2306809425354,4.515161991119385,3.9262237548828125,3.4347622394561768,3.1428885459899902,3.172945737838745,3.1704819202423096,3.842183828353882,3.9463210105895996
9,Mouse04393,060120,91743,6.093089580535889,4.721339225769043,3.8508551120758057,4.232757568359375,3.9465243816375732,4.254916191101074,4.7562432289123535,4.631505012512207,3.2529544830322266,4.703154563903809
10,Mouse04395,062520,91887,4.889177322387695,4.095780849456787,4.399097442626953,4.636116027832031,2.8206241130828857,3.833080291748047,4.0968523025512695,3.9152040481567383,4.282071113586426,4.998988151550293
11,Mouse04395,063020,93214,5.309134483337402,4.692541599273682,4.783726215362549,3.2235684394836426,3.5275871753692627,4.092197418212891,3.202530860900879,4.063487529754639,4.342921733856201,4.486564636230469
12,Mouse04395,062620,102570,4.164829730987549,3.640979766845703,4.879391670227051,5.510148048400879,3.998652458190918,4.797088623046875,3.8878612518310547,3.3951454162597656,4.997655391693115,3.9807169437408447
13,Mouse04393,053120,105473,4.152830123901367,5.5337700843811035,5.8469109535217285,3.8780431747436523,3.3815743923187256,4.220818042755127,4.719939708709717,3.912757635116577,5.024799346923828,5.689730644226074
14,Mouse04395,063020,105540,3.8028719425201416,3.3516342639923096,3.239138603210449,3.8767905235290527,4.797160625457764,3.193027973175049,3.507889986038208,3.912548542022705,4.055626392364502,4.21188497543335
15,Mouse04395,062520,105900,4.921262264251709,2.6974599361419678,3.795067548751831,2.7178750038146973,3.0680091381073,5.358012676239014,2.962651491165161,4.489511489868164,2.6167197227478027,4.460770130157471
16,Mouse04393,060120,106165,4.24923849105835,4.195952892303467,4.966646194458008,6.38714075088501,5.37680721282959,4.915778160095215,2.8161892890930176,5.6342058181762695,5.289181232452393,3.3973543643951416
17,Mouse04395,062820,111373,2.558152675628662,2.7678351402282715,3.410071611404419,4.961226940155029,2.0384833812713623,3.0787529945373535,1.955979824066162,4.446209907531738,1.3463475704193115,2.1382713317871094
18,Mouse04395,063020,115488,4.044299125671387,3.437272787094116,3.328903913497925,5.345213890075684,5.327010154724121,5.4313788414001465,4.543902397155762,5.316494464874268,3.561582326889038,2.547600746154785
19,Mouse04395,062620,116831,3.422187566757202,6.258025646209717,3.742436647415161,4.022861957550049,3.518522262573242,2.9451279640197754,4.065733432769775,5.711593151092529,5.054886341094971,4.390376567840576
20,Mouse04395,062520,116994,4.083738327026367,2.6332476139068604,4.506668567657471,3.741644859313965,4.443298816680908,3.37534499168396,2.5713775157928467,4.342375755310059,6.049583911895752,3.203333854675293
21,Mouse04395,062720,117437,4.677689075469971,3.9783120155334473,3.9410300254821777,3.3217897415161133,4.439421653747559,4.337790012359619,4.124732494354248,4.823640823364258,4.009299278259277,3.8481760025024414
22,Mouse04393,053120,121022,3.676362991333008,4.265787601470947,3.7495453357696533,4.259690284729004,4.741120338439941,5.535789489746094,4.268068313598633,4.488977909088135,3.543231964111328,3.9650394916534424
