,mouse,condition,sex,composite avgScore,composite avgHCScore,composite avgTaskScore,net 1 avgScore,net 1 avgHCScore,net 1 avgTaskScore,net 2 avgScore,net 2 avgHCScore,net 2 avgTaskScore,net 3 avgScore,net 3 avgHCScore,net 3 avgTaskScore,net 1 avgImpact,net 1 avgHCImpact,net 1 avgTaskImpact,net 2 avgImpact,net 2 avgHCImpact,net 2 avgTaskImpact,net 3 avgImpact,net 3 avgHCImpact,net 3 avgTaskImpact
0,Mouse0911,WT,F,3.732661,3.3395793,4.192368,0.09620834,0.090969,0.10233578,0.16446348,0.1441459,0.18822473,0.06652752,0.062386133,0.07137081,0.2524532,0.26680157,0.23908637,0.7346526,0.71968365,0.7485975,0.012894211,0.013514758,0.012316099
1,Mouse0912,CLOCK,F,2.2515857,2.4070735,2.1904888,0.04885231,0.06092664,0.044107955,0.10283097,0.10615021,0.10152667,0.08090017,0.0558543,0.09074136,0.21251194,0.24791603,0.19722529,0.7614941,0.7352967,0.77280545,0.025993986,0.016787237,0.029969273
2,Mouse0913,CLOCK,F,3.382048,2.7145674,3.5890093,0.06371009,0.04750466,0.06873484,0.16259077,0.13203858,0.17206386,0.06503351,0.06594907,0.06474963,0.18450801,0.17140454,0.18758109,0.80158067,0.81101954,0.79936695,0.013911354,0.017575998,0.013051927
3,Mouse0914,WT,F,4.2398195,3.481134,4.458719,0.10989899,0.0930634,0.11475631,0.18730631,0.15201557,0.19748867,0.05573217,0.04832149,0.057870295,0.25388268,0.26184538,0.2520886,0.7366075,0.7281124,0.7385216,0.009509781,0.010042262,0.009389827
4,Mouse2401,CLOCK,M,3.4078698,3.535969,3.318642,0.082423784,0.0842634,0.08114239,0.15310748,0.15980944,0.14843917,0.06593229,0.06363008,0.067535914,0.2368952,0.23340881,0.23948267,0.7491081,0.7535725,0.7457946,0.013996746,0.013018651,0.014722662
5,Mouse2402,WT,M,2.9657898,3.101455,2.9272344,0.06155214,0.06135689,0.0616077,0.13901761,0.14723016,0.1366836,0.062170815,0.063061364,0.06191766,0.2032776,0.19376913,0.20614094,0.78155684,0.79152095,0.7785563,0.01516555,0.014709905,0.015302733
6,Mouse2403,WT,M,3.4175322,3.1867445,3.482308,0.09089872,0.08069093,0.093763754,0.14911366,0.1413077,0.15130459,0.05659525,0.05569357,0.056848306,0.2605145,0.24800715,0.26372698,0.7275049,0.7393493,0.7244627,0.011980621,0.012643571,0.011810337
7,Mouse30391,WT,M,3.6209483,3.3075821,3.6911051,0.09665922,0.087130055,0.098792605,0.15887423,0.14531954,0.1619089,0.034824453,0.043083,0.032975517,0.26146147,0.2580145,0.26215294,0.7315807,0.7325621,0.73138386,0.0069578323,0.009423392,0.006463194
8,Mouse30392,WT,M,2.8341079,2.3450341,2.9650424,0.094047524,0.07916829,0.098030984,0.11291157,0.09232564,0.118422806,0.041882593,0.041751564,0.04191768,0.3250257,0.33066547,0.32383156,0.66428304,0.65645397,0.66594064,0.0106912665,0.012880583,0.010227707
9,Mouse3881,CLOCK,M,2.0542202,2.0337446,2.083102,0.0597403,0.05705384,0.06352974,0.08456726,0.08499632,0.08396201,0.081610434,0.07979019,0.08417793,0.28484404,0.27477375,0.2987124,0.6864144,0.6968428,0.67205274,0.028741581,0.028383441,0.02923477
10,Mouse3882,CLOCK,M,3.3280303,3.3110201,3.3385608,0.100867,0.09860658,0.10226637,0.1373111,0.13755529,0.13715993,0.06994042,0.07140337,0.0690348,0.29685786,0.29169622,0.30002695,0.6879383,0.69270223,0.6850134,0.015203827,0.015601589,0.014959626
11,Mouse3883,CLOCK,M,3.4923987,3.2040458,3.5662029,0.10448077,0.09719049,0.10634674,0.14520916,0.13206524,0.14857335,0.06618547,0.06924019,0.0654036,0.29302135,0.29710624,0.29208204,0.69326824,0.68725973,0.69464993,0.013710421,0.01563405,0.013268065
12,Mouse69841,CLOCK,M,2.2805922,2.1234646,2.4644637,0.076104976,0.07288882,0.07986852,0.09050084,0.08291493,0.099377945,0.036206122,0.037392765,0.03481753,0.32685274,0.3362038,0.31742412,0.6616618,0.6510567,0.67235506,0.011485406,0.012739562,0.010220862
13,Mouse69861,WT,F,2.5206032,2.0696464,2.902279,0.081603095,0.07141278,0.09022789,0.101926714,0.08090967,0.119714856,0.030190691,0.02920138,0.031028036,0.31709462,0.33796096,0.30450076,0.6742402,0.65183157,0.6877649,0.0086652385,0.010207496,0.0077344086
14,Mouse69862,WT,F,3.1498344,2.496423,3.6014311,0.09603519,0.07168583,0.11286394,0.13077538,0.10579219,0.14804222,0.03967473,0.04194505,0.03810562,0.29862723,0.28125605,0.3069494,0.6922602,0.7065884,0.68539596,0.009112514,0.012155547,0.007654659
15,Mouse69872,CLOCK,F,3.3113244,3.0120118,3.5308735,0.08725205,0.074340366,0.09672283,0.14561236,0.13508245,0.1533362,0.039855443,0.043621004,0.037093405,0.25808376,0.24174346,0.26830795,0.73320866,0.74777925,0.7240918,0.008707588,0.010477338,0.007600226
16,Mouse69873,CLOCK,F,2.7612107,1.8170551,3.6182144,0.09854234,0.07358543,0.12119555,0.105823494,0.06408509,0.14370914,0.043627266,0.038401507,0.04837068,0.3495506,0.39665276,0.32807952,0.63901883,0.5880578,0.66224885,0.011430636,0.015289459,0.009671635
