,mouse,composite BLaser vs YLaser AUC,net 1 BLaser vs YLaser AUC,net 2 BLaser vs YLaser AUC,net 3 BLaser vs YLaser AUC,composite avgLaserScore,composite avgBLaserScore,composite avgYLaserScore,net 1 avgLaserScore,net 1 avgBLaserScore,net 1 avgYLaserScore,net 2 avgLaserScore,net 2 avgBLaserScore,net 2 avgYLaserScore,net 3 avgLaserScore,net 3 avgBLaserScore,net 3 avgYLaserScore,net 1 avgLaserImpact,net 1 avgBLaserImpact,net 1 avgYLaserImpact,net 2 avgLaserImpact,net 2 avgBLaserImpact,net 2 avgYLaserImpact,net 3 avgLaserImpact,net 3 avgBLaserImpact,net 3 avgYLaserImpact
0,Mouse5371,0.7444757688260637,0.7550345119683403,0.7096262913035134,0.47809830120378277,4.0874863,4.451055,3.614531,0.117303945,0.12779549,0.10365598,0.17398739,0.18966472,0.15359317,0.051880546,0.05106475,0.052941777,0.2810885,0.28121552,0.28088537,0.709729,0.7104846,0.70851827,0.009182485,0.008299849,0.010596404
1,Mouse5373,0.6835109227519451,0.4441027834968849,0.7188260381293617,0.5609875932511564,3.3597014,3.5982156,3.0765176,0.08054645,0.07867113,0.08277289,0.15241122,0.1677112,0.1342459,0.040814042,0.043268453,0.037899952,0.2348186,0.21414845,0.2635211,0.7563928,0.777152,0.7275666,0.008788624,0.008699537,0.00891233
2,Mouse5391,0.7245767685819564,0.708529333451673,0.7080397506849864,0.5619665766712381,3.881173,4.2683334,3.4966195,0.10662901,0.1158421,0.09747792,0.167152,0.18480687,0.14961608,0.068763934,0.072290055,0.06526157,0.26909095,0.26582438,0.27305153,0.71809137,0.721923,0.7134458,0.012817687,0.012252711,0.013502716
3,Mouse5392,0.5071474899468154,0.21211859154523574,0.5904037128320434,0.6573989997261498,3.9539962,3.9534965,3.9544897,0.084161215,0.0722859,0.09587639,0.18518294,0.19181289,0.17864245,0.058043703,0.06532656,0.050859082,0.20847908,0.1790849,0.23746957,0.7809008,0.8089609,0.75322604,0.010620154,0.011954197,0.009304435
4,Mouse5393,0.6184468753575232,0.4546726627885487,0.6513390067676386,0.6068345228770824,3.3572867,3.539739,3.1665218,0.09750147,0.095808394,0.099271536,0.1417064,0.15341973,0.1294595,0.054645095,0.059802752,0.049252667,0.28445232,0.2651057,0.30706406,0.7037723,0.7226718,0.6816832,0.0117753735,0.012222552,0.011252764
5,Mouse5394,0.8067385687794283,0.7304925333929251,0.807408975610521,0.6279516522980056,2.7963357,3.1832457,2.2447798,0.111350924,0.12023622,0.09868466,0.10041644,0.11820631,0.07505619,0.04338604,0.047891546,0.03696335,0.39002392,0.36995754,0.4305887,0.5987515,0.61915815,0.5574987,0.011224645,0.010884304,0.011912682
6,Mouse5395,0.5218434692369731,0.5004991342699385,0.5245901177054487,0.6281026693813555,3.0976536,3.133256,3.0623522,0.09552879,0.09550821,0.095549114,0.1274308,0.12932165,0.12555599,0.051487412,0.057398636,0.04562567,0.30205646,0.29855996,0.30560344,0.6859187,0.688187,0.6836179,0.012024865,0.013253106,0.0107786935
7,Mouse9511,0.6315175243760117,0.5341473310829182,0.6472495158261073,0.5048793852769308,3.208896,3.467332,2.8724165,0.047410693,0.04865461,0.04579112,0.16220075,0.17695488,0.14299113,0.05535373,0.055694878,0.05490941,0.14471295,0.13744068,0.15614231,0.84280735,0.8509386,0.83002806,0.012479673,0.011620686,0.013829655
8,Mouse9512,0.6378255320753667,0.5949240714607535,0.6447842422726758,0.4591538001980831,3.123044,3.4403253,2.873892,0.07673547,0.082251735,0.07240378,0.1398699,0.15574542,0.12740327,0.054331847,0.052325785,0.05590717,0.24066047,0.23417056,0.24676156,0.7467535,0.754826,0.73916477,0.012586017,0.011003434,0.014073724
9,Mouse9513,0.6136592774933549,0.5822541997826457,0.6085462139761434,0.5398602909405156,3.8190174,3.997516,3.6204174,0.089404784,0.09242949,0.08603952,0.1743954,0.18324709,0.16454686,0.049100954,0.05087393,0.04712829,0.22929567,0.22646812,0.23276949,0.76140285,0.7643249,0.75781304,0.009301442,0.009206977,0.009417486
10,Mouse9514,0.735828649725327,0.5079483893886148,0.756026312784664,0.5766737290823511,3.8253074,4.194311,3.4095664,0.07442925,0.07448845,0.074362464,0.18265867,0.20462549,0.15790963,0.07009819,0.07307899,0.06673988,0.19057417,0.17394623,0.21361972,0.7961686,0.8134487,0.7722191,0.013257219,0.012605029,0.014161141
