,mouse,interval 1 mean comp score,interval 2 mean comp score,interval 3 mean comp score,interval 1 mean net 1 score,interval 2 mean net 1 score,interval 3 mean net 1 score,interval 1 mean net 2 score,interval 2 mean net 2 score,interval 3 mean net 2 score,interval 1 mean net 3 score,interval 2 mean net 3 score,interval 3 mean net 3 score
0,Mouse1381,3.4097848,3.4472427,3.7629578,0.099651635,0.0992949,0.09946805,0.143876,0.14642613,0.16540521,0.048097614,0.04593061,0.042568754
1,Mouse1382,3.298723,3.6069124,3.7777398,0.08235062,0.09307645,0.09483063,0.14676349,0.1590215,0.16808414,0.06226508,0.060535327,0.06404365
2,Mouse1383,3.698466,4.0838966,3.9623268,0.09160555,0.09765696,0.0840081,0.16584295,0.18527098,0.18532413,0.049783897,0.05285627,0.06837814
3,Mouse1384,4.020345,4.1724086,4.245042,0.09317912,0.09846813,0.08858144,0.18432225,0.19011454,0.19990526,0.047501273,0.052589014,0.061190005
4,Mouse1391,3.392092,3.8981278,3.5995712,0.098858304,0.11204308,0.09533772,0.14326335,0.1658441,0.1564833,0.048502225,0.049043875,0.07827163
5,Mouse1392,3.751882,3.8939972,3.7285123,0.10454647,0.110772684,0.10544094,0.16147691,0.16611786,0.15905532,0.049040955,0.05422522,0.060438816
6,Mouse1393,3.647578,4.2243295,3.9320686,0.10330909,0.111628965,0.10425924,0.15528396,0.18501484,0.17185883,0.06434934,0.0637118,0.062719315
7,Mouse1401,3.320859,3.2912908,3.426668,0.07878075,0.08072837,0.07723845,0.15053149,0.14792246,0.15788323,0.054352,0.047244146,0.05205019
8,Mouse1402,3.788453,4.26419,3.896049,0.10122817,0.11891728,0.09865195,0.16561686,0.1837976,0.17351346,0.049102753,0.048190083,0.050711315
9,Mouse1403,3.3174057,4.1621795,3.683135,0.10258236,0.116387725,0.10563145,0.13654219,0.17869934,0.15608692,0.049752515,0.058932215,0.06354984
10,Mouse1404,3.9195397,4.135326,3.9408545,0.077978835,0.07977995,0.06811216,0.18691994,0.19865377,0.19356091,0.054084048,0.0575379,0.06407149
11,Mouse1405,4.1900134,4.362189,4.026552,0.08794347,0.093638696,0.0846089,0.19753139,0.20441908,0.18954004,0.04847508,0.050617747,0.05185368
12,Mouse1411,3.7761574,4.000818,3.861511,0.114371404,0.11554137,0.103376366,0.1568534,0.16937967,0.16743784,0.05613871,0.06214115,0.07903468
13,Mouse1412,3.7474022,4.212574,4.0143466,0.11946623,0.12596667,0.11406683,0.15213549,0.17615347,0.17075783,0.056149393,0.057580516,0.06904128
14,Mouse1413,3.2841344,3.9891405,3.726476,0.08252181,0.09774043,0.08028741,0.14573713,0.17886697,0.17296472,0.06343705,0.06834467,0.077595845
15,Mouse3201,4.099168,4.136332,4.0785546,0.1122109,0.1119898,0.10422065,0.17806402,0.1803507,0.18124172,0.043024365,0.044687197,0.0494731
16,Mouse3202,5.0527935,4.1321692,4.299099,0.069795735,0.054157265,0.05389937,0.25795507,0.21180569,0.22167937,0.09415243,0.09695584,0.10362567
17,Mouse3203,4.1063046,3.801357,3.9323332,0.13209996,0.12691925,0.110395715,0.16590576,0.15045841,0.16713674,0.06383351,0.068476826,0.088836275
18,Mouse3204,4.1072783,4.0748124,3.847318,0.11358703,0.1144759,0.110011525,0.17744072,0.17493543,0.16314001,0.04997109,0.050800104,0.068638384
19,Mouse3205,3.4992752,3.8812628,3.8937008,0.08860528,0.10089939,0.092248775,0.1559711,0.171374,0.17718081,0.04259002,0.04915416,0.049632702
