,mouse,group,-3,-2,-1,0,1,2,3
0,Mouse04191,1,2.6942903995513916,3.722714900970459,2.706160068511963,3.463319778442383,3.4058709144592285,3.7892043590545654,3.359703540802002
1,Mouse04201,1,3.222898483276367,3.2745401859283447,4.254228115081787,3.7189841270446777,3.6833102703094482,4.4349541664123535,3.0236546993255615
2,Mouse04203,1,3.5267930030822754,3.160815715789795,3.528545379638672,3.3345799446105957,3.729264497756958,3.1288580894470215,3.4201245307922363
3,Mouse04215,1,3.9945921897888184,3.937516927719116,4.5576276779174805,3.9756407737731934,4.383937358856201,4.395068168640137,4.1322503089904785
4,Mouse39114,1,3.1967289447784424,3.682654619216919,3.273843765258789,3.2899458408355713,3.1875360012054443,3.145033121109009,3.5926554203033447
5,Mouse39121,1,3.7497191429138184,3.5593388080596924,3.613055467605591,3.9758918285369873,3.874067544937134,4.198750972747803,3.540370464324951
6,Mouse39124,1,4.34132719039917,3.100374937057495,3.563856363296509,2.895474672317505,4.5641560554504395,3.9019906520843506,3.6684815883636475
7,Mouse39133,1,3.288731813430786,3.3675696849823,3.9610114097595215,3.2714345455169678,3.5945823192596436,3.791393995285034,4.125880241394043
8,Mouse9001,1,2.9184834957122803,2.534297466278076,2.9789488315582275,3.8957176208496094,3.9089858531951904,3.3431262969970703,2.981123447418213
9,Mouse9011,1,3.801520824432373,3.9979045391082764,3.8522582054138184,4.5096540451049805,3.8014848232269287,4.0547895431518555,4.708091735839844
10,Mouse9013,1,4.2454304695129395,3.770092010498047,4.17303466796875,3.7392659187316895,3.363957643508911,3.3469831943511963,3.6075336933135986
11,Mouse9022,1,3.5054917335510254,3.846132516860962,3.9281198978424072,4.129183292388916,3.6157658100128174,4.355212211608887,4.425263404846191
12,Mouse9071,1,3.3368780612945557,4.143177032470703,3.494434356689453,3.303143262863159,3.7437150478363037,3.7375245094299316,3.463423013687134
13,Mouse9072,1,3.2425053119659424,2.557328939437866,3.4007797241210938,3.553892135620117,3.7408058643341064,4.085417747497559,3.4284164905548096
14,Mouse9084,1,3.7246267795562744,3.3233983516693115,3.4769909381866455,3.3593430519104004,3.5688316822052,3.3683083057403564,3.480522871017456
15,Mouse04193,2,3.175546407699585,2.8801591396331787,3.618147373199463,3.1492178440093994,3.1443324089050293,3.086214542388916,2.95896315574646
16,Mouse04202,2,2.7333121299743652,3.5785882472991943,3.6308462619781494,2.8282129764556885,3.338984251022339,2.7229702472686768,2.5142548084259033
17,Mouse04211,2,4.432904243469238,4.2494964599609375,4.256985187530518,4.256340026855469,4.117208003997803,4.290890693664551,4.102912425994873
18,Mouse04213,2,2.724860906600952,2.5743606090545654,3.367666006088257,2.314978837966919,2.1590304374694824,2.560687780380249,3.0309197902679443
19,Mouse39122,2,4.307822227478027,3.695622682571411,3.2047133445739746,3.95806884765625,4.1290154457092285,3.5872232913970947,4.255679130554199
20,Mouse39125,2,3.182549238204956,3.3082351684570312,3.026576280593872,3.3709168434143066,3.520064115524292,3.773968458175659,3.308739423751831
21,Mouse39132,2,4.216392517089844,3.7164368629455566,3.675163745880127,3.6733109951019287,3.6988353729248047,3.96171498298645,3.7338109016418457
22,Mouse39135,2,3.0213871002197266,3.345609426498413,3.4708287715911865,2.5798373222351074,3.659590005874634,3.083141326904297,3.2685790061950684
23,Mouse9002,2,4.072400093078613,4.093349933624268,4.059210777282715,4.35790491104126,4.674023151397705,4.099984645843506,4.400021553039551
24,Mouse9003,2,3.1523241996765137,3.260937452316284,3.3955655097961426,3.235485315322876,3.1532211303710938,3.789716958999634,3.794123411178589
25,Mouse9021,2,2.717252254486084,2.4189889430999756,2.2151284217834473,2.0430920124053955,2.0701682567596436,2.9829916954040527,2.8060660362243652
26,Mouse9065,2,2.430626392364502,3.1632344722747803,1.9254554510116577,2.8766136169433594,2.4925343990325928,2.8703408241271973,2.062263250350952
27,Mouse9074,2,2.1485931873321533,2.3596889972686768,1.951264500617981,2.3080992698669434,2.2985308170318604,2.5608043670654297,3.220484495162964
