,mouse,expDate,time,comp net,net 1,net 2,net 3
0,Mouse04382,080420,1,1.1057677,0.02379466,0.051834803,0.011655772
1,Mouse04382,080420,2,1.985949,0.03258934,0.09951643,0.010291995
2,Mouse04382,080420,3,0.979226,0.030150954,0.039905418,0.025626758
3,Mouse04382,080420,4,1.3908916,0.031591587,0.06412827,0.016878888
4,Mouse04382,080420,5,3.9738896,0.105922475,0.17485917,0.02885838
5,Mouse04382,080420,6,2.1430376,0.057395402,0.09462401,0.004344766
6,Mouse04382,080420,7,3.8305552,0.030112427,0.21174434,0.0069966186
7,Mouse04382,080420,8,2.4447885,0.073141895,0.102588475,0.024696607
8,Mouse04382,080420,9,1.242062,0.039661612,0.04985107,0.030951595
9,Mouse04382,080420,10,1.0021839,0.025583314,0.043764375,0.03026172
10,Mouse04382,080420,11,0.9389202,0.025796793,0.040259242,0.020708553
11,Mouse04382,080420,12,1.4521122,0.038878776,0.063475646,0.017884245
12,Mouse04382,080420,13,1.4751892,0.041533995,0.06386811,0.004789291
13,Mouse04382,080420,14,2.3611684,0.0588664,0.10644413,0.013520728
14,Mouse04382,080420,15,2.594601,0.06249314,0.117311224,0.03662622
15,Mouse04382,080420,16,1.9706495,0.068586,0.07632236,0.036358014
16,Mouse04382,080420,17,0.69049966,0.027078442,0.024517566,0.022778774
17,Mouse04382,080420,18,2.927564,0.048042666,0.14646742,0.020535666
18,Mouse04382,080420,19,0.6036619,0.028601417,0.019355651,0.0010958901
19,Mouse04382,080420,20,1.4283453,0.03521957,0.06409884,0.020210039
20,Mouse04382,080420,21,3.926735,0.10954318,0.17079763,0.008266724
21,Mouse04382,080420,22,3.3948803,0.102423556,0.14338216,0.0013492052
22,Mouse04382,080420,23,4.15363,0.103426576,0.18727757,0.024886172
23,Mouse04382,080420,24,3.7613895,0.074010745,0.1805476,0.036067724
24,Mouse04382,080420,25,4.4028406,0.12763408,0.18836294,0.016607357
25,Mouse04382,080420,26,2.0665724,0.055084206,0.08778632,0.08753122
26,Mouse04382,080420,27,2.2042532,0.08777775,0.080358505,0.0064059626
27,Mouse04382,080420,28,1.6667898,0.017209884,0.08834159,0.03489877
28,Mouse04382,080420,29,1.7670399,0.060627468,0.06846183,0.043828946
29,Mouse04382,080420,30,3.1781747,0.06092427,0.15271491,0.04855667
30,Mouse04382,080420,31,3.3925247,0.1018566,0.14266942,0.022196017
31,Mouse04382,080420,32,3.017037,0.09677731,0.12323611,0.019826997
32,Mouse04382,080420,33,5.538771,0.15729724,0.23873585,0.0241974
33,Mouse04382,080420,34,2.401035,0.080004536,0.09499291,0.046364333
34,Mouse04382,080420,35,2.6359708,0.09141053,0.104007356,0.008925631
35,Mouse04382,080420,36,4.400838,0.13117908,0.18566579,0.028006937
36,Mouse04382,080420,37,4.4915876,0.14103366,0.18548621,0.02416735
37,Mouse04382,080420,38,3.536536,0.09618965,0.15461211,0.02273261
38,Mouse04382,080420,39,4.642463,0.13736023,0.19617523,0.03609656
39,Mouse04382,080420,40,5.9385214,0.11856918,0.2862249,0.006586721
40,Mouse04382,080420,41,3.3767922,0.1083769,0.13748732,0.03160679
41,Mouse04382,080420,42,3.0346305,0.084908254,0.13112007,0.023133107
42,Mouse04382,080420,43,2.5066175,0.10287693,0.0880124,0.04352705
43,Mouse04382,080420,44,4.258675,0.14451952,0.16976582,0.017340878
44,Mouse04382,080420,45,3.3811677,0.08703549,0.15066586,0.022859186
45,Mouse04382,080420,46,0.50929594,0.026950425,0.014102095,0.01409028
46,Mouse04382,080420,47,2.963261,0.08309085,0.12771164,0.027642448
47,Mouse04382,080420,48,3.4266677,0.11418299,0.13748631,0.021964232
48,Mouse04382,080420,49,3.5053356,0.09986446,0.15102676,0.012486384
49,Mouse04382,080420,50,4.099088,0.11465375,0.1779008,0.0136043215
50,Mouse04382,080420,51,3.0936635,0.10389079,0.12371813,0.018328693
51,Mouse04382,080420,52,1.8476713,0.046001125,0.082802795,0.022782912
52,Mouse04382,080420,53,2.564526,0.07547245,0.10906105,0.009477062
