mouse,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
Mouse0630,4.18976,0.12019242,0.17933942,0.03079382,4.3217053,0.12293464,0.18576118,0.028045839
Mouse0631,3.4497898,0.09805044,0.14702961,0.052390087,3.5144277,0.09798985,0.15113702,0.047892198
Mouse0632,4.366596,0.10625776,0.1977354,0.039905593,4.4104214,0.10955899,0.1985823,0.036269978
Mouse0633,3.8682425,0.113798276,0.16382197,0.030576799,3.928467,0.115122795,0.1667499,0.028410088
Mouse0634,4.6788197,0.12256057,0.20727232,0.030960571,4.6725273,0.121369824,0.2076615,0.02941462
Mouse0640,2.8564074,0.06647902,0.12978062,0.057160735,2.7965868,0.065864645,0.12676385,0.05231923
Mouse0641,2.4754474,0.101224825,0.08774086,0.029067308,2.438094,0.101599954,0.08536134,0.027197607
Mouse0642,4.7704563,0.12115382,0.21289377,0.04711191,4.8851137,0.12527354,0.21751805,0.043245435
Mouse0643,4.1944356,0.10070459,0.19060667,0.041416146,4.1746316,0.103893176,0.18764657,0.039094478
Mouse0644,4.4757924,0.088263415,0.21486317,0.039713256,4.6072617,0.09164006,0.2210302,0.03358868
Mouse5321,4.2517204,0.111922964,0.18750912,0.04010629,4.161174,0.11747383,0.17893565,0.037392043
Mouse5331,3.167399,0.096578896,0.13135594,0.04321259,3.1248286,0.092637196,0.13093059,0.047537502
Mouse5332,3.7305546,0.0928964,0.16717936,0.045861114,3.7014542,0.09140418,0.16619204,0.048594724
Mouse5333,3.6239483,0.08372804,0.16682474,0.03080451,3.8930163,0.0876409,0.18078189,0.028076217
Mouse533L,3.5193217,0.08420109,0.15970133,0.04395394,3.500516,0.08594283,0.15762669,0.042193554
Mouse6662,3.5350938,0.11122851,0.14479153,0.04347108,3.684809,0.11475499,0.15178843,0.041412544
Mouse6664,3.7319777,0.0795069,0.17460287,0.058012746,3.8027215,0.08253157,0.17737451,0.050969645
Mouse6674,3.6971657,0.08751047,0.16814268,0.050425805,3.6474733,0.08888187,0.16442485,0.048856936
Mouse6990,4.089736,0.07309929,0.20043509,0.043914467,4.141228,0.0768655,0.20129146,0.04436339
Mouse6991,3.6359427,0.07928742,0.16960756,0.04336743,3.7789216,0.07742297,0.17946821,0.038981773
Mouse6992,3.5643778,0.07620848,0.1668737,0.049139217,3.3772407,0.072877556,0.1576056,0.04916774
Mouse699L,3.9312232,0.078942545,0.18758981,0.04174798,4.078942,0.07972986,0.19597892,0.04192699
Mouse8881,3.5680568,0.10600336,0.14999403,0.039872613,3.5774899,0.10709324,0.14995317,0.03909767
Mouse8894,3.9671798,0.1252295,0.16130109,0.07066997,3.8680954,0.12205942,0.15741493,0.066193946
