Unnamed: 0,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
302,5.0355997,0.16714181,0.20232452,0.034585774,Mouse67151,3.0,CLOCK,1.0,323,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
303,4.525511,0.15122654,0.181286,0.029863706,Mouse67151,3.0,CLOCK,1.0,324,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
304,5.846836,0.16977625,0.24744043,0.080455974,Mouse67151,3.0,CLOCK,1.0,325,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
305,5.089672,0.17710648,0.20051219,0.016188402,Mouse67151,3.0,CLOCK,1.0,326,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
306,5.6706333,0.17752188,0.23464899,0.026841475,Mouse67151,3.0,CLOCK,1.0,327,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
307,3.9449713,0.1485911,0.14689443,0.055721886,Mouse67151,3.0,CLOCK,1.0,328,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
322,4.871408,0.15833397,0.198656,0.01142654,Mouse67151,3.0,CLOCK,1.0,348,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
323,2.9161372,0.12166386,0.1023794,0.024118315,Mouse67151,3.0,CLOCK,1.0,349,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
324,5.529996,0.1578515,0.23619334,0.06316166,Mouse67151,3.0,CLOCK,1.0,352,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
325,4.560074,0.14000462,0.18852131,0.06281371,Mouse67151,3.0,CLOCK,1.0,353,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
337,2.910166,0.1285066,0.09839327,0.015092319,Mouse67151,3.0,CLOCK,1.0,371,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
338,6.0214353,0.20629106,0.23859355,0.031332564,Mouse67151,3.0,CLOCK,1.0,372,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
339,5.17116,0.17150065,0.20899251,0.009273053,Mouse67151,3.0,CLOCK,1.0,373,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
340,4.6345477,0.16765854,0.17724882,0.051159643,Mouse67151,3.0,CLOCK,1.0,374,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
341,5.0989814,0.154947,0.21294187,0.04259475,Mouse67151,3.0,CLOCK,1.0,375,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
342,4.1528487,0.11600406,0.17712528,0.087507315,Mouse67151,3.0,CLOCK,1.0,376,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
343,3.5402753,0.14862381,0.12295692,0.047579903,Mouse67151,3.0,CLOCK,1.0,377,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
344,4.730976,0.1343254,0.200579,0.09803673,Mouse67151,3.0,CLOCK,1.0,378,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
345,4.598111,0.16145968,0.1785131,0.05558076,Mouse67151,3.0,CLOCK,1.0,379,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
346,5.2655983,0.14684005,0.22532994,0.09714853,Mouse67151,3.0,CLOCK,1.0,380,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
347,3.0069053,0.1342696,0.099602684,0.04291413,Mouse67151,3.0,CLOCK,1.0,381,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
357,4.0931726,0.15980642,0.15104131,0.013158929,Mouse67151,3.0,CLOCK,1.0,394,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
358,5.197594,0.16695166,0.2120011,0.038059264,Mouse67151,3.0,CLOCK,1.0,395,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
359,4.657249,0.16236594,0.18182859,0.048641372,Mouse67151,3.0,CLOCK,1.0,396,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
360,4.573663,0.1781697,0.1688285,0.018760202,Mouse67151,3.0,CLOCK,1.0,397,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
361,3.4134967,0.113701604,0.13562582,0.053154927,Mouse67151,3.0,CLOCK,1.0,398,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
362,4.902008,0.14300853,0.2076884,0.05303679,Mouse67151,3.0,CLOCK,1.0,399,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
363,3.7613056,0.12039066,0.1524021,0.056707606,Mouse67151,3.0,CLOCK,1.0,400,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
364,3.5214238,0.13292022,0.13282329,0.006734857,Mouse67151,3.0,CLOCK,1.0,401,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
365,4.790251,0.15653658,0.19192074,0.07880895,Mouse67151,3.0,CLOCK,1.0,402,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
366,4.0989647,0.113239355,0.17696273,0.05420185,Mouse67151,3.0,CLOCK,1.0,403,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
381,4.337617,0.16493648,0.16253349,0.01672631,Mouse67151,1.0,CLOCK,1.0,421,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
382,3.5849075,0.15204857,0.12538135,0.0070296763,Mouse67151,1.0,CLOCK,1.0,422,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
383,4.9187064,0.15330686,0.2016469,0.07593291,Mouse67151,1.0,CLOCK,1.0,423,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
384,3.4466481,0.1307647,0.1284012,0.034475293,Mouse67151,1.0,CLOCK,1.0,424,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
385,4.145579,0.12620902,0.17369908,0.018261865,Mouse67151,1.0,CLOCK,1.0,425,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
386,3.8273382,0.1492731,0.13932241,0.058403444,Mouse67151,1.0,CLOCK,1.0,426,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
387,7.6595416,0.2336544,0.32106107,0.024500629,Mouse67151,1.0,CLOCK,1.0,427,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
388,3.9557514,0.13554831,0.15596926,0.038054135,Mouse67151,1.0,CLOCK,1.0,428,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
389,4.0463076,0.1430681,0.15655799,0.04784972,Mouse67151,1.0,CLOCK,1.0,429,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
390,2.979243,0.12032121,0.106888495,0.025601868,Mouse67151,1.0,CLOCK,1.0,430,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
391,4.613545,0.15067017,0.18577552,0.05561069,Mouse67151,3.0,CLOCK,1.0,431,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
392,4.371665,0.13443069,0.17949839,0.08580205,Mouse67151,3.0,CLOCK,1.0,432,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
393,3.0117266,0.1013808,0.12058864,0.011178896,Mouse67151,3.0,CLOCK,1.0,433,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
394,3.38501,0.10718099,0.13845578,0.036836844,Mouse67151,3.0,CLOCK,1.0,434,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
404,3.0645854,0.1254548,0.10800647,0.048298605,Mouse67151,1.0,CLOCK,1.0,444,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
405,4.360832,0.17332348,0.15897675,0.01724065,Mouse67151,1.0,CLOCK,1.0,445,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
406,4.778416,0.15458342,0.19485547,0.0212568,Mouse67151,1.0,CLOCK,1.0,446,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
407,3.8250494,0.113425076,0.15884513,0.09062818,Mouse67151,1.0,CLOCK,1.0,447,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
408,5.137333,0.20182183,0.18838218,0.027018726,Mouse67151,1.0,CLOCK,1.0,448,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
409,3.8040879,0.120461136,0.15581273,0.0362839,Mouse67151,1.0,CLOCK,1.0,449,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
412,4.0158873,0.14335717,0.15619622,0.010224749,Mouse67151,3.0,CLOCK,1.0,452,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
413,3.3095148,0.1158062,0.13015781,0.0069547542,Mouse67151,3.0,CLOCK,1.0,453,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
414,4.75797,0.18847042,0.17369503,0.021901125,Mouse67151,3.0,CLOCK,1.0,454,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
415,4.114938,0.16511872,0.14916976,0.014457085,Mouse67151,3.0,CLOCK,1.0,455,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
416,9.589748,0.21903536,0.44219714,0.098606065,Mouse67151,3.0,CLOCK,1.0,456,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
424,4.4856553,0.14991406,0.17923981,0.039701544,Mouse67151,1.0,CLOCK,1.0,465,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
425,5.8212814,0.18856852,0.2375533,0.018582845,Mouse67151,1.0,CLOCK,1.0,466,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
426,4.553849,0.15495266,0.18024652,0.04254546,Mouse67151,1.0,CLOCK,1.0,467,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
427,5.7414265,0.20114769,0.22602908,0.0034992958,Mouse67151,1.0,CLOCK,1.0,468,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
428,2.7171004,0.111106336,0.09700721,0.015747175,Mouse67151,1.0,CLOCK,1.0,469,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
429,6.0803056,0.16680449,0.2659445,0.016935794,Mouse67151,1.0,CLOCK,1.0,470,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
430,3.0039716,0.10896083,0.11428834,0.043041036,Mouse67151,1.0,CLOCK,1.0,471,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
431,3.8026526,0.16062307,0.13188183,0.042103615,Mouse67151,1.0,CLOCK,1.0,472,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
433,3.9096267,0.1050099,0.16791151,0.11251002,Mouse67151,3.0,CLOCK,1.0,474,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
434,3.5370533,0.14270163,0.12800455,0.0069704163,Mouse67151,3.0,CLOCK,1.0,475,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
435,2.1893485,0.10122644,0.07178155,0.0014018392,Mouse67151,3.0,CLOCK,1.0,477,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
452,4.1561832,0.16213958,0.15373094,0.0066792644,Mouse67151,1.0,CLOCK,1.0,496,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
453,3.4534242,0.13775384,0.1234004,0.06447298,Mouse67151,1.0,CLOCK,1.0,497,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
454,5.9197793,0.19334607,0.24054912,0.021004952,Mouse67151,1.0,CLOCK,1.0,498,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
455,2.564447,0.13162424,0.07601844,0.010690381,Mouse67151,1.0,CLOCK,1.0,499,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
466,3.4020083,0.1393326,0.11948676,0.062227745,Mouse67151,3.0,CLOCK,1.0,519,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
467,2.9149673,0.10898074,0.109184876,0.037365668,Mouse67151,3.0,CLOCK,1.0,520,41624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
