,mouse,geno,location,network,mean task score,mean hc score,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,Mouse67151,CLOCK,oa,composite,3.884072,3.2737255,4.263066838888889,4.009410376190478,4.01425450952381,4.256672731818181,3.9607847285714293,4.10054891923077,3.8284762913043475,3.756642816,3.969701860869566,3.72920514,3.995314704761905
1,Mouse67152,CLOCK,oa,composite,3.1411107,2.7722085,3.320468987179487,3.2648114410256412,3.3100435076923085,3.2585595179487177,3.0629330921052635,3.2148964333333336,3.1957935342105266,3.421485294736843,3.3131335153846155,3.2543804743589746,3.3576674512820515
2,Mouse67151,CLOCK,ca,composite,3.884072,3.2737255,3.854093643153527,3.880024295454546,3.8361069271074375,3.810268765142857,3.88186739744,3.8447797811940307,3.9054238413008133,3.920973882821577,3.874670297333336,3.868287438389832,3.862808352116184
3,Mouse67152,CLOCK,ca,composite,3.1411107,2.7722085,3.1447260525469143,3.12884571239892,3.1451127105405385,3.171963676422762,3.151739285983825,3.1317452511936317,3.1334789872972952,3.086068080978259,3.1093822351498606,3.086027227595624,3.0899150879452035
0,Mouse67151,CLOCK,oa,net 1,0.13615961,0.12181646,0.14557730500000002,0.14178405338095237,0.13937270595238097,0.14602675045454547,0.13608618757142854,0.14533836688461535,0.1375633541304348,0.13174904344,0.1396980917826087,0.1399112108,0.14186566904761908
1,Mouse67152,CLOCK,oa,net 1,0.11183978,0.100045435,0.116277662974359,0.11700200156410262,0.11871965184615386,0.11792719005128205,0.11280794439473685,0.11793150387179487,0.11433880757894736,0.1201905715,0.11880587041025642,0.11872108084615385,0.12223841338461544
2,Mouse67151,CLOCK,ca,net 1,0.13615961,0.12181646,0.13577648414522817,0.13698338446694214,0.13549021225619834,0.1343451474081632,0.13573881563599996,0.13537612310074632,0.13728698504065034,0.13624569330290454,0.13601226412083328,0.1352640463432203,0.1341881830248962
3,Mouse67152,CLOCK,ca,net 1,0.11183978,0.100045435,0.11277505296514748,0.11267561224797844,0.11243877348378378,0.112847325097561,0.11224981313207551,0.11159613533156501,0.11127380008648649,0.1100799190000001,0.1107348822261581,0.10988029504644822,0.10971489015890425
0,Mouse67151,CLOCK,oa,net 2,0.15106805,0.123113796,0.16807197449999997,0.15505055504761905,0.1570464689047619,0.1679093519090909,0.15592370971428574,0.15881745476923076,0.14724089934782608,0.14658707391999998,0.1546095808695652,0.13995613265,0.154677432
1,Mouse67152,CLOCK,oa,net 2,0.12118697,0.10630667,0.12927044733333334,0.1256548616153846,0.1273011598461539,0.12494925017948723,0.11604861828947369,0.12206945343589741,0.12307628952631576,0.13342852521052628,0.12787620753846157,0.12431764943589745,0.12842620448717953
2,Mouse67151,CLOCK,ca,net 2,0.15106805,0.123113796,0.14957041534024884,0.15035676068595033,0.14858351031818187,0.1476644215061225,0.15103702746800005,0.14899680686567168,0.15148224750406503,0.1529490590414939,0.15043548356250014,0.15049107206779672,0.15081486259751054
3,Mouse67152,CLOCK,ca,net 2,0.12118697,0.10630667,0.12088247245308308,0.11997851059838274,0.1210510535594595,0.1224522199078591,0.12155378035849061,0.12073929283289125,0.12096765052702711,0.1187890584864131,0.11972426203269766,0.11877505295628421,0.11905194910410964
0,Mouse67151,CLOCK,oa,net 3,0.04365841,0.038459834,0.04812923116666667,0.04897479114285714,0.042316624823809525,0.036954081863636364,0.03877925531904763,0.04001418758846154,0.03601133599130434,0.03050585198799999,0.03249169948695651,0.03490045016999999,0.036985511380952386
1,Mouse67152,CLOCK,oa,net 3,0.034630585,0.027342862,0.03616459971538461,0.03275445645641025,0.034079381556410264,0.027849311279487175,0.031886453481578945,0.03380886130512821,0.03283916887894737,0.026987159915789465,0.0239300281974359,0.025881272020512817,0.026339387130769228
2,Mouse67151,CLOCK,ca,net 3,0.04365841,0.038459834,0.04192387447966805,0.04330376986033056,0.04368283380743804,0.044653006685306126,0.04702287883280001,0.04769019413992538,0.0483627066105691,0.05014849432157679,0.04723645265458334,0.047262396469618634,0.04679214396734441
3,Mouse67152,CLOCK,ca,net 3,0.034630585,0.027342862,0.033983416508847175,0.03421287363377357,0.03518531213575676,0.03447592374723578,0.035316724454258784,0.03530146944305042,0.03679890140710812,0.03763903357290762,0.03944395865975478,0.040607997487786894,0.04183967714035616
