,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.134969026,0.09169010699999999,0.0670556848
1,Mouse0913,clck,center->open,0.1073683875,0.130771381,0.12898329916666665
2,Mouse2401,clck,center->open,0.167677665,0.12842817566666667,0.17891123500000003
3,Mouse3881,clck,center->open,0.08719098666666665,0.11410638666666667,0.10459471066666666
4,Mouse3882,clck,center->open,0.17348300333333333,0.13715332666666666,0.16049903333333335
5,Mouse3883,clck,center->open,0.12739261124999998,0.156992105,0.16854592124999998
6,Mouse69841,clck,center->open,0.099363605,0.0714509215,0.10485496
7,Mouse69872,clck,center->open,0.13629217,0.169665812,0.15716124199999998
8,Mouse69873,clck,center->open,0.25622965,0.15614483,0.09969715800000001
9,Mouse0914,wt,center->open,0.16712497,0.15091324,0.23686482
10,Mouse2402,wt,center->open,0.14993717575,0.08775438675,0.105679345925
11,Mouse2403,wt,center->open,0.128491731,0.1801021975,0.16119720999999998
12,Mouse30391,wt,center->open,0.16872123,0.1938127,0.22995775999999998
13,Mouse30392,wt,center->open,0.19057001,0.13740548,0.16561773
