,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.0685124402,0.053171497,0.0408351962
1,Mouse0913,clck,center->open,0.04256670983333333,0.060010164166666664,0.04673769349999999
2,Mouse2401,clck,center->open,0.07450691999999999,0.08237805333333333,0.07989505
3,Mouse3881,clck,center->open,0.06903308233333333,0.08665415,0.07496716066666666
4,Mouse3882,clck,center->open,0.11759579533333335,0.092888794,0.13319455666666666
5,Mouse3883,clck,center->open,0.107513232125,0.1120634645,0.11764214075
6,Mouse69841,clck,center->open,0.08634989,0.071719285,0.10242631999999999
7,Mouse69872,clck,center->open,0.079907397,0.0948915388,0.09615029280000001
8,Mouse69873,clck,center->open,0.188756055,0.13147639500000002,0.104232935
9,Mouse0912,clck,center->closed,0.05608000605263159,0.05451443578947369,0.0684089132105263
10,Mouse0913,clck,center->closed,0.06557372612500001,0.064790361125,0.058718532500000004
11,Mouse2401,clck,center->closed,0.0690167839090909,0.07816401899999999,0.06274271636363636
12,Mouse3881,clck,center->closed,0.07690455907692308,0.06446436238461538,0.06169959146153848
13,Mouse3882,clck,center->closed,0.10214630571999996,0.11068748748000001,0.1066565686
14,Mouse3883,clck,center->closed,0.11767336128571428,0.12629343371428572,0.11515343821428572
15,Mouse69841,clck,center->closed,0.08129406105555555,0.07946292788888891,0.08384589216666667
16,Mouse69872,clck,center->closed,0.10001753886666666,0.10094781093333334,0.09541001233333334
17,Mouse69873,clck,center->closed,0.12938661204545454,0.12221526359090908,0.13300441263636362
