,mouse,geno,-2,-1,0
0,Mouse0912,clck,0.057953494375,0.0459922581875,0.042826741375000005
1,Mouse0913,clck,0.06231769895238094,0.06475427233333333,0.0667155888095238
2,Mouse2401,clck,0.07170013449999998,0.0737821236,0.0813605657
3,Mouse3881,clck,0.06903308233333333,0.08665415,0.07496716066666666
4,Mouse3882,clck,0.126457034,0.09410442050000001,0.12532443625
5,Mouse3883,clck,0.10387289015384615,0.10926035092307693,0.1009970750769231
6,Mouse69841,clck,0.07574755,0.06715363666666667,0.09339835
7,Mouse69872,clck,0.09837709166666667,0.085647852,0.08865580711111112
8,Mouse69873,clck,0.16138209,0.13232101,0.10989023999999999
9,Mouse0914,wt,0.13508279125,0.12187957575,0.114395678
10,Mouse2402,wt,0.07308249177777777,0.05804710044444444,0.05848664953333333
11,Mouse2403,wt,0.09025286055,0.0885947907,0.10644298599999999
12,Mouse30391,wt,0.107508095,0.11581496,0.123376045
13,Mouse30392,wt,0.15019602,0.12134833,0.09308807
14,Mouse69861,wt,0.08735862999999999,0.06689338,0.072277993
15,Mouse69862,wt,0.15558444,0.08521944,0.11290576
