,Mouse0641,Mouse39115,Mouse39121,Mouse39122,Mouse39132,Mouse39135,Mouse6674,Mouse69061,Mouse69071,Mouse69075,Mouse8893
0,442.0,,,,,,,,,,
1,508.0,,,,,,,,,,
2,613.0,,,,,,,,,,
3,,447.0,,,,,,,,,
4,,507.0,,,,,,,,,
5,,587.0,,,,,,,,,
6,,,438.0,,,,,,,,
7,,,660.0,,,,,,,,
8,,,,328.0,,,,,,,
9,,,,389.0,,,,,,,
10,,,,443.0,,,,,,,
11,,,,518.0,,,,,,,
12,,,,,334.0,,,,,,
13,,,,,,595.0,,,,,
14,,,,,,665.0,,,,,
15,,,,,,,151.0,,,,
16,,,,,,,321.0,,,,
17,,,,,,,344.0,,,,
18,,,,,,,453.0,,,,
19,,,,,,,481.0,,,,
20,,,,,,,594.0,,,,
21,,,,,,,722.0,,,,
22,,,,,,,742.0,,,,
23,,,,,,,,374.0,,,
24,,,,,,,,387.0,,,
25,,,,,,,,429.0,,,
26,,,,,,,,462.0,,,
27,,,,,,,,,498.0,,
28,,,,,,,,,,411.0,
29,,,,,,,,,,426.0,
30,,,,,,,,,,,143.0
31,,,,,,,,,,,406.0
