,flx-mouse-fold-0,flx-auc-fold-0,epm-mouse-fold-0,epm-auc-fold-0,oft-mouse-fold-0,oft-auc-fold-0,flx-mouse-fold-1,flx-auc-fold-1,epm-mouse-fold-1,epm-auc-fold-1,oft-mouse-fold-1,oft-auc-fold-1,flx-mouse-fold-2,flx-auc-fold-2,epm-mouse-fold-2,epm-auc-fold-2,oft-mouse-fold-2,oft-auc-fold-2,flx-mouse-fold-3,flx-auc-fold-3,epm-mouse-fold-3,epm-auc-fold-3,oft-mouse-fold-3,oft-auc-fold-3
0,Mouse3191,0.5616802157809548,Mouse04193,0.6817603944415578,Mouse04193,0.8404731727925645,Mouse3191,0.6399072886129149,Mouse04205,0.6827160493827161,Mouse04191,0.7202311485901443,Mouse3191,0.6127072478684211,Mouse39125,0.8537367616552025,Mouse3191,0.48478683484786833,Mouse3191,0.6187372268661655,Mouse69065,0.8635076615589607,Mouse04191,0.7714490080186727
1,Mouse3193,0.3843348345452689,Mouse04201,0.8426904153476488,Mouse04201,0.8367110162989577,Mouse3193,0.3832327636822197,Mouse0643,0.7638142922166591,Mouse04205,0.9232015612131629,Mouse3193,0.3851214148204539,Mouse39133,0.8059593807314706,Mouse3193,0.6070354972817397,Mouse3193,0.3844413777710054,Mouse69074,0.7093689443087035,Mouse3191,0.4598196120981961
2,Mouse61631,0.41579037993636536,Mouse04202,0.8377071696731069,Mouse04202,0.8397553143925538,Mouse61635,0.41257759253601994,Mouse1551,0.6327892528542437,Mouse3191,0.46101767711017677,Mouse78744,0.4500912509466468,Mouse6293,0.7185402411208863,Mouse39125,0.8848270440251572,Mouse78752,0.5189186816266222,Mouse8582,0.7797619047619049,Mouse3193,0.6328589702590343
3,Mouse3192,0.8388107409041875,Mouse0630,0.7043086454519853,Mouse3191,0.45766083457660833,Mouse3192,0.8105159605766401,Mouse39114,0.6874514374514373,Mouse3193,0.6433642468819956,Mouse3192,0.797053054820045,Mouse69064,0.7446414182111201,Mouse39133,0.7104829538861426,Mouse3192,0.8368349759733255,Mouse8891,0.6215109739189578,Mouse69065,0.7141739980449657
4,Mouse3194,0.3509331151921622,Mouse0633,0.7987794821045686,Mouse3193,0.6140949792133035,Mouse3194,0.41309647727503596,Mouse39124,0.7843653585395092,Mouse39114,0.7069025157232705,Mouse3194,0.31180468995550736,Mouse8580,0.6509262123242946,Mouse69064,0.5795357337273506,Mouse3194,0.41327812879810033,Mouse8894,0.828744901742677,Mouse69074,0.7444822557122023
5,Mouse3202,,Mouse0634,0.5972614462986734,Mouse69072,0.7140493298959647,Mouse3202,,Mouse6291,0.7814409082256026,Mouse39124,0.8067223727792834,Mouse3202,,Mouse8581,0.6761541950113379,Mouse69072,0.6318815936225843,Mouse3202,,,,Mouse04193,0.8732090047679402
6,Mouse3203,0.44564969280970046,Mouse0642,0.7773952954675847,Mouse04191,0.807382449271543,Mouse3203,0.4654596860674456,Mouse6292,0.7126813922808917,Mouse04193,0.8631299414569378,Mouse3203,0.5291946468173359,,,Mouse04191,0.7092760606859165,Mouse3203,0.4889398759189078,,,Mouse04201,0.9311083665487752
7,Mouse61635,0.4403193497644007,,,Mouse04205,0.9542109786228381,Mouse61631,0.42615833801235264,,,Mouse04201,0.9292932128220962,Mouse61631,0.3825616070871546,,,Mouse04193,0.9106524231999519,Mouse61631,0.43336627362904734,,,Mouse04202,0.8959882941104744
8,Mouse78744,0.45225776645436916,,,Mouse04215,,Mouse78744,0.44721519790627784,,,Mouse04202,0.8924114945331871,Mouse61635,0.4336344817420321,,,Mouse04201,0.9644267295420947,Mouse61635,0.44993986289166565,,,Mouse04205,0.9645146274214917
9,Mouse78752,0.49095724548544645,,,Mouse3192,,Mouse78752,0.49517155667484297,,,Mouse04215,,Mouse78752,0.4960456714147421,,,Mouse04202,0.9105088810307685,Mouse78744,0.4469387659355808,,,Mouse04215,
10,Mouse99002,,,,Mouse3194,,Mouse99002,,,,Mouse3192,,Mouse99002,,,,Mouse04205,0.9783095212518352,Mouse99002,,,,Mouse3192,
11,Mouse99003,,,,Mouse3203,,Mouse99003,,,,Mouse3194,,Mouse99003,,,,Mouse04215,,Mouse99003,,,,Mouse3194,
12,Mouse99021,,,,Mouse39114,0.8147327044025157,Mouse99021,,,,Mouse3203,,Mouse99021,,,,Mouse3192,,Mouse99021,,,,Mouse3203,
13,,,,,Mouse39124,0.8925963565191207,,,,,Mouse39125,0.9182389937106916,,,,,Mouse3194,,,,,,Mouse39114,0.7766194968553459
14,,,,,Mouse39125,0.9014271891630382,,,,,Mouse39133,0.8188168674139571,,,,,Mouse3203,,,,,,Mouse39124,0.8689777175549533
15,,,,,Mouse39133,0.8782519900670704,,,,,Mouse69064,0.6649622832257563,,,,,Mouse39114,0.772122641509434,,,,,Mouse39125,0.9092585873246251
16,,,,,Mouse69064,0.657768877828758,,,,,Mouse69065,0.7550450743999131,,,,,Mouse39124,0.831470189701897,,,,,Mouse39133,0.8234236115946065
17,,,,,Mouse69065,0.7740957966764418,,,,,Mouse69072,0.7114987292706563,,,,,Mouse69065,0.7751384815900946,,,,,Mouse69064,0.6467454700987635
18,,,,,Mouse69074,0.7845794846864366,,,,,Mouse69074,0.7548371414681574,,,,,Mouse69074,0.7451628585318425,,,,,Mouse69072,0.7295586272466312
