,mouse,mean consecutive ca windows,mean consecutive oa windows,mean consecutive center windows
0,Mouse69075,14.25,3.4444444444444446,2.1578947368421053
1,Mouse39121,12.833333333333334,2.5,2.347826086956522
2,Mouse39122,8.454545454545455,4.222222222222222,2.7142857142857144
3,Mouse39115,12.866666666666667,4.0,3.9523809523809526
4,Mouse39135,9.68421052631579,7.2,3.6363636363636362
5,Mouse6674,16.571428571428573,3.9,2.0714285714285716
6,Mouse69071,11.61111111111111,5.777777777777778,1.6956521739130435
7,Mouse39132,10.55,1.5,3.909090909090909
8,Mouse0641,16.066666666666666,1.8,2.9411764705882355
9,Mouse8893,11.411764705882353,6.571428571428571,3.1578947368421053
10,Mouse69061,12.5625,5.166666666666667,3.238095238095238
