mouse,split,time-in-task,OpenArmPerc,ClosedArmPerc,CenterPerc
Mouse04201,train,314,0.12420382165605096,0.6942675159235668,0.08280254777070063
Mouse04202,train,326,0.09202453987730061,0.6809815950920245,0.147239263803681
Mouse04205,train,9,0.2222222222222222,0.7777777777777778,0.0
Mouse04215,train,352,0.056818181818181816,0.6676136363636364,0.11363636363636363
Mouse0630,train,603,0.0779436152570481,0.33499170812603646,0.0779436152570481
Mouse0634,train,570,0.11228070175438597,0.28771929824561404,0.08070175438596491
Mouse0643,train,169,0.21301775147928995,0.6923076923076923,0.09467455621301775
Mouse1551,train,653,0.1332312404287902,0.26033690658499237,0.05359877488514548
Mouse39114,train,198,0.08585858585858586,0.5050505050505051,0.25757575757575757
Mouse39124,train,337,0.1543026706231454,0.5222551928783383,0.20178041543026706
Mouse39133,train,368,0.10326086956521739,0.5489130434782609,0.14402173913043478
Mouse6291,train,618,0.11650485436893204,0.32362459546925565,0.045307443365695796
Mouse6292,train,629,0.0985691573926868,0.3338632750397456,0.03815580286168521
Mouse6293,train,620,0.14516129032258066,0.2870967741935484,0.04838709677419355
Mouse69064,train,292,0.2465753424657534,0.4417808219178082,0.1095890410958904
Mouse69074,train,332,0.2319277108433735,0.4457831325301205,0.11746987951807229
Mouse8580,train,549,0.07468123861566485,0.2568306010928962,0.04371584699453552
Mouse8581,train,441,0.1360544217687075,0.2585034013605442,0.13151927437641722
Mouse8582,train,42,0.23809523809523808,0.09523809523809523,0.07142857142857142
Mouse8891,train,602,0.08139534883720931,0.3538205980066445,0.04152823920265781
Mouse8894,train,372,0.056451612903225805,0.3736559139784946,0.04838709677419355
Mouse04193,val,289,0.21453287197231835,0.5951557093425606,0.08650519031141868
Mouse0633,val,611,0.1734860883797054,0.2553191489361702,0.058919803600654665
Mouse0642,val,581,0.1359724612736661,0.28399311531841653,0.05163511187607573
Mouse39125,val,284,0.1443661971830986,0.6161971830985915,0.19718309859154928
Mouse69065,val,380,0.1868421052631579,0.42894736842105263,0.1394736842105263
Mouse0641,test,264,0.06060606060606061,0.3106060606060606,0.09090909090909091
Mouse39115,test,343,0.12536443148688048,0.577259475218659,0.16909620991253643
Mouse39121,test,346,0.10982658959537572,0.5606936416184971,0.10115606936416185
Mouse39122,test,328,0.1951219512195122,0.5548780487804879,0.16158536585365854
Mouse39132,test,290,0.11379310344827587,0.5620689655172414,0.1724137931034483
Mouse39135,test,322,0.16770186335403728,0.5,0.17391304347826086
Mouse6674,test,620,0.08387096774193549,0.35,0.014516129032258065
Mouse69061,test,365,0.13424657534246576,0.536986301369863,0.12602739726027398
Mouse69071,test,346,0.1907514450867052,0.5260115606936416,0.057803468208092484
Mouse69075,test,316,0.1360759493670886,0.560126582278481,0.08227848101265822
Mouse8893,test,586,0.1075085324232082,0.295221843003413,0.08020477815699659
