,mouse,decision,-3,-2,-1,0,1
0,Mouse39115,center->open,0.10245044,0.102618705,0.08306242,0.11236886499999998,0.090747502
1,Mouse39121,center->open,0.151714025,0.12056674,0.182943075,0.14536105500000002,0.17009733500000002
2,Mouse39122,center->open,0.06916663366666666,0.07935723666666665,0.08731802949999999,0.068791013,0.07228366183333333
3,Mouse39132,center->open,0.12798837,0.07230692,0.10985644,0.09076552,0.07686562
4,Mouse39135,center->open,0.084958713,0.06830501500000001,0.06351393333333334,0.07156702733333332,0.07823485533333333
5,Mouse69061,center->open,0.08847047,0.08857146,0.07732514,0.14114234,0.09252041
6,Mouse69071,center->open,0.097824913,0.11641916999999999,0.119611052,0.0688447175,0.13542715
7,Mouse0641,center->closed,0.1154139212,0.11250482399999999,0.11068785680000001,0.1223360442,0.08919503259999999
8,Mouse39115,center->closed,0.12786163666666667,0.104473632,0.08492137833333334,0.11877671166666666,0.12634969133333332
9,Mouse39121,center->closed,0.15383037,0.16289125833333334,0.13338835,0.15963761666666668,0.15570152333333334
10,Mouse39122,center->closed,0.0841602552,0.0657617704,0.0799098288,0.0669151994,0.06638802680000001
11,Mouse39132,center->closed,0.07908006575,0.09269343499999999,0.095285308,0.07832106175,0.0910143765
12,Mouse39135,center->closed,0.0875827815,0.068322266,0.0589311645,0.07914363316666666,0.085788981
13,Mouse69061,center->closed,0.09577510989999999,0.11479141610000002,0.0960272266,0.1144179182,0.14491034600000002
14,Mouse69075,center->closed,0.06836433,0.065995924,0.09596078,0.12567328,0.10546141
15,Mouse8893,center->closed,0.08652237180000001,0.106035293,0.10739387199999999,0.0819517408,0.068157481
