,mouse,decision,-2,-1,0
0,Mouse0641,closed->open,0.0853828955,0.04279179875,0.11080578875
1,Mouse39115,closed->open,0.050058623588235304,0.04590906270588235,0.04945416809411765
2,Mouse39121,closed->open,0.02965154093333333,0.03437150208888889,0.04073573456666666
3,Mouse39122,closed->open,0.0354583378,0.034037179212500004,0.04614438920833333
4,Mouse39132,closed->open,0.030504132063636367,0.02544950381818182,0.042649437636363634
5,Mouse39135,closed->open,0.04398504833333334,0.04446213056666666,0.04454544415555555
6,Mouse6674,closed->open,0.05781803308333333,0.04883849759583333,0.05482161266666668
7,Mouse69061,closed->open,0.027878437792307694,0.02654424106923077,0.029186527923076917
8,Mouse69071,closed->open,0.023280183576190477,0.024999169361904758,0.02750526747142858
9,Mouse69075,closed->open,0.03148712988125,0.037144301581250004,0.030528874831249997
10,Mouse8893,closed->open,0.04642583637500001,0.040925181375,0.05393362407499999
11,Mouse39115,open->closed,0.057613577375,0.060189623,0.051346341375
12,Mouse39121,open->closed,0.0265004784,0.0374923068,0.036395275187999995
13,Mouse39122,open->closed,0.050242117727272724,0.03490552150000001,0.03910571620909091
14,Mouse39132,open->closed,0.0285042664,0.028628074400000002,0.02914765328
15,Mouse39135,open->closed,0.04499522299999999,0.029626281857142858,0.03687824728571428
16,Mouse6674,open->closed,0.05886639356363636,0.06299974036363636,0.07298534909090909
17,Mouse69061,open->closed,0.04011478931111111,0.039330302222222224,0.04192869817777778
18,Mouse69071,open->closed,0.04661599016666667,0.0284128885,0.024558522216666667
19,Mouse69075,open->closed,0.020710909,0.036319139428571436,0.04595631628571429
20,Mouse8893,open->closed,0.067808283875,0.039784242937500006,0.06708613225
