,mouse,n1,n2,n3
0,Mouse0641,0.13580956,0.17405811999999998,0.0841096475
1,Mouse39115,0.10013822899999998,0.15836760166666666,0.06412913208333333
2,Mouse39121,0.12137636461538462,0.1378676930769231,0.03987433138461539
3,Mouse39122,0.06478434828571429,0.24958007285714287,0.03520269148571429
4,Mouse39132,0.06543856516666667,0.19176266833333333,0.03581847678333334
5,Mouse39135,0.06792295,0.25237554,0.03348851
6,Mouse6674,0.07895089740000001,0.21079033200000002,0.08424079500000001
7,Mouse69061,0.10695077874999999,0.18448065491666665,0.03888655718333334
8,Mouse69071,0.080358736,0.108348265,0.030660363
9,Mouse69075,0.08557008799999999,0.110197582,0.03701820533333333
10,Mouse8893,0.09341939099999999,0.18037061,0.06468449700000001
