mouse,oa_mean_time,center_mean_time,ca_mean_time
Mouse0641,272.9375,210.41666666666669,246.017094017094
Mouse39115,152.06060606060606,143.73809523809524,139.08196721311475
Mouse39121,121.75,104.81818181818181,137.94904458598728
Mouse39122,111.0,160.76923076923077,143.562091503268
Mouse39132,106.19354838709677,129.39130434782606,140.5839416058394
Mouse39135,115.90625,139.25,143.92561983471074
Mouse6674,265.5578947368421,128.5,219.5114006514658
Mouse69061,122.61224489795916,127.44999999999999,145.77358490566036
Mouse69071,87.24074074074076,129.86666666666667,159.60509554140128
Mouse69075,104.35897435897436,67.14999999999998,129.57142857142856
Mouse8893,158.39393939393938,195.94827586206895,254.92333333333335
