mouse,split,time-in-task,OpenArmPerc,ClosedArmPerc,CenterPerc
Mouse04201,train,283,0.13780918727915195,0.7703180212014135,0.09187279151943463
Mouse04202,train,300,0.1,0.74,0.16
Mouse04205,train,9,0.2222222222222222,0.7777777777777778,0.0
Mouse04215,train,295,0.06779661016949153,0.7966101694915254,0.13559322033898305
Mouse0630,train,296,0.15878378378378377,0.6824324324324325,0.15878378378378377
Mouse0634,train,274,0.23357664233576642,0.5985401459854015,0.1678832116788321
Mouse0643,train,169,0.21301775147928995,0.6923076923076923,0.09467455621301775
Mouse1551,train,292,0.2979452054794521,0.5821917808219178,0.11986301369863013
Mouse39114,train,169,0.10059171597633136,0.591715976331361,0.30177514792899407
Mouse39124,train,296,0.17567567567567569,0.5945945945945946,0.22972972972972974
Mouse39133,train,293,0.1296928327645051,0.689419795221843,0.18088737201365188
Mouse6291,train,300,0.24,0.6666666666666666,0.09333333333333334
Mouse6292,train,296,0.20945945945945946,0.7094594594594594,0.08108108108108109
Mouse6293,train,298,0.30201342281879195,0.5973154362416108,0.10067114093959731
Mouse69064,train,237,0.3037974683544304,0.5443037974683544,0.1350210970464135
Mouse69074,train,266,0.2894736842105263,0.556390977443609,0.14661654135338345
Mouse8580,train,206,0.19902912621359223,0.6844660194174758,0.11650485436893204
Mouse8581,train,232,0.25862068965517243,0.49137931034482757,0.25
Mouse8582,train,17,0.5882352941176471,0.23529411764705882,0.17647058823529413
Mouse8891,train,287,0.17073170731707318,0.7421602787456446,0.08710801393728224
Mouse8894,train,178,0.11797752808988764,0.7808988764044944,0.10112359550561797
Mouse04193,val,260,0.23846153846153847,0.6615384615384615,0.09615384615384616
Mouse0633,val,298,0.35570469798657717,0.5234899328859061,0.12080536912751678
Mouse0642,val,274,0.28832116788321166,0.6021897810218978,0.10948905109489052
Mouse39125,val,273,0.15018315018315018,0.6410256410256411,0.20512820512820512
Mouse69065,val,288,0.2465277777777778,0.5659722222222222,0.1840277777777778
Mouse0641,test,122,0.13114754098360656,0.6721311475409836,0.19672131147540983
Mouse39115,test,299,0.14381270903010032,0.6622073578595318,0.1939799331103679
Mouse39121,test,268,0.1417910447761194,0.7238805970149254,0.13059701492537312
Mouse39122,test,300,0.21333333333333335,0.6066666666666667,0.17666666666666667
Mouse39132,test,246,0.13414634146341464,0.6626016260162602,0.2032520325203252
Mouse39135,test,271,0.1992619926199262,0.5940959409594095,0.2066420664206642
Mouse6674,test,299,0.17391304347826086,0.725752508361204,0.030100334448160536
Mouse69061,test,292,0.1678082191780822,0.6712328767123288,0.15753424657534246
Mouse69071,test,270,0.24444444444444444,0.674074074074074,0.07407407407407407
Mouse69075,test,248,0.17338709677419356,0.7137096774193549,0.10483870967741936
Mouse8893,test,283,0.2226148409893993,0.6113074204946997,0.16607773851590105
