,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 6,Mouse39111,-10,group 2,0.1253911703824997,0.17376816272735596,0.03325626254081726,4.1495680809021
1,Tone 6,Mouse39111,-9,group 2,0.12265561521053314,0.1444796323776245,0.016976086422801018,3.6226494312286377
2,Tone 6,Mouse39111,-8,group 2,0.0800202265381813,0.0929463803768158,0.02071116864681244,2.3485066890716553
3,Tone 6,Mouse39111,-7,group 2,0.11328526586294174,0.1626001000404358,0.049223579466342926,3.856334686279297
4,Tone 6,Mouse39111,-6,group 2,0.12624627351760864,0.17087313532829285,0.05045511573553085,4.122115135192871
5,Tone 6,Mouse39111,-5,group 2,0.09905804693698883,0.12093407660722733,0.013624761253595352,2.9965052604675293
6,Tone 6,Mouse39111,-4,group 2,0.1302187442779541,0.21831588447093964,0.033448025584220886,4.939764976501465
7,Tone 6,Mouse39111,-3,group 2,,,,
8,Tone 6,Mouse39111,-2,group 2,0.12197373062372208,0.23072277009487152,0.046673551201820374,5.07544469833374
9,Tone 6,Mouse39111,-1,group 2,0.10260142385959625,0.1666974276304245,0.033858347684144974,3.8088924884796143
10,Tone 6,Mouse39111,0,group 2,0.10394486784934998,0.09729132801294327,0.01299139205366373,2.649700164794922
11,Tone 6,Mouse39111,1,group 2,0.11988070607185364,0.15304520726203918,0.0671277716755867,3.7745721340179443
12,Tone 6,Mouse39111,2,group 2,0.09687484800815582,0.13938753306865692,0.039926521480083466,3.3018367290496826
13,Tone 6,Mouse39111,3,group 2,0.11178602278232574,0.18853595852851868,0.07789178937673569,4.294836521148682
14,Tone 6,Mouse39111,4,group 2,0.10785964876413345,0.12389115989208221,0.023981859907507896,3.139511823654175
15,Tone 6,Mouse39111,5,group 2,,,,
16,Tone 6,Mouse39111,6,group 2,0.09424759447574615,0.16248540580272675,0.0508984737098217,3.6691677570343018
17,Tone 6,Mouse39111,7,group 2,0.07932009547948837,0.08402353525161743,0.07216156274080276,2.2300949096679688
18,Tone 6,Mouse39111,8,group 2,0.1242138147354126,0.13472628593444824,0.02972666546702385,3.484511613845825
19,Tone 6,Mouse39111,9,group 2,0.1040675938129425,0.10518801212310791,0.04653720185160637,2.806837797164917
20,Tone 6,Mouse39111,10,group 2,0.09249710291624069,0.21164019405841827,0.06500851362943649,4.481821060180664
21,Tone 6,Mouse39111,11,group 2,0.11190861463546753,0.12833459675312042,0.010916141793131828,3.2438056468963623
22,Tone 6,Mouse39111,12,group 2,,,,
23,Tone 6,Mouse39111,13,group 2,0.11767229437828064,0.1392677277326584,0.07347337156534195,3.527811288833618
24,Tone 6,Mouse39111,14,group 2,0.15429453551769257,0.17753839492797852,0.05118076503276825,4.508495807647705
25,Tone 6,Mouse39111,15,group 2,0.0857531726360321,0.13855785131454468,0.026799894869327545,3.169574022293091
26,Tone 6,Mouse39111,16,group 2,0.0982464924454689,0.135827898979187,0.016890577971935272,3.2392537593841553
27,Tone 6,Mouse39111,17,group 2,0.11828146874904633,0.13078166544437408,0.013288662768900394,3.348743200302124
28,Tone 6,Mouse39111,18,group 2,,,,
29,Tone 6,Mouse39111,19,group 2,0.09345785528421402,0.23589526116847992,0.04216568544507027,4.879126071929932
30,Tone 6,Mouse39111,20,group 2,0.06380024552345276,0.0925096645951271,0.04348914697766304,2.198835611343384
31,Tone 6,Mouse39111,21,group 2,0.08893918246030807,0.10379362106323242,0.03315341845154762,2.6257290840148926
32,Tone 6,Mouse39111,22,group 2,0.14131134748458862,0.14707475900650024,0.0034064275678247213,3.8388280868530273
33,Tone 6,Mouse39111,23,group 2,0.0899292454123497,0.2366837114095688,0.0220805574208498,4.8431806564331055
34,Tone 6,Mouse39111,24,group 2,0.15194405615329742,0.19023354351520538,0.039748962968587875,4.688878536224365
35,Tone 6,Mouse39111,25,group 2,0.10903996229171753,0.1629553884267807,0.0625334084033966,3.8303067684173584
