,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 3,Mouse39111,-10,group 2,0.0776687040925026,0.11972194910049438,0.01670060120522976,2.769019842147827
1,Tone 3,Mouse39111,-9,group 2,0.09904896467924118,0.16267313063144684,0.07055196166038513,3.733543634414673
2,Tone 3,Mouse39111,-8,group 2,0.171968474984169,0.25584691762924194,0.04461165890097618,5.982542991638184
3,Tone 3,Mouse39111,-7,group 2,0.09797734767198563,0.10283553600311279,0.013024416752159595,2.6837170124053955
4,Tone 3,Mouse39111,-6,group 2,0.09907633066177368,0.1545533537864685,0.07966233044862747,3.6050162315368652
5,Tone 3,Mouse39111,-5,group 2,0.08389250189065933,0.054233357310295105,0.017017826437950134,1.738274097442627
6,Tone 3,Mouse39111,-4,group 2,0.11341909319162369,0.14882802963256836,0.035655464977025986,3.618198871612549
7,Tone 3,Mouse39111,-3,group 2,0.11108803749084473,0.13901923596858978,0.057265616953372955,3.4474523067474365
8,Tone 3,Mouse39111,-2,group 2,0.0825674757361412,0.16332696378231049,0.06906667351722717,3.5819411277770996
9,Tone 3,Mouse39111,-1,group 2,0.1397155225276947,0.17722244560718536,0.03008207306265831,4.345168590545654
10,Tone 3,Mouse39111,0,group 2,0.08464415371417999,0.10713399201631546,0.008358005434274673,2.6214187145233154
11,Tone 3,Mouse39111,1,group 2,0.08103718608617783,0.10624027997255325,0.019890809431672096,2.5795321464538574
12,Tone 3,Mouse39111,2,group 2,0.09648995101451874,0.1548103243112564,0.02174544334411621,3.5420680046081543
13,Tone 3,Mouse39111,3,group 2,0.07018052041530609,0.18835479021072388,0.02784029394388199,3.8480961322784424
14,Tone 3,Mouse39111,4,group 2,0.08853010088205338,0.21180914342403412,0.0686972588300705,4.448451042175293
15,Tone 3,Mouse39111,5,group 2,0.1289876401424408,0.18750986456871033,0.029876038432121277,4.411473274230957
16,Tone 3,Mouse39111,6,group 2,0.11230600625276566,0.1357095092535019,0.08938375860452652,3.4274325370788574
17,Tone 3,Mouse39111,7,group 2,0.12890927493572235,0.20954491198062897,0.05579320713877678,4.796860694885254
18,Tone 3,Mouse39111,8,group 2,0.12868383526802063,0.21511995792388916,0.054249394685029984,4.8864922523498535
19,Tone 3,Mouse39111,9,group 2,0.13285644352436066,0.19364185631275177,0.03504190593957901,4.555346488952637
20,Tone 3,Mouse39111,10,group 2,,,,
21,Tone 3,Mouse39111,11,group 2,,,,
22,Tone 3,Mouse39111,12,group 2,0.096370168030262,0.21757987141609192,0.03631678968667984,4.5980353355407715
23,Tone 3,Mouse39111,13,group 2,0.14606626331806183,0.21003414690494537,0.05383973568677902,4.971650123596191
24,Tone 3,Mouse39111,14,group 2,0.11836235970258713,0.1792546957731247,0.04944629967212677,4.18391752243042
25,Tone 3,Mouse39111,15,group 2,0.09701157361268997,0.13995397090911865,0.04984360560774803,3.3197948932647705
26,Tone 3,Mouse39111,16,group 2,0.08212023228406906,0.11720533668994904,0.05190299078822136,2.7961268424987793
27,Tone 3,Mouse39111,17,group 2,0.10286464542150497,0.12687908113002777,0.027694588527083397,3.1430931091308594
28,Tone 3,Mouse39111,18,group 2,0.11585070937871933,0.17511224746704102,0.02457529492676258,4.072253704071045
29,Tone 3,Mouse39111,19,group 2,0.1138538047671318,0.21066902577877045,0.053460828959941864,4.666454315185547
30,Tone 3,Mouse39111,20,group 2,0.07445913553237915,0.08691173046827316,0.0031905388459563255,2.1807427406311035
31,Tone 3,Mouse39111,21,group 2,0.10766912996768951,0.1754646599292755,0.008802622556686401,3.986583709716797
32,Tone 3,Mouse39111,22,group 2,0.09839814156293869,0.1607227921485901,0.02122942917048931,3.6589670181274414
33,Tone 3,Mouse39111,23,group 2,0.12145812064409256,0.25243788957595825,0.052295565605163574,5.436532497406006
34,Tone 3,Mouse39111,24,group 2,0.050000376999378204,0.09347685426473618,0.01689298264682293,2.0605568885803223
35,Tone 3,Mouse39111,25,group 2,0.1009652391076088,0.13676902651786804,0.03128751367330551,3.2919905185699463
36,Tone 3,Mouse39111,26,group 2,0.11031896620988846,0.18464095890522003,0.028754379600286484,4.179974555969238
37,Tone 3,Mouse39111,27,group 2,0.10967134684324265,0.20251059532165527,0.0332215316593647,4.474815368652344
38,Tone 3,Mouse39111,28,group 2,0.14251923561096191,0.19765803217887878,0.0021455236710608006,4.693155288696289
39,Tone 3,Mouse39111,29,group 2,0.0974685549736023,0.10254478454589844,0.05731680244207382,2.7059292793273926
40,Tone 3,Mouse39111,30,group 2,0.1228618398308754,0.27151307463645935,0.05868709087371826,5.772958278656006
41,Tone 3,Mouse39111,31,group 2,0.11944602429866791,0.21396172046661377,0.11087683588266373,4.817667007446289
42,Tone 3,Mouse39111,32,group 2,0.12313995510339737,0.13866551220417023,0.006378532852977514,3.5227837562561035
43,Tone 3,Mouse39111,33,group 2,0.13339994847774506,0.23734261095523834,0.1020331159234047,5.33778715133667
44,Tone 3,Mouse39111,34,group 2,0.13800282776355743,0.1439637392759323,0.0031526037491858006,3.754366636276245
45,Tone 3,Mouse39111,35,group 2,0.09781761467456818,0.13031688332557678,0.018142681568861008,3.1440699100494385
46,Tone 3,Mouse39111,36,group 2,0.09391675889492035,0.11728224903345108,0.01156647689640522,2.883769989013672
47,Tone 3,Mouse39111,37,group 2,0.08400015532970428,0.17138530313968658,0.07537570595741272,3.7349002361297607
48,Tone 3,Mouse39111,38,group 2,0.15255993604660034,0.19676446914672852,0.0029582688584923744,4.777188777923584
49,Tone 3,Mouse39111,39,group 2,0.1164529025554657,0.18201269209384918,0.03896470367908478,4.203617572784424
50,Tone 3,Mouse39113,-10,group 2,0.12173079699277878,0.18532799184322357,0.066803477704525,4.33073091506958
51,Tone 3,Mouse39113,-9,group 2,0.09460657835006714,0.1524978131055832,0.014319021254777908,3.4796905517578125
52,Tone 3,Mouse39113,-8,group 2,0.11895790696144104,0.12604087591171265,0.035239238291978836,3.2922027111053467
53,Tone 3,Mouse39113,-7,group 2,0.09789175540208817,0.19920973479747772,0.04152574762701988,4.3104095458984375
54,Tone 3,Mouse39113,-6,group 2,0.1181301549077034,0.22736583650112152,0.08906818181276321,5.012496471405029
55,Tone 3,Mouse39113,-5,group 2,0.10152624547481537,0.12846866250038147,0.02683691494166851,3.1558680534362793
56,Tone 3,Mouse39113,-4,group 2,0.15287017822265625,0.22708697617053986,0.029045216739177704,5.3046875
57,Tone 3,Mouse39113,-3,group 2,0.12255480140447617,0.18650145828723907,0.022735293954610825,4.326486110687256
58,Tone 3,Mouse39113,-2,group 2,0.09547514468431473,0.11989466100931168,0.06378448009490967,2.9803695678710938
59,Tone 3,Mouse39113,-1,group 2,0.12859214842319489,0.16086845099925995,0.06776746362447739,3.990802049636841
60,Tone 3,Mouse39113,0,group 2,0.11928287148475647,0.2091074287891388,0.042602524161338806,4.685736656188965
61,Tone 3,Mouse39113,1,group 2,0.10306981205940247,0.1516961306333542,0.039238303899765015,3.5672454833984375
62,Tone 3,Mouse39113,2,group 2,0.07698283344507217,0.08562883734703064,0.018502268940210342,2.195148229598999
63,Tone 3,Mouse39113,3,group 2,0.11549349874258041,0.17880183458328247,0.039144113659858704,4.14081335067749
64,Tone 3,Mouse39113,4,group 2,0.13234741985797882,0.18836620450019836,0.08398832380771637,4.497807025909424
65,Tone 3,Mouse39113,5,group 2,0.08404579013586044,0.1378408670425415,0.0820695087313652,3.1808812618255615
66,Tone 3,Mouse39113,6,group 2,0.10918078571557999,0.1453133523464203,0.019478166475892067,3.506380081176758
67,Tone 3,Mouse39113,7,group 2,0.11999621242284775,0.1684952974319458,0.007238389924168587,3.989985942840576
68,Tone 3,Mouse39113,8,group 2,0.16230130195617676,0.21369940042495728,0.0623236708343029,5.1979169845581055
69,Tone 3,Mouse39113,9,group 2,0.1239544004201889,0.1783057302236557,0.02577277272939682,4.205739498138428
70,Tone 3,Mouse39113,10,group 2,0.11634145677089691,0.22702793776988983,0.015629293397068977,4.936213493347168
71,Tone 3,Mouse39113,11,group 2,0.09845706820487976,0.1427161544561386,0.08282072097063065,3.4038662910461426
72,Tone 3,Mouse39113,12,group 2,0.15934960544109344,0.19073860347270966,0.01805558241903782,4.7541399002075195
73,Tone 3,Mouse39113,13,group 2,0.09366308152675629,0.15107473731040955,0.06018455699086189,3.479903221130371
74,Tone 3,Mouse39113,14,group 2,0.11838037520647049,0.14603853225708008,0.0436587817966938,3.6260714530944824
75,Tone 3,Mouse39113,15,group 2,0.10158213973045349,0.0721561461687088,0.008000199683010578,2.2038516998291016
76,Tone 3,Mouse39113,16,group 2,0.07940542697906494,0.13491809368133545,0.036346036940813065,3.0536184310913086
77,Tone 3,Mouse39113,17,group 2,0.09623613953590393,0.17232435941696167,0.029528725892305374,3.837236166000366
78,Tone 3,Mouse39113,18,group 2,0.12447016686201096,0.21692118048667908,0.08360277861356735,4.896490097045898
79,Tone 3,Mouse39113,19,group 2,0.10618514567613602,0.1194261908531189,0.026080293580889702,3.0501813888549805
80,Tone 3,Mouse39113,20,group 2,0.11122139543294907,0.1668429672718048,0.02774653397500515,3.891326427459717
81,Tone 3,Mouse39113,21,group 2,0.13216309249401093,0.21009770035743713,0.03991836681962013,4.826462745666504
82,Tone 3,Mouse39113,22,group 2,0.1242876723408699,0.1809452325105667,0.017222676426172256,4.246828079223633
83,Tone 3,Mouse39113,23,group 2,0.11713845282793045,0.16378353536128998,0.027697429060935974,3.8982341289520264
84,Tone 3,Mouse39113,24,group 2,0.10228081047534943,0.06584008038043976,0.03578836843371391,2.125486373901367
85,Tone 3,Mouse39113,25,group 2,0.12063030898571014,0.16558592021465302,0.006242271047085524,3.9469661712646484
86,Tone 3,Mouse39113,26,group 2,0.09585960954427719,0.09912831336259842,0.06598971784114838,2.639479637145996
87,Tone 3,Mouse39113,27,group 2,0.12480604648590088,0.13003592193126678,0.014375146478414536,3.401000738143921
88,Tone 3,Mouse39113,28,group 2,0.10656478255987167,0.17611709237098694,0.04128345847129822,4.010143756866455
89,Tone 3,Mouse39113,29,group 2,0.08181580156087875,0.08715353906154633,0.11920415610074997,2.3407609462738037
90,Tone 3,Mouse39113,30,group 2,0.14169764518737793,0.1564960479736328,0.05767247825860977,4.0389580726623535
91,Tone 3,Mouse39113,31,group 2,0.11314576864242554,0.22613732516765594,0.10392989963293076,4.953944683074951
92,Tone 3,Mouse39113,32,group 2,0.12308866530656815,0.18814359605312347,0.0451585128903389,4.375317573547363
93,Tone 3,Mouse39113,33,group 2,0.12491146475076675,0.23176690936088562,0.05009324848651886,5.1241021156311035
94,Tone 3,Mouse39113,34,group 2,0.11373806744813919,0.1620255410671234,0.05050434544682503,3.852116346359253
95,Tone 3,Mouse39113,35,group 2,0.10580526292324066,0.17603784799575806,0.08215747773647308,4.030953884124756
96,Tone 3,Mouse39113,36,group 2,0.12773342430591583,0.19566434621810913,0.03503776341676712,4.538887977600098
97,Tone 3,Mouse39113,37,group 2,0.135235995054245,0.2183310091495514,0.01927323453128338,4.978903770446777
98,Tone 3,Mouse39113,38,group 2,0.12637585401535034,0.24488770961761475,0.06546502560377121,5.368337631225586
99,Tone 3,Mouse39113,39,group 2,0.12652377784252167,0.19949515163898468,0.021430879831314087,4.5810699462890625
100,Tone 3,Mouse39114,-10,group 1,0.09913443773984909,0.17808350920677185,0.03943157196044922,3.9688143730163574
101,Tone 3,Mouse39114,-9,group 1,0.11016106605529785,0.18128187954425812,0.08251947909593582,4.161316394805908
102,Tone 3,Mouse39114,-8,group 1,0.07334474474191666,0.09312333911657333,0.027468549087643623,2.290961980819702
103,Tone 3,Mouse39114,-7,group 1,0.06125521659851074,0.09142390638589859,0.07656672596931458,2.179734706878662
104,Tone 3,Mouse39114,-6,group 1,0.11374514549970627,0.17379191517829895,0.019056515768170357,4.025622844696045
105,Tone 3,Mouse39114,-5,group 1,0.07564166188240051,0.07912249863147736,0.0322483591735363,2.08347225189209
106,Tone 3,Mouse39114,-4,group 1,0.09277774393558502,0.14330962300300598,0.040368568152189255,3.327422618865967
107,Tone 3,Mouse39114,-3,group 1,0.0783594623208046,0.10779884457588196,0.0318344384431839,2.5879323482513428
108,Tone 3,Mouse39114,-2,group 1,0.08142755925655365,0.10639598965644836,0.061691369861364365,2.616192579269409
109,Tone 3,Mouse39114,-1,group 1,0.12726689875125885,0.13193050026893616,0.04994741454720497,3.4824283123016357
110,Tone 3,Mouse39114,0,group 1,0.08664469420909882,0.13430440425872803,0.07640872895717621,3.143275260925293
111,Tone 3,Mouse39114,1,group 1,0.08668158948421478,0.18252217769622803,0.06103154644370079,3.936478853225708
112,Tone 3,Mouse39114,2,group 1,0.08080694079399109,0.14561641216278076,0.06007383391261101,3.262892007827759
113,Tone 3,Mouse39114,3,group 1,0.08929654955863953,0.12468715757131577,0.08825812488794327,3.0174670219421387
114,Tone 3,Mouse39114,4,group 1,0.11119916290044785,0.18022534251213074,0.08035606145858765,4.1523027420043945
115,Tone 3,Mouse39114,5,group 1,0.07503262907266617,0.06241799518465996,0.06923078745603561,1.8257368803024292
116,Tone 3,Mouse39114,6,group 1,0.05108979344367981,0.10079685598611832,0.08343024551868439,2.24141526222229
117,Tone 3,Mouse39114,7,group 1,0.09446003288030624,0.1384798139333725,0.05717024207115173,3.275524616241455
118,Tone 3,Mouse39114,8,group 1,0.05126967653632164,0.0767880454659462,0.0487959086894989,1.8178058862686157
119,Tone 3,Mouse39114,9,group 1,0.08132315427064896,0.14546571671962738,0.07475879043340683,3.27605938911438
120,Tone 3,Mouse39114,10,group 1,0.08267119526863098,0.0887925997376442,0.028543956577777863,2.310879945755005
121,Tone 3,Mouse39114,11,group 1,0.0634707659482956,0.09938333183526993,0.05606483295559883,2.3193156719207764
122,Tone 3,Mouse39114,12,group 1,0.0690191462635994,0.10556645691394806,0.0019439009483903646,2.437601327896118
123,Tone 3,Mouse39114,13,group 1,0.09165050089359283,0.18120750784873962,0.08024599403142929,3.977128028869629
124,Tone 3,Mouse39114,14,group 1,0.08330828696489334,0.08411866426467896,0.029096484184265137,2.2395880222320557
125,Tone 3,Mouse39114,15,group 1,0.1308307945728302,0.16113288700580597,0.022724846377968788,3.9845516681671143
126,Tone 3,Mouse39114,16,group 1,0.08629852533340454,0.1286989450454712,0.05448045954108238,3.030557155609131
127,Tone 3,Mouse39114,17,group 1,0.0861000046133995,0.18510869145393372,0.0524798221886158,3.9677224159240723
128,Tone 3,Mouse39114,18,group 1,0.11795420944690704,0.2118351310491562,0.07156047970056534,4.7391533851623535
129,Tone 3,Mouse39114,19,group 1,0.12876452505588531,0.16522683203220367,0.06766928732395172,4.065089702606201
130,Tone 3,Mouse39114,20,group 1,0.08928915113210678,0.11852885037660599,0.06249113380908966,2.896071672439575
131,Tone 3,Mouse39114,21,group 1,0.10731489956378937,0.1435500830411911,0.00814480148255825,3.450505018234253
132,Tone 3,Mouse39114,22,group 1,0.1087004691362381,0.12124206125736237,0.035703275352716446,3.1120572090148926
133,Tone 3,Mouse39114,23,group 1,0.09564629942178726,0.15589050948619843,0.007561125326901674,3.5415537357330322
134,Tone 3,Mouse39114,24,group 1,0.10292959213256836,0.17902402579784393,0.037997886538505554,4.020630836486816
135,Tone 3,Mouse39114,25,group 1,0.09897960722446442,0.0996965691447258,0.01973562128841877,2.6460509300231934
136,Tone 3,Mouse39114,26,group 1,0.12021751701831818,0.10639984160661697,0.026826102286577225,2.9709653854370117
137,Tone 3,Mouse39114,27,group 1,0.07597616314888,0.1079053208231926,0.016282944008708,2.5551135540008545
138,Tone 3,Mouse39114,28,group 1,0.06315063685178757,0.15854671597480774,0.03895510733127594,3.2902724742889404
139,Tone 3,Mouse39114,29,group 1,0.08553620427846909,0.14561006426811218,0.12148872017860413,3.3535382747650146
140,Tone 3,Mouse39114,30,group 1,0.06702930480241776,0.10358157753944397,0.0906485915184021,2.449190139770508
141,Tone 3,Mouse39114,31,group 1,0.08800910413265228,0.15467695891857147,0.033429380506277084,3.465230703353882
142,Tone 3,Mouse39114,32,group 1,0.10025426000356674,0.1578744798898697,0.06021438166499138,3.6578593254089355
143,Tone 3,Mouse39114,33,group 1,0.09102660417556763,0.11402972787618637,0.06373321264982224,2.8389711380004883
144,Tone 3,Mouse39114,34,group 1,0.11479626595973969,0.11514493077993393,0.010669712908565998,3.0519907474517822
145,Tone 3,Mouse39114,35,group 1,0.08510355651378632,0.12033991515636444,0.07596606016159058,2.8950209617614746
146,Tone 3,Mouse39114,36,group 1,0.07862932980060577,0.08110849559307098,0.01901809498667717,2.136277437210083
147,Tone 3,Mouse39114,37,group 1,0.10195975750684738,0.17132198810577393,0.09045770019292831,3.9206628799438477
148,Tone 3,Mouse39114,38,group 1,0.08656550943851471,0.0868515744805336,0.05795790255069733,2.3379387855529785
149,Tone 3,Mouse39114,39,group 1,0.1010889783501625,0.23188866674900055,0.07306253165006638,4.909417629241943
150,Tone 3,Mouse39115,-10,group 2,0.09642358869314194,0.08740469068288803,0.0069253575056791306,2.406797170639038
151,Tone 3,Mouse39115,-9,group 2,0.1049748957157135,0.149446502327919,0.03946925327181816,3.548562526702881
152,Tone 3,Mouse39115,-8,group 2,0.11253143101930618,0.09091786295175552,0.011786692775785923,2.626661539077759
153,Tone 3,Mouse39115,-7,group 2,0.09192531555891037,0.09834620356559753,0.03650332987308502,2.5665719509124756
154,Tone 3,Mouse39115,-6,group 2,0.09977883845567703,0.1485777646303177,0.018346605822443962,3.467902898788452
155,Tone 3,Mouse39115,-5,group 2,0.09583631902933121,0.07202715426683426,0.0031635782215744257,2.1419239044189453
156,Tone 3,Mouse39115,-4,group 2,0.12071959674358368,0.11266279220581055,0.016712719574570656,3.0729928016662598
157,Tone 3,Mouse39115,-3,group 2,0.08945195376873016,0.10793948918581009,0.039099276065826416,2.7041797637939453
158,Tone 3,Mouse39115,-2,group 2,0.12380947917699814,0.11730710417032242,0.0015262204688042402,3.169708013534546
159,Tone 3,Mouse39115,-1,group 2,0.10055641084909439,0.09606122970581055,0.02272782474756241,2.6030452251434326
160,Tone 3,Mouse39115,0,group 2,0.10773322731256485,0.18675388395786285,0.0479486808180809,4.203764915466309
161,Tone 3,Mouse39115,1,group 2,0.09482120722532272,0.0965176448225975,0.020445648580789566,2.552830219268799
162,Tone 3,Mouse39115,2,group 2,0.0741259828209877,0.0753089040517807,0.052177347242832184,2.019458055496216
163,Tone 3,Mouse39115,3,group 2,0.09427867084741592,0.1253453493118286,0.06869050860404968,3.0630829334259033
164,Tone 3,Mouse39115,4,group 2,0.1478017270565033,0.13226884603500366,0.008704975247383118,3.659363031387329
165,Tone 3,Mouse39115,5,group 2,0.07689324766397476,0.08268071711063385,0.026058513671159744,2.1505815982818604
166,Tone 3,Mouse39115,6,group 2,0.09845200181007385,0.14118213951587677,0.07373109459877014,3.3716630935668945
167,Tone 3,Mouse39115,7,group 2,0.07438109815120697,0.12191052734851837,0.06086711212992668,2.8052632808685303
168,Tone 3,Mouse39115,8,group 2,0.08445458859205246,0.05309968814253807,0.04445979744195938,1.7447301149368286
169,Tone 3,Mouse39115,9,group 2,0.10501442104578018,0.18850792944431305,0.08927866816520691,4.236281394958496
170,Tone 3,Mouse39115,10,group 2,0.12250635027885437,0.17464447021484375,0.06976497173309326,4.1623358726501465
171,Tone 3,Mouse39115,11,group 2,0.1441652625799179,0.17856284976005554,0.02174217626452446,4.4050679206848145
172,Tone 3,Mouse39115,12,group 2,0.1496320217847824,0.17021019756793976,0.006519571412354708,4.308330059051514
173,Tone 3,Mouse39115,13,group 2,0.09255991876125336,0.12672334909439087,0.09424873441457748,3.087714910507202
174,Tone 3,Mouse39115,14,group 2,0.055456895381212234,0.04125187173485756,0.05194612219929695,1.2685787677764893
175,Tone 3,Mouse39115,15,group 2,0.15310125052928925,0.3182680606842041,0.08898133784532547,6.870635032653809
176,Tone 3,Mouse39115,16,group 2,0.07148666679859161,0.08071538060903549,0.029229629784822464,2.067150831222534
177,Tone 3,Mouse39115,17,group 2,0.10788475722074509,0.14165815711021423,0.06501655280590057,3.4656856060028076
178,Tone 3,Mouse39115,18,group 2,0.0793210044503212,0.030790457502007484,0.0031568617559969425,1.2925912141799927
179,Tone 3,Mouse39115,19,group 2,0.10000517964363098,0.17909705638885498,0.0342220701277256,3.9904732704162598
180,Tone 3,Mouse39115,20,group 2,0.09706936031579971,0.058195143938064575,0.029351085424423218,1.9423161745071411
181,Tone 3,Mouse39115,21,group 2,0.11911863833665848,0.11614551395177841,0.008771064691245556,3.1096365451812744
182,Tone 3,Mouse39115,22,group 2,0.08112356811761856,0.13489656150341034,0.03961549699306488,3.072453022003174
183,Tone 3,Mouse39115,23,group 2,0.12043824791908264,0.13207976520061493,0.019110053777694702,3.395723581314087
184,Tone 3,Mouse39115,24,group 2,0.13004224002361298,0.13756908476352692,0.06542471051216125,3.6148245334625244
185,Tone 3,Mouse39115,25,group 2,0.09569346904754639,0.14032594859600067,0.03427969291806221,3.3018269538879395
186,Tone 3,Mouse39115,26,group 2,0.08488345891237259,0.14273430407047272,0.054639868438243866,3.25083327293396
187,Tone 3,Mouse39115,27,group 2,0.09206510335206985,0.12551505863666534,0.06794574856758118,3.0436925888061523
188,Tone 3,Mouse39115,28,group 2,0.09016699343919754,0.11035821586847305,0.022171232849359512,2.7392656803131104
189,Tone 3,Mouse39115,29,group 2,0.10090586543083191,0.09943779557943344,0.03655621409416199,2.672772169113159
190,Tone 3,Mouse39115,30,group 2,0.10484078526496887,0.11515887826681137,0.05609112232923508,2.9875738620758057
191,Tone 3,Mouse39115,31,group 2,0.06773808598518372,0.08399231731891632,0.07265280932188034,2.116488456726074
192,Tone 3,Mouse39115,32,group 2,0.08618304133415222,0.17276203632354736,0.06417988985776901,3.7711360454559326
193,Tone 3,Mouse39115,33,group 2,0.08469901233911514,0.08276693522930145,0.06888869404792786,2.2594590187072754
194,Tone 3,Mouse39115,34,group 2,0.16832496225833893,0.1738010048866272,0.019827717915177345,4.560920238494873
195,Tone 3,Mouse39115,35,group 2,0.1589621901512146,0.17115674912929535,0.03981646150350571,4.439587116241455
196,Tone 3,Mouse39115,36,group 2,0.11893387138843536,0.11769893020391464,0.0833773985505104,3.1877024173736572
197,Tone 3,Mouse39115,37,group 2,0.08457465469837189,0.1013699322938919,0.021875904873013496,2.534409523010254
198,Tone 3,Mouse39115,38,group 2,0.09972915798425674,0.1260097622871399,0.04252127557992935,3.108614206314087
199,Tone 3,Mouse39115,39,group 2,0.1101524606347084,0.13128416240215302,0.06483850628137589,3.31479549407959
