,Mouse,Group,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,Mouse39114,group_1,0.08490018546581268,0.07909838855266571,0.11719365417957306,0.11471541225910187,0.10915089398622513,0.09436848759651184,0.13249702751636505,0.14229419827461243,0.11564504355192184,0.15321563184261322,0.11810459941625595,0.09943357855081558,0.08950820565223694,0.1602659374475479,0.1026325598359108,0.11280251294374466,0.14231106638908386,0.13174165785312653,0.08253590762615204,0.11912619322538376,0.08897783607244492,0.10808131098747253,0.09825272113084793,0.1182463988661766,0.06496507674455643,0.13281413912773132,0.07944397628307343,0.1107109785079956,0.1231776624917984,0.08829593658447266,0.07935633510351181,0.054328396916389465,0.10567624121904373,0.15266168117523193,0.07615942507982254,0.058126818388700485,0.1129348874092102,0.1468943953514099,0.08150612562894821,0.0991021990776062,0.09728198498487473,0.12370570003986359,0.14159610867500305,0.1003347858786583,0.08337405323982239,0.07739013433456421,0.09591794013977051,0.10850614309310913,0.08700044453144073,0.09282790869474411,0.06506388634443283,0.09597346186637878,0.09074227511882782,0.0820409283041954,0.06568017601966858,0.10505004972219467,0.11345143616199493,0.09039103984832764,0.1135602667927742,0.11976268142461777,0.07605677098035812,0.0626382902264595,0.09689527750015259,0.09313002228736877,0.07398411631584167,0.11494878679513931,0.10836856812238693,0.0886387825012207,0.09054437279701233,0.10003449767827988,0.10916419327259064,0.08722146600484848,0.10208319872617722,0.09792787581682205,0.12030283361673355,0.09156060963869095,0.09181613475084305,0.08521197736263275,0.10946081578731537,0.12820379436016083,0.1309121549129486,0.09676852822303772,0.10215342044830322,0.1310873031616211,0.16592878103256226,0.1077478900551796,0.04900401458144188,0.06291089206933975,0.09762756526470184,0.07274940609931946,0.1221969947218895,0.08575769513845444,0.10677459836006165,0.08896229416131973,0.06886659562587738,0.1206401064991951,0.16002656519412994,0.10927437990903854,0.0885663852095604,0.12025462836027145,0.10778919607400894,0.09552639722824097,0.10065779834985733,0.11854180693626404,0.10463540256023407,0.1123286783695221,0.11134370416402817,0.09394345432519913,0.08387389034032822,0.08811142295598984,0.1533420979976654,0.13941922783851624,0.09350559860467911,0.11916333436965942,0.08162960410118103,0.09159436821937561,0.09157688170671463,0.09075666964054108,0.0904894694685936,0.0943937599658966,0.11236728727817535,0.0808415412902832,0.07032030075788498,0.10445796698331833,0.115712970495224,0.11561743170022964,0.13117200136184692,0.14589683711528778,0.11384543776512146,0.09961819648742676,0.08285968750715256,0.051947060972452164,0.0985453724861145,0.11405416578054428,0.14438925683498383,0.08029099553823471,0.11506334692239761,0.07240591198205948,0.08151143789291382,,0.10550428181886673,0.07674111425876617,0.060887660831213,0.08973225951194763,0.09656326472759247,0.11507423222064972,0.0673174187541008,0.11943670362234116,0.10999669134616852,0.13927005231380463
1,Mouse39121,group_1,0.1258966475725174,0.1381620168685913,0.11005454510450363,0.09621196985244751,0.09819258749485016,0.1476380079984665,0.10829527676105499,0.18840862810611725,0.11653915792703629,0.09043452888727188,0.1325986236333847,0.13481169939041138,0.1206846684217453,0.1550113707780838,0.11491905152797699,0.1291917860507965,0.13874855637550354,0.16836901009082794,0.09690392762422562,0.13301534950733185,0.1409967541694641,0.13298293948173523,0.130987748503685,0.12668995559215546,0.11570950597524643,0.1165182888507843,0.12642313539981842,0.15091581642627716,0.13133609294891357,0.0920889675617218,0.11586953699588776,0.11008692532777786,0.09285009652376175,0.08120903372764587,0.08489540219306946,0.15821583569049835,0.12531092762947083,0.11661356687545776,0.10635191202163696,0.08515404909849167,0.08465096354484558,0.13833197951316833,0.09184771776199341,0.16116295754909515,0.10668262094259262,0.12144254893064499,0.11719386279582977,0.15023277699947357,0.10742723941802979,0.07589074969291687,0.17203567922115326,0.11866173893213272,0.12265697121620178,0.14666150510311127,0.15533506870269775,0.10103622078895569,0.09924369305372238,0.13296465575695038,0.16381315886974335,0.1416715681552887,0.1618652492761612,0.14579138159751892,0.11662986129522324,0.12039501965045929,0.13415630161762238,0.09877998381853104,0.10656586289405823,0.1025485023856163,0.103831946849823,0.11643371731042862,0.16031686961650848,0.11677534878253937,0.11856959760189056,0.12652705609798431,0.11905019730329514,0.12055987864732742,0.09384371340274811,0.13487307727336884,0.09497860819101334,0.10062067955732346,0.1234898567199707,0.11534865945577621,0.11744317412376404,0.10111095756292343,0.14710843563079834,0.13853313028812408,0.10201207548379898,0.10597690939903259,0.15185295045375824,0.10944820940494537,0.10899590700864792,0.08383917808532715,0.12257027626037598,0.1001620814204216,0.11554986983537674,0.1402508169412613,0.1203811764717102,0.13401754200458527,0.0872000902891159,0.11641205102205276,0.10226798802614212,0.13328629732131958,0.11444578319787979,0.09112314879894257,0.11426904797554016,0.16050900518894196,0.1191178560256958,0.12789790332317352,0.11297614127397537,0.11279475688934326,0.06602930277585983,0.1339726746082306,0.1102607324719429,0.13108102977275848,0.16512642800807953,0.1133980080485344,0.14520399272441864,0.0862112045288086,0.1610364317893982,0.0962076187133789,0.1112615317106247,0.12398970127105713,0.16318853199481964,0.16207008063793182,0.14331503212451935,0.18710726499557495,0.08874011784791946,0.10832121968269348,0.09304379671812057,0.1319800168275833,0.12256941944360733,0.11280734837055206,0.13094940781593323,0.1329490691423416,0.13773249089717865,0.1460842490196228,0.10848996043205261,0.11477537453174591,0.09605393558740616,0.14596709609031677,0.1283208578824997,0.1531832069158554,0.11119399964809418,0.14345453679561615,0.14092762768268585,0.10136272013187408,0.10654003173112869,0.1361076682806015,0.1199200376868248,0.1305391639471054
2,Mouse39124,group_1,0.06763868778944016,0.1199377104640007,0.05375029891729355,0.09478041529655457,0.07732581347227097,0.06775568425655365,0.055065568536520004,0.0468951016664505,0.07077283412218094,0.08568228781223297,0.05903373286128044,0.12926992774009705,0.1049661710858345,0.062396906316280365,0.0785190686583519,0.0738757848739624,0.12526457011699677,0.04931576922535896,0.13673028349876404,0.13240191340446472,0.10165558755397797,0.10064656287431717,0.07591502368450165,0.10750672966241837,0.08750494569540024,,0.05280318856239319,0.09426809847354889,0.14092186093330383,0.09187474101781845,0.0866728276014328,0.09367482364177704,0.06387172639369965,0.05800890177488327,0.07050229609012604,0.09398506581783295,0.08368883281946182,0.06618019193410873,0.07079707831144333,0.07101994752883911,0.0982152670621872,0.08229431509971619,0.08675489574670792,0.08876382559537888,0.07765364646911621,0.08483045548200607,0.09535852074623108,0.0700889378786087,0.0732179582118988,0.05890142545104027,0.10018299520015717,0.05841141194105148,0.1193375214934349,0.07650499045848846,0.10370521247386932,0.10574708878993988,0.07163345813751221,0.0595574788749218,0.08315805345773697,0.08102953433990479,0.09097620844841003,0.06956387311220169,0.0643371045589447,0.06722676753997803,0.11254554241895676,0.0794268473982811,0.08177115768194199,0.1057199165225029,0.07004621624946594,0.08447092771530151,0.1046941801905632,0.12229517847299576,0.06022842600941658,0.07637810707092285,0.0634438768029213,0.06746679544448853,0.11255891621112823,0.09875325858592987,0.12432768940925598,0.08409223705530167,0.11871112883090973,0.06355699151754379,0.06844084709882736,0.08574572205543518,0.07572849094867706,0.08923599869012833,0.09404612332582474,0.06961782276630402,0.1160706877708435,0.08526092022657394,0.10010036081075668,0.0522766038775444,0.12150584906339645,0.10400926321744919,0.12843908369541168,0.07084158062934875,0.07600574940443039,0.06135481968522072,0.06814819574356079,0.08301787823438644,0.06708374619483948,0.07699844986200333,0.0966837927699089,0.11019954085350037,0.08205731213092804,0.11046653240919113,0.05903997644782066,0.0714879035949707,0.07052997499704361,0.07303827255964279,0.07633474469184875,0.09141787141561508,0.08494746685028076,0.08464295417070389,0.07713373005390167,0.08853313326835632,0.08392716944217682,,0.06576716154813766,0.07491154968738556,0.06533309072256088,0.06483133882284164,0.0770820826292038,0.10465629398822784,0.10622978210449219,0.11634334176778793,0.0701407715678215,0.09203927218914032,0.10939303040504456,0.14095628261566162,0.10686075687408447,0.049382492899894714,0.04817571863532066,0.09922044724225998,0.12326592206954956,0.0832923874258995,0.1630418449640274,0.1285894811153412,0.040197327733039856,0.08499345928430557,0.10039851069450378,0.08197063207626343,0.07989645004272461,0.05764150246977806,0.08076200634241104,0.14263516664505005,0.11271864175796509,0.09065898507833481,0.08196310698986053,0.1220148354768753
3,Mouse39133,group_1,0.1212286427617073,0.10472723096609116,0.0754738301038742,0.12104033678770065,0.17858320474624634,0.11495526134967804,0.15134744346141815,0.09706670045852661,0.12650571763515472,0.14250792562961578,0.11585170030593872,0.140145942568779,0.09079056233167648,0.13560444116592407,0.13247688114643097,0.07967060059309006,0.10574641823768616,0.0880161002278328,0.07725539803504944,0.12209164351224899,0.04558153077960014,0.10593488812446594,0.08807792514562607,0.07810540497303009,0.1223205104470253,0.11164673417806625,0.07127581536769867,0.09135371446609497,0.08189532905817032,0.13004064559936523,0.13333681225776672,0.14721760153770447,0.05950770899653435,0.1365268975496292,0.11778136342763901,0.0749330073595047,0.10460620373487473,0.11722830682992935,0.12845510244369507,0.1316482573747635,0.12098702788352966,0.12327664345502853,0.14429497718811035,0.11978922039270401,0.12417580932378769,0.11782734096050262,0.10585474967956543,0.10950982570648193,0.12772467732429504,0.09393948316574097,0.1102931946516037,0.09219510108232498,0.09762204438447952,0.07578148692846298,0.1099761575460434,0.13375525176525116,0.11138322204351425,0.1170705035328865,0.11105480045080185,0.10883627831935883,0.11189828813076019,0.09403084218502045,0.10737481713294983,0.09284612536430359,0.10445068776607513,0.1211685910820961,0.12324794381856918,0.12905074656009674,0.11117668449878693,0.10713116079568863,0.11080234497785568,0.1228657215833664,0.11172877252101898,0.1428920030593872,0.14350533485412598,0.11026053875684738,0.08730083703994751,0.11778552830219269,0.11325079202651978,0.11051015555858612,0.14874494075775146,0.14581069350242615,0.07413358241319656,0.13362084329128265,0.09252779930830002,0.10681977868080139,0.15787789225578308,0.11834913492202759,0.12148907780647278,0.09731380641460419,0.1398598700761795,0.08945371210575104,0.11572811007499695,0.07894820719957352,0.11482225358486176,0.10646073520183563,0.12755049765110016,0.11968191713094711,0.14450232684612274,0.14224828779697418,0.08069517463445663,0.08027124404907227,0.11041662842035294,0.1490355283021927,0.15122784674167633,0.10171005874872208,0.08748434484004974,0.15017355978488922,0.15578565001487732,0.08577209711074829,0.12226548045873642,0.15865343809127808,0.08432693779468536,0.10445494204759598,0.1595127135515213,0.14391851425170898,0.11673738807439804,0.06927451491355896,0.07961461693048477,0.11767086386680603,0.07211588323116302,0.07467814534902573,0.1353456974029541,0.09726841002702713,0.09491302818059921,0.09649599343538284,0.10377341508865356,0.11798800528049469,0.10408647358417511,0.07044682651758194,0.10615889728069305,0.09761381894350052,0.13630084693431854,0.09646987915039062,0.09341266006231308,0.11024191975593567,0.12892569601535797,0.07961297780275345,0.12009701877832413,0.09936936944723129,0.10100062191486359,0.16487498581409454,0.12811172008514404,0.10792334377765656,0.13298189640045166,0.14888913929462433,0.1078425869345665,0.10380791872739792,0.09376783668994904,0.05453227460384369
4,Mouse9001,group_1,0.1171247810125351,0.05922089144587517,0.10553543269634247,,0.07673339545726776,0.10448935627937317,0.12131517380475998,0.12956567108631134,0.12387073785066605,0.07247743010520935,0.10357053577899933,0.13278618454933167,0.13317644596099854,0.10708937793970108,0.07847324758768082,0.08771651238203049,0.13338319957256317,0.09453151375055313,0.0864022970199585,,0.0732506737112999,0.0803661122918129,0.11900594830513,0.12624096870422363,0.10345529764890671,0.08936556428670883,0.05685931444168091,0.14760242402553558,0.09208948910236359,0.08542706817388535,0.05700145289301872,0.06889386475086212,0.04209795966744423,0.08828084915876389,0.09927421808242798,0.06683138757944107,0.09220223873853683,0.09767387807369232,0.07814572751522064,0.09226061403751373,0.07068870961666107,0.05693472921848297,0.05529288575053215,0.04758370295166969,0.048464152961969376,0.06815922260284424,0.0853668674826622,0.06457176059484482,0.0859910100698471,0.07760417461395264,0.08109473437070847,0.08071103692054749,0.09945648163557053,0.08390151709318161,0.10155356675386429,0.05782178044319153,0.0866851657629013,,,0.0934205949306488,0.040661152452230453,0.09564119577407837,0.09937205910682678,0.09937920421361923,0.08753063529729843,0.04851127788424492,0.05219554528594017,0.09032551944255829,0.08146994560956955,0.07848785817623138,0.06984129548072815,0.049522604793310165,0.037158090621232986,0.09286340326070786,0.07374702394008636,0.06054948270320892,0.06928961724042892,0.07379623502492905,0.06047353520989418,0.08596911281347275,0.10737244039773941,0.09800104796886444,0.06830911338329315,0.08482179045677185,0.05994574353098869,0.11830195039510727,0.10740633308887482,0.0563073568046093,0.10159207135438919,0.09846684336662292,0.06537485122680664,0.04480467736721039,0.08366256952285767,0.06779182702302933,0.11222053319215775,0.07231899350881577,0.07158290594816208,0.06894591450691223,0.07437268644571304,0.06579893827438354,0.06618613004684448,0.05236320570111275,0.08621446043252945,0.08692315965890884,0.10299038141965866,0.08857418596744537,0.07366731762886047,0.05976226553320885,0.07680687308311462,0.07054450362920761,0.09067115932703018,0.1057366356253624,0.08261054754257202,0.08273446559906006,0.10325555503368378,0.08655057102441788,0.08798767626285553,0.09823112189769745,0.08041713386774063,0.10730832815170288,0.07529570162296295,0.0840998962521553,0.09975717961788177,0.07120710611343384,0.08674875646829605,0.09902065992355347,0.08574844896793365,0.10884350538253784,,0.08318997919559479,0.07308495789766312,0.07693640142679214,0.11026336997747421,0.04914792627096176,0.07270701974630356,0.07496462762355804,0.08178607374429703,0.08783335983753204,0.06563083082437515,0.11857272684574127,0.12119938433170319,0.06373131275177002,0.07846928387880325,0.10663866996765137,0.08855877816677094,0.07172583788633347,0.07135025411844254,0.10243269801139832,0.06791440397500992,
5,Mouse9011,group_1,0.10124591737985611,0.12206901609897614,,,,,,0.08399869501590729,0.09432411938905716,0.11966627836227417,0.10970500856637955,0.11180084943771362,0.09370937198400497,0.10261762887239456,0.07756107300519943,0.10716477781534195,0.1380859911441803,0.10291511565446854,0.07389264553785324,0.07313792407512665,0.08430077135562897,0.06617014855146408,0.1280384361743927,0.10585712641477585,0.10417772084474564,0.13006913661956787,0.1314707100391388,0.12352777272462845,0.09077814221382141,0.13176393508911133,0.1239241361618042,0.10068081319332123,,,0.07841508835554123,0.10469501465559006,0.07557357102632523,0.08948299288749695,0.10749892890453339,0.12023197114467621,0.0897948294878006,0.09106350690126419,0.096274234354496,0.07711682468652725,0.07611384242773056,0.09537435322999954,0.10728930681943893,0.11144186556339264,0.06964851915836334,0.10415005683898926,0.09913049638271332,0.1140858381986618,0.08912139385938644,0.0906156450510025,0.12845738232135773,0.11690741032361984,0.10518326610326767,0.11518142372369766,0.10145116597414017,0.12896859645843506,0.08286640048027039,0.07741931080818176,0.12222419679164886,0.06918352842330933,0.08073519915342331,0.08271827548742294,0.07001562416553497,0.08931675553321838,0.08715682476758957,0.07761295139789581,0.1107846349477768,0.16497965157032013,,0.15614698827266693,0.11988140642642975,0.1008075550198555,0.07626752555370331,,,0.08110064268112183,0.09848783910274506,0.08868898451328278,0.10621911287307739,0.13881637156009674,0.1442602276802063,0.10265232622623444,,,0.10671036690473557,0.0745566338300705,0.11337147653102875,0.13528622686862946,0.1126069724559784,0.12127833813428879,0.1457962691783905,0.12413051724433899,0.12313520163297653,0.10465352237224579,0.14083647727966309,0.10918977856636047,0.0899139940738678,0.0910719782114029,0.10819707065820694,0.11485153436660767,0.13156431913375854,0.13600924611091614,0.08411558717489243,0.14450223743915558,0.13667885959148407,0.11695089936256409,0.08146604895591736,0.07186184823513031,0.10107176750898361,0.12888167798519135,0.08434878289699554,0.08779717981815338,0.17298631370067596,0.10944786667823792,0.08306976407766342,0.11708452552556992,0.08596881479024887,0.11517442017793655,0.06780268251895905,0.1340562254190445,0.10112912952899933,0.12333960086107254,0.11823379993438721,0.11473815143108368,0.14930567145347595,0.08937487006187439,0.07172318547964096,0.12876051664352417,0.10996538400650024,0.1767788976430893,0.11938374489545822,0.15020263195037842,0.04806305840611458,0.09760832041501999,0.11146281659603119,0.06606432050466537,0.12560681998729706,0.08157062530517578,0.1447247564792633,0.09806525707244873,0.13987648487091064,,,0.1301368623971939,0.08856376260519028,
6,Mouse9013,group_1,0.10532370954751968,0.09730162471532822,0.11508820205926895,0.1729194074869156,0.13928568363189697,0.09948589652776718,,0.1093173548579216,0.12082958966493607,0.11289133876562119,0.10499627888202667,0.1323651373386383,0.11313484609127045,0.092857226729393,0.1479584276676178,0.12598063051700592,0.13382546603679657,0.09194216877222061,0.16172245144844055,0.11124899983406067,0.12365500628948212,0.10048561543226242,0.1267929971218109,0.11173509806394577,0.13153387606143951,0.1544228047132492,0.10574570298194885,0.1280849277973175,0.10728875547647476,0.0518011637032032,0.06962142884731293,0.12303124368190765,0.11654267460107803,0.12983958423137665,0.09337197244167328,0.08673130720853806,0.13740842044353485,0.1371331810951233,0.11716871708631516,0.11371180415153503,0.09691641479730606,0.09765870869159698,0.09356272965669632,0.12639553844928741,0.1427096426486969,0.07323198020458221,0.06935666501522064,0.0913202315568924,0.12011920660734177,0.10374246537685394,0.13025958836078644,0.10161448270082474,0.1254802942276001,0.10675550252199173,0.09610051661729813,0.08921369165182114,0.10447254031896591,0.10269566625356674,0.14730492234230042,0.095009446144104,0.121126689016819,0.09226426482200623,0.09642928838729858,0.13112254440784454,0.14964492619037628,0.13701413571834564,0.1440269500017166,0.11045026034116745,0.09126460552215576,0.13081836700439453,0.10358273237943649,0.12419234961271286,0.10952460765838623,0.11962271481752396,0.1288258284330368,0.08987931162118912,0.15898501873016357,0.12418941408395767,0.0979844406247139,0.10410049557685852,0.1578812599182129,0.11237861216068268,0.1103089302778244,0.13167575001716614,0.09570177644491196,0.11527400463819504,0.12299884110689163,0.1305145025253296,0.11351515352725983,0.10692214965820312,0.10984873026609421,0.12308107316493988,0.12683147192001343,0.12223856896162033,0.1309077888727188,0.14096544682979584,0.11540888249874115,0.11686001718044281,0.1611696481704712,0.1261749565601349,0.10849744081497192,0.15228204429149628,0.13073572516441345,0.09679649025201797,0.14073318243026733,0.10935688763856888,0.11648907512426376,0.12196839600801468,0.09812446683645248,0.11172223836183548,0.08181257545948029,0.1345796287059784,0.10518660396337509,0.13357600569725037,0.15097534656524658,0.12597811222076416,,,,,,,,,,0.11258259415626526,0.15371030569076538,0.1243610605597496,0.1255190521478653,0.08949262648820877,0.11485742777585983,0.13125114142894745,0.12994100153446198,0.11217868328094482,0.15332648158073425,0.14014524221420288,0.12341000139713287,0.10227659344673157,0.15342965722084045,0.1114828810095787,0.1318122148513794,0.09082265943288803,0.1454305350780487,0.11442121863365173,0.10001692920923233,0.11255825310945511,0.09324279427528381,0.10992936789989471,0.1508876383304596,0.1175609678030014
7,Mouse9071,group_1,0.07849613577127457,0.1084677055478096,0.11619739234447479,0.0936252698302269,0.07878640294075012,0.11152363568544388,0.08850535750389099,0.0929359495639801,0.07975554466247559,0.07559648901224136,0.12833808362483978,0.06779523938894272,0.06760961562395096,0.07821746170520782,0.0773138552904129,0.09122354537248611,0.11175332218408585,0.10777272284030914,,,,,0.1005139946937561,0.0730770006775856,0.11997090280056,0.12537935376167297,0.10248586535453796,0.11255691200494766,0.10837370902299881,0.09681513905525208,0.07640919834375381,0.10919590294361115,0.10808879137039185,0.08422339707612991,0.09668371081352234,0.08334358781576157,0.09683525562286377,0.10302218794822693,0.08168680965900421,0.083378367125988,0.09483382850885391,0.0927254930138588,0.05683102458715439,0.11932779848575592,0.0919392853975296,0.08496642112731934,0.10376910865306854,0.10125936567783356,0.0679602324962616,0.11484970152378082,0.08847279846668243,0.07004445046186447,0.08948295563459396,0.07789245247840881,0.08583695441484451,0.07838098704814911,,,,,,,0.09366963803768158,0.10481105744838715,0.06936896592378616,0.12343087792396545,0.10066866129636765,0.08275418728590012,0.07435759156942368,0.05585053935647011,0.08038225769996643,0.08204998075962067,0.08117978274822235,0.10546966642141342,0.11410140991210938,0.09043174237012863,0.12774448096752167,0.11958398669958115,0.09976407885551453,0.11703924089670181,0.11430352926254272,0.08240357041358948,0.12615609169006348,0.0805729404091835,0.11265242844820023,0.09632588922977448,0.11833254247903824,0.11551500856876373,0.08144526928663254,0.10784041881561279,0.10710287094116211,0.10510873794555664,0.10428764671087265,0.07968129962682724,0.11135246604681015,0.11472722142934799,0.1358191817998886,0.12525062263011932,0.09909038990736008,0.08592353761196136,0.07562199234962463,0.09994878619909286,0.06728146225214005,0.09144357591867447,0.10417009890079498,0.0693049505352974,0.08661825209856033,0.07820972800254822,0.10846253484487534,0.10758323222398758,0.10250353813171387,0.08876748383045197,0.13937093317508698,0.08611083030700684,0.12981776893138885,0.08100979775190353,0.06812270730733871,0.0894051119685173,0.10365965962409973,0.08676642924547195,0.0888298898935318,0.11103861778974533,0.10249917954206467,0.10603870451450348,0.10729265213012695,0.10910512506961823,0.12446665018796921,0.10862068831920624,0.0898318737745285,0.13078750669956207,0.09406069666147232,0.10405595600605011,0.0854560062289238,0.13259296119213104,0.10756469517946243,0.06688481569290161,0.12298055738210678,0.0919901430606842,0.09160985052585602,0.0964132696390152,0.08686722069978714,0.08612076193094254,0.09989622980356216,0.11365853995084763,0.1531289964914322,0.1216491162776947,0.10516025871038437,0.07367923855781555,0.0995781198143959,0.14266863465309143
8,Mouse9072,group_1,0.14447493851184845,0.1241132915019989,0.13564838469028473,0.13364733755588531,0.09221754968166351,0.15013810992240906,0.07473897188901901,0.15267394483089447,0.12326420843601227,0.08264409005641937,0.1142464429140091,0.0781104788184166,0.14546437561511993,0.09432916343212128,0.13607650995254517,0.1136295422911644,0.08301480114459991,0.11656959354877472,0.14141778647899628,0.09809042513370514,,0.13310843706130981,0.10879319161176682,0.09541580826044083,0.07806559652090073,0.12719403207302094,0.07898592203855515,0.10012684017419815,0.08953063935041428,0.07578881829977036,0.07235996425151825,0.06279414147138596,0.11966786533594131,0.1269478052854538,0.11494330316781998,0.11136455088853836,0.08897121995687485,0.10466650873422623,0.10292612016201019,0.07378525286912918,0.09489400684833527,0.11849568039178848,0.11039108783006668,0.09320379048585892,0.09401047974824905,0.11858350038528442,0.13557441532611847,0.14515911042690277,0.10414425283670425,0.14730510115623474,0.14235445857048035,0.12682391703128815,0.18352246284484863,0.09809187054634094,0.11219335347414017,0.1415441930294037,0.10197003930807114,0.10025428980588913,0.14600421488285065,0.14227816462516785,0.14772477746009827,0.13078346848487854,0.13892096281051636,0.11787448823451996,0.09298177063465118,0.1285502165555954,0.14617669582366943,0.08318215608596802,0.1256393939256668,0.11587245762348175,0.07981042563915253,0.1101028099656105,0.12859544157981873,0.09984832257032394,0.10819115489721298,0.15546029806137085,0.11319191753864288,0.09379317611455917,0.14475880563259125,0.10033585131168365,0.13227885961532593,0.11521883308887482,0.10524251312017441,0.10918164253234863,0.09467006474733353,0.11420192569494247,0.10397297888994217,0.13696610927581787,0.14051617681980133,0.12092135101556778,0.09812024980783463,0.11766933649778366,0.10741709172725677,0.13327278196811676,0.1489967256784439,0.14575158059597015,0.11091883480548859,0.13316473364830017,0.10552296787500381,0.09226399660110474,0.11688050627708435,0.12351629883050919,0.11452238261699677,0.05927089974284172,0.09456399828195572,0.0926174744963646,0.10520096123218536,0.11186151951551437,0.09579172730445862,0.11103954166173935,0.1188940480351448,0.14706122875213623,0.09842155128717422,0.1407623142004013,0.11919694393873215,0.1207418143749237,0.12211304903030396,0.12138735502958298,0.12448059767484665,0.12707051634788513,0.11604401469230652,0.12418975681066513,0.1607854962348938,0.1342134028673172,0.1014821007847786,,0.09246989339590073,0.11550993472337723,0.146956205368042,0.11436504125595093,0.11052168160676956,0.10191786289215088,0.0908723771572113,0.12929825484752655,0.13278043270111084,0.10430720448493958,0.13979178667068481,0.11574139446020126,0.10585884749889374,0.10698742419481277,0.12777873873710632,0.1112501323223114,0.1124458983540535,0.1348665952682495,0.1350482553243637,0.10091689229011536,0.11150252819061279,0.09014327824115753,0.10336212068796158,0.11434692144393921
9,Mouse9084,group_1,0.11790355294942856,0.12831343710422516,0.10103747993707657,0.13586653769016266,0.10124494880437851,0.14022187888622284,0.12452512234449387,0.10602322965860367,0.0701957494020462,0.12125886976718903,0.1477956771850586,0.09671585261821747,0.0926508903503418,0.07306229323148727,0.1389796882867813,0.10225969552993774,0.12203391641378403,0.07632294297218323,0.08785202354192734,0.11872975528240204,0.1012992113828659,0.1143132671713829,0.11002883315086365,0.11659033596515656,0.06951157003641129,0.08306700736284256,0.13037452101707458,0.08945228159427643,0.09903769940137863,0.10432420670986176,0.07598216086626053,0.10866893827915192,0.08319747447967529,0.11606232821941376,0.09199286997318268,0.10423118621110916,0.056317854672670364,0.09714246541261673,0.0986287072300911,0.07685592025518417,0.1067606657743454,0.0834004208445549,0.08843103051185608,0.09635458141565323,0.09186927229166031,0.09585664421319962,0.09264414012432098,0.08891228586435318,0.09404117614030838,0.08656641840934753,0.11257533729076385,0.07716821134090424,0.10285113006830215,0.1463327705860138,0.08444835245609283,0.0947192907333374,0.09049005806446075,0.12123836576938629,0.12016476690769196,0.11039751768112183,0.11434988677501678,0.09297055006027222,0.15412771701812744,0.09074990451335907,0.1072823777794838,0.08780834078788757,0.10067074000835419,0.11583065241575241,0.12202581018209457,0.13359928131103516,0.10090025514364243,0.13544698059558868,0.08372721821069717,0.12098080664873123,0.09526441246271133,0.11577882617712021,0.12805821001529694,0.07311780005693436,0.08186235278844833,0.10978001356124878,0.09016498178243637,0.12243066728115082,0.10213978588581085,0.11177371442317963,0.1254790872335434,0.09202642738819122,0.09646424651145935,0.06992161273956299,0.09278319776058197,0.10072226822376251,0.10055208206176758,0.08454813063144684,0.16788490116596222,0.12224128842353821,0.09348870813846588,0.08451800048351288,0.09899863600730896,0.1041363999247551,0.11856473237276077,0.0961400493979454,0.05341363698244095,0.11366918683052063,0.07180730998516083,0.1300513744354248,0.06169658154249191,0.10390204191207886,0.08801358938217163,0.1335037648677826,0.09515246748924255,0.12055519223213196,0.0954926460981369,0.10026201605796814,0.09750858694314957,0.09516976028680801,0.08049888908863068,0.09488663077354431,0.10387863218784332,0.10895723104476929,0.1037658154964447,0.1155872792005539,0.0912342295050621,0.09742746502161026,0.10822330415248871,0.08220835775136948,0.10188067704439163,0.08489804714918137,0.11511604487895966,0.10587791353464127,0.10423726588487625,0.11786695569753647,0.093751922249794,0.08725050091743469,0.10795041918754578,0.12917384505271912,0.10917065292596817,0.07206760346889496,0.10457504540681839,0.05733976140618324,0.08856537938117981,0.08398310095071793,0.0906878188252449,0.08476897329092026,0.08457978069782257,0.09866684675216675,0.10372593253850937,0.07204563915729523,0.10007022321224213,0.09722652286291122,0.07429978251457214,0.07449085265398026
