mouse,oa_perc,ca_perc,center_perc
Mouse69075,0.07891304347826086,0.7422282608695652,0.17864130434782607
Mouse39121,0.04087545920215243,0.7388109898070058,0.2202100688156465
Mouse39122,0.1340887057682986,0.6224551623848764,0.24339554047503636
Mouse39115,0.06595645593200605,0.6540342298288508,0.2800093142391431
Mouse39135,0.14370263842026662,0.5975994247469439,0.2586979368327894
Mouse6674,0.14756666666666668,0.7630666666666667,0.08543333333333333
Mouse69071,0.15534722576043206,0.6946043715290161,0.14994650226728487
Mouse39132,0.0133530314222399,0.7323143360418206,0.2543326325359395
Mouse0641,0.15286666666666668,0.6937333333333333,0.1534
Mouse8893,0.0759,0.7787,0.1454
Mouse69061,0.12548416193558656,0.6691781185334535,0.20517854300419164
