mouse,n_oa_seconds,oa_perc,oa_mean_time,ca_perc,ca_mean_time,center_perc,center_mean_time
Mouse69075,31,0.10333333333333333,124.3225806451613,0.76,158.71052631578948,0.13666666666666666,124.63414634146342
Mouse39121,15,0.05,171.86666666666667,0.77,154.0909090909091,0.18,129.2037037037037
Mouse39122,38,0.12666666666666668,103.6842105263158,0.62,159.7258064516129,0.25333333333333335,151.32894736842104
Mouse39115,24,0.08,221.875,0.6433333333333333,128.95336787564767,0.27666666666666667,179.96385542168676
Mouse39135,36,0.12,218.75,0.6133333333333333,143.06521739130434,0.26666666666666666,136.8875
Mouse6674,39,0.13,217.87179487179486,0.7733333333333333,141.68103448275863,0.09666666666666666,130.44827586206895
Mouse69071,52,0.17333333333333334,103.38461538461539,0.6966666666666667,163.5311004784689,0.13,143.48717948717947
Mouse39132,3,0.01,67.33333333333333,0.7033333333333334,155.49289099526067,0.2866666666666667,141.15116279069767
Mouse0641,9,0.03,33.77777777777778,0.8033333333333333,157.4813278008299,0.16666666666666666,137.86
Mouse8893,46,0.15333333333333332,128.06521739130434,0.6466666666666666,155.54123711340208,0.2,151.4
Mouse69061,31,0.10333333333333333,116.0,0.67,155.7910447761194,0.22666666666666666,150.58823529411765
