5_minute_net_1_scores,5_minute_net_2_scores,5_minute_time,5_minute_mouse,5_minute_flx,5_minute_expDate
0.07513222,0.12249383,0,Mouse69061,1.0,110421
0.07304968,0.114389,1,Mouse69061,1.0,110421
0.07491382,0.12563749,2,Mouse69061,1.0,110421
0.07134987,0.12093787,3,Mouse69061,1.0,110421
0.071889244,0.11349335,4,Mouse69061,1.0,110421
0.070462726,0.12187266,5,Mouse69061,1.0,110421
0.070357256,0.10694351,6,Mouse69061,1.0,110421
0.07018145,0.11599756,7,Mouse69061,1.0,110421
0.06584297,0.0971068,8,Mouse69061,1.0,110421
0.065129444,0.099984884,9,Mouse69061,1.0,110421
0.06464137,0.101578176,10,Mouse69061,1.0,110421
0.06501597,0.098682724,11,Mouse69061,1.0,110421
0.08088581,0.13239504,0,Mouse69061,0.0,110521
0.07696806,0.12814942,1,Mouse69061,0.0,110521
0.07264654,0.12979178,2,Mouse69061,0.0,110521
0.07654625,0.13187456,3,Mouse69061,0.0,110521
0.06962488,0.11871891,4,Mouse69061,0.0,110521
0.07084252,0.11877551,5,Mouse69061,0.0,110521
0.06825408,0.11952719,6,Mouse69061,0.0,110521
0.07075733,0.13316686,7,Mouse69061,0.0,110521
0.06772968,0.11836396,8,Mouse69061,0.0,110521
0.07472886,0.117956534,9,Mouse69061,0.0,110521
0.0679943,0.10611735,10,Mouse69061,0.0,110521
0.071581304,0.117824696,11,Mouse69061,0.0,110521
0.095543444,0.16486463,0,Mouse78732,0.0,040623
0.09488875,0.15881653,1,Mouse78732,0.0,040623
0.08940835,0.15676332,2,Mouse78732,0.0,040623
0.091043435,0.15328516,3,Mouse78732,0.0,040623
0.08900853,0.15480597,4,Mouse78732,0.0,040623
0.08535767,0.1447037,5,Mouse78732,0.0,040623
0.087912016,0.1500725,6,Mouse78732,0.0,040623
0.08987413,0.14257577,7,Mouse78732,0.0,040623
0.09076675,0.15285297,8,Mouse78732,0.0,040623
0.08513053,0.14571084,9,Mouse78732,0.0,040623
0.09153474,0.14739974,10,Mouse78732,0.0,040623
0.09396315,0.14922383,11,Mouse78732,0.0,040623
0.0975736,0.16171694,0,Mouse78732,1.0,040623
0.10458508,0.17153803,1,Mouse78732,1.0,040623
0.10382564,0.1742934,2,Mouse78732,1.0,040623
0.09868865,0.17595562,3,Mouse78732,1.0,040623
0.09624018,0.16596338,4,Mouse78732,1.0,040623
0.09706465,0.16917895,5,Mouse78732,1.0,040623
0.08645716,0.16622901,6,Mouse78732,1.0,040623
0.092712514,0.16267705,7,Mouse78732,1.0,040623
0.09425278,0.16167562,8,Mouse78732,1.0,040623
0.092592545,0.16760555,9,Mouse78732,1.0,040623
0.09561001,0.16721638,10,Mouse78732,1.0,040623
0.08847785,0.170558,11,Mouse78732,1.0,040623
0.09376281,0.16041055,0,Mouse78743,0.0,040623
0.08884049,0.15582563,1,Mouse78743,0.0,040623
0.08672325,0.14411265,2,Mouse78743,0.0,040623
0.08823554,0.14514883,3,Mouse78743,0.0,040623
0.086966515,0.14727587,4,Mouse78743,0.0,040623
0.08755664,0.14365882,5,Mouse78743,0.0,040623
0.08802535,0.14314981,6,Mouse78743,0.0,040623
