5_minute_net_1_scores,5_minute_net_2_scores,5_minute_time,5_minute_mouse,5_minute_flx,5_minute_expDate
0.07517189,0.12252792,0,Mouse69061,1.0,110421
0.07304694,0.11446066,300,Mouse69061,1.0,110421
0.07499131,0.12576284,600,Mouse69061,1.0,110421
0.071302526,0.12110363,900,Mouse69061,1.0,110421
0.07180557,0.113305934,1200,Mouse69061,1.0,110421
0.07045141,0.12197526,1500,Mouse69061,1.0,110421
0.07036721,0.10686295,1800,Mouse69061,1.0,110421
0.070114106,0.11588363,2100,Mouse69061,1.0,110421
0.0657976,0.09715246,2400,Mouse69061,1.0,110421
0.06515252,0.09982699,2700,Mouse69061,1.0,110421
0.06463182,0.10148662,3000,Mouse69061,1.0,110421
0.064972825,0.0986999,3300,Mouse69061,1.0,110421
0.08085178,0.13242657,0,Mouse69061,0.0,110521
0.07696801,0.12825489,300,Mouse69061,0.0,110521
0.07278793,0.12983909,600,Mouse69061,0.0,110521
0.07654625,0.13187456,900,Mouse69061,0.0,110521
0.06964745,0.118679754,1200,Mouse69061,0.0,110521
0.07086559,0.11882495,1500,Mouse69061,0.0,110521
0.06825651,0.119352736,1800,Mouse69061,0.0,110521
0.070828676,0.13317485,2100,Mouse69061,0.0,110521
0.06770409,0.1182399,2400,Mouse69061,0.0,110521
0.07465498,0.117803,2700,Mouse69061,0.0,110521
0.0680567,0.10617704,3000,Mouse69061,0.0,110521
0.071665265,0.11777265,3300,Mouse69061,0.0,110521
0.09556172,0.16472264,0,Mouse78732,0.0,040623
0.094941854,0.15902916,300,Mouse78732,0.0,040623
0.089414194,0.156965,600,Mouse78732,0.0,040623
0.09104499,0.1532693,900,Mouse78732,0.0,040623
0.08912675,0.15485676,1200,Mouse78732,0.0,040623
0.085361846,0.14486028,1500,Mouse78732,0.0,040623
0.08799274,0.15013699,1800,Mouse78732,0.0,040623
0.089805506,0.14243631,2100,Mouse78732,0.0,040623
0.090862505,0.15329325,2400,Mouse78732,0.0,040623
0.085162655,0.14558524,2700,Mouse78732,0.0,040623
0.0916389,0.14750805,3000,Mouse78732,0.0,040623
0.09384218,0.14919376,3300,Mouse78732,0.0,040623
0.09771877,0.16187452,0,Mouse78732,1.0,040623
0.10453458,0.17138477,300,Mouse78732,1.0,040623
0.10393527,0.17417954,600,Mouse78732,1.0,040623
0.098596446,0.17592622,900,Mouse78732,1.0,040623
0.09614817,0.16575588,1200,Mouse78732,1.0,040623
0.096867844,0.16910261,1500,Mouse78732,1.0,040623
0.086535975,0.16619778,1800,Mouse78732,1.0,040623
0.09269094,0.16256176,2100,Mouse78732,1.0,040623
0.09438724,0.16169895,2400,Mouse78732,1.0,040623
0.09262064,0.16748412,2700,Mouse78732,1.0,040623
0.09561001,0.16721638,3000,Mouse78732,1.0,040623
0.08864134,0.1705632,3300,Mouse78732,1.0,040623
0.093678504,0.16019218,0,Mouse78743,0.0,040623
0.08879112,0.15576616,300,Mouse78743,0.0,040623
0.08661881,0.14394884,600,Mouse78743,0.0,040623
0.08837301,0.14522761,900,Mouse78743,0.0,040623
0.08696272,0.14735731,1200,Mouse78743,0.0,040623
0.08749608,0.14355601,1500,Mouse78743,0.0,040623
0.08800457,0.14319633,1800,Mouse78743,0.0,040623
0.08706246,0.14546856,2100,Mouse78743,0.0,040623
0.08627568,0.14182755,2400,Mouse78743,0.0,040623
0.085844554,0.1407364,2700,Mouse78743,0.0,040623
0.08381189,0.13516875,3000,Mouse78743,0.0,040623
0.08674627,0.14017119,3300,Mouse78743,0.0,040623
0.09863718,0.16693737,0,Mouse78743,1.0,040623
0.1019053,0.16945018,300,Mouse78743,1.0,040623
0.0995648,0.16568752,600,Mouse78743,1.0,040623
0.09941114,0.17047973,900,Mouse78743,1.0,040623
0.095893726,0.16711043,1200,Mouse78743,1.0,040623
0.09785153,0.16144593,1500,Mouse78743,1.0,040623
0.099632874,0.16422956,1800,Mouse78743,1.0,040623
0.0992593,0.16162622,2100,Mouse78743,1.0,040623
0.10136761,0.16662945,2400,Mouse78743,1.0,040623
0.09745276,0.16254812,2700,Mouse78743,1.0,040623
0.0963387,0.16557458,3000,Mouse78743,1.0,040623
0.098541506,0.17181139,3300,Mouse78743,1.0,040623
0.09345489,0.14361164,0,Mouse78745,0.0,040623
0.09102183,0.14223334,300,Mouse78745,0.0,040623
0.09166721,0.13852108,600,Mouse78745,0.0,040623
0.08649064,0.13218877,900,Mouse78745,0.0,040623
0.08537121,0.1355694,1200,Mouse78745,0.0,040623
0.08841374,0.12873718,1500,Mouse78745,0.0,040623
0.08549453,0.12685502,1800,Mouse78745,0.0,040623
0.08564125,0.12493319,2100,Mouse78745,0.0,040623
0.08394765,0.12983708,2400,Mouse78745,0.0,040623
0.08646882,0.13001934,2700,Mouse78745,0.0,040623
0.08180312,0.13862215,3000,Mouse78745,0.0,040623
0.08311288,0.1246839,3300,Mouse78745,0.0,040623
0.098267585,0.14961891,0,Mouse78745,1.0,040623
0.09590669,0.14829181,300,Mouse78745,1.0,040623
0.098837644,0.15334313,600,Mouse78745,1.0,040623
