,mouse,agg_score,n1_score,n2_score,n3_score
0,Mouse26352,2.755641,0.06968681,0.12167237,0.06131949
1,Mouse26354,3.4911373,0.07336259,0.16387224,0.055607032
2,Mouse26361,2.6392066,0.06984138,0.11546494,0.041349247
3,Mouse26362,3.1279414,0.08782593,0.13476819,0.028532494
4,Mouse26363,3.333122,0.09013793,0.14501671,0.044642396
5,Mouse26364,3.1759071,0.06811831,0.14948305,0.022509972
6,Mouse26371,3.1884477,0.06590251,0.15071374,0.041479476
7,Mouse26374,2.2086928,0.0739319,0.0873157,0.039652158
8,Mouse26382,3.1365955,0.04838003,0.15826087,0.03309633
9,Mouse26384,3.5506425,0.06919497,0.17050335,0.041453145
10,Mouse26385,3.114515,0.06791833,0.14583272,0.024487905
11,Mouse26391,3.113747,0.073364735,0.14140996,0.051621668
12,Mouse26393,2.2188146,0.06042923,0.09672972,0.019483583
