,mouse,geno,decision,-2,-1,0
0,Mouse0914,wt,center->open,0.13725604,0.114265576,0.11206759
1,Mouse2402,wt,center->open,0.05712983275,0.0425457295,0.043743572450000004
2,Mouse2403,wt,center->open,0.08370833250000001,0.09585031100000001,0.090520595
3,Mouse30391,wt,center->open,0.107508095,0.11581496,0.123376045
4,Mouse30392,wt,center->open,0.15019602,0.12134833,0.09308807
5,Mouse0911,wt,center->closed,0.08126504,0.13624042,0.14449261
6,Mouse0914,wt,center->closed,0.12219292185714285,0.12096795042857142,0.12560062107142858
7,Mouse2402,wt,center->closed,0.06860995423809524,0.05382060440476191,0.060412371714285706
8,Mouse2403,wt,center->closed,0.10356190228571428,0.09398895271428573,0.09205298285714285
9,Mouse30391,wt,center->closed,0.10717898931249999,0.09699764618750001,0.11468054925
10,Mouse30392,wt,center->closed,0.10642694707142855,0.11014650257142856,0.10469240228571428
11,Mouse69861,wt,center->closed,0.075651072,0.11197694816666669,0.08568182516666667
12,Mouse69862,wt,center->closed,0.10835156076470588,0.1145565711764706,0.10327167082352941
