,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
0,2.7882295,1.1494005,0.6960104,-0.6541134,Mouse67151,,CLOCK,0.0,1,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
1,2.632651,1.056085,0.6368333,-1.2897421,Mouse67151,,CLOCK,0.0,3,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
2,1.5897632,0.5281751,-0.10222642,0.49072382,Mouse67151,,CLOCK,0.0,4,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
3,3.818605,1.3188088,1.279212,0.33494148,Mouse67151,,CLOCK,0.0,5,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
4,2.236664,0.9304194,0.36164734,-0.77954924,Mouse67151,,CLOCK,0.0,6,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
5,3.3358874,0.9101561,1.1848594,-0.07602362,Mouse67151,,CLOCK,0.0,7,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
6,3.2452428,0.9695824,1.0988771,0.04220958,Mouse67151,,CLOCK,0.0,10,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
7,2.3140588,0.54631376,0.6203853,0.45277137,Mouse67151,,CLOCK,0.0,11,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
8,3.3501368,0.9595497,1.1724476,-0.100164436,Mouse67151,,CLOCK,0.0,12,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
9,3.5985231,1.2291796,1.1874404,0.4345469,Mouse67151,,CLOCK,0.0,13,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
10,3.2459974,0.9007162,1.1024928,0.9823286,Mouse67151,,CLOCK,0.0,14,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
11,2.6443305,1.0303787,0.6497863,-0.5152378,Mouse67151,,CLOCK,0.0,15,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
12,2.8548923,0.7351753,0.94054,0.30777016,Mouse67151,,CLOCK,0.0,16,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
13,3.9084716,1.1945089,1.4015042,-0.41773635,Mouse67151,,CLOCK,0.0,17,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
14,2.7108293,0.92972326,0.7739306,-1.8994541,Mouse67151,,CLOCK,0.0,18,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
15,3.3942323,1.4216545,0.9808739,-0.7262709,Mouse67151,,CLOCK,0.0,20,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
16,1.8683921,0.49907506,0.25957116,-0.039039943,Mouse67151,,CLOCK,0.0,21,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
17,3.2269757,1.022285,1.0571316,0.24580778,Mouse67151,,CLOCK,0.0,22,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
18,3.8386486,1.2655474,1.3270526,-0.19544376,Mouse67151,,CLOCK,0.0,23,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
19,3.2905114,1.2733778,0.99060893,-0.6248165,Mouse67151,,CLOCK,0.0,24,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
20,3.3213933,1.3216624,0.96130925,0.41077334,Mouse67151,,CLOCK,0.0,25,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
21,3.9664779,1.3872689,1.3571618,-1.2376863,Mouse67151,,CLOCK,0.0,26,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
22,3.8013234,1.6139472,1.139708,-0.75861305,Mouse67151,,CLOCK,0.0,27,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
23,3.4113822,1.1704577,1.1285306,-1.1591251,Mouse67151,,CLOCK,0.0,28,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
24,4.5010657,1.4883527,1.5710899,0.5382484,Mouse67151,,CLOCK,0.0,29,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
25,3.3532221,0.91894627,1.2003019,-0.55004805,Mouse67151,,CLOCK,0.0,30,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
26,2.0799863,0.6911128,0.35687754,-0.30564266,Mouse67151,,CLOCK,0.0,31,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
27,2.5193903,1.1255014,0.47241154,-0.08907292,Mouse67151,,CLOCK,0.0,32,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
28,4.254049,1.3101534,1.5262245,0.2347164,Mouse67151,,CLOCK,0.0,33,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
29,3.2029023,1.3171958,0.90779454,-0.73266536,Mouse67151,,CLOCK,0.0,34,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
30,3.5454867,1.3726405,1.0845357,0.34367105,Mouse67151,,CLOCK,0.0,35,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
31,3.0947316,0.9369236,1.0039496,0.47536528,Mouse67151,,CLOCK,0.0,36,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
32,3.010429,0.7789411,1.0439392,-0.4823887,Mouse67151,,CLOCK,0.0,37,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
33,3.931027,1.4092687,1.3109447,-0.07617744,Mouse67151,,CLOCK,0.0,38,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
34,2.7888103,0.95071584,0.79856324,-0.1555477,Mouse67151,,CLOCK,0.0,39,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
35,4.8743005,1.5421777,1.7275767,0.7680449,Mouse67151,,CLOCK,0.0,40,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
36,3.763761,1.2869525,1.2685974,0.05568101,Mouse67151,,CLOCK,0.0,41,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
37,3.1538656,1.0605289,0.9956826,0.02360682,Mouse67151,,CLOCK,0.0,42,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
38,3.1611822,1.0040314,1.0213186,0.29303047,Mouse67151,,CLOCK,0.0,43,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
39,4.119638,1.3212323,1.4689173,-0.98206127,Mouse67151,,CLOCK,0.0,44,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
40,3.9386497,1.1803576,1.4054717,0.49788386,Mouse67151,,CLOCK,0.0,45,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
41,3.0327473,0.841781,1.0128736,0.2843884,Mouse67151,,CLOCK,0.0,46,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
42,2.5580246,0.87272996,0.67207676,-0.54923123,Mouse67151,,CLOCK,0.0,47,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
43,2.9277225,0.9732123,0.8867751,-0.108874165,Mouse67151,,CLOCK,0.0,48,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
44,4.1487203,1.4516083,1.4150672,-0.1452408,Mouse67151,,CLOCK,0.0,49,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
45,3.0521834,1.1328766,0.9078761,-1.0754087,Mouse67151,,CLOCK,0.0,50,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
46,2.2906988,0.8924073,0.42561826,-0.2890277,Mouse67151,,CLOCK,0.0,51,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
47,1.9150842,0.7115922,0.18685316,-0.6641668,Mouse67151,,CLOCK,0.0,52,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
48,2.8939412,0.8183784,0.9090027,0.8808061,Mouse67151,,CLOCK,0.0,53,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
49,4.3825955,1.3249372,1.599473,-0.5400361,Mouse67151,,CLOCK,0.0,54,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
50,1.6570557,0.7678298,-0.16447937,-0.6690203,Mouse67151,,CLOCK,0.0,55,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
51,4.518721,1.8054798,1.4470279,-0.13315961,Mouse67151,,CLOCK,0.0,56,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
52,6.3600464,1.9929547,2.2182744,-1.0361587,Mouse67151,,CLOCK,0.0,57,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
53,3.6742108,1.3425404,1.1990461,-0.5180778,Mouse67151,,CLOCK,0.0,58,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
54,4.9248385,1.5996816,1.7307065,0.6559154,Mouse67151,,CLOCK,0.0,59,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
55,1.622707,0.58981085,-0.051138412,-0.95797664,Mouse67151,,CLOCK,0.0,60,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
56,3.0949328,0.94910014,1.0223908,-0.5393591,Mouse67151,,CLOCK,0.0,61,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
57,3.5737782,1.3156132,1.143821,-0.1507041,Mouse67151,,CLOCK,0.0,62,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
58,3.9107063,1.3580744,1.3382436,-1.134283,Mouse67151,,CLOCK,0.0,63,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
59,3.409859,1.0164133,1.1774669,0.17708373,Mouse67151,,CLOCK,0.0,64,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
60,2.927136,1.1970288,0.76315933,-0.11540637,Mouse67151,,CLOCK,0.0,65,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
61,1.3891646,0.34378323,-0.15920271,-1.0495086,Mouse67151,,CLOCK,0.0,66,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
62,3.7508903,1.3088237,1.2668531,-0.94061714,Mouse67151,,CLOCK,0.0,67,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
63,2.0078232,0.8488204,0.20032851,-1.4569981,Mouse67151,,CLOCK,0.0,68,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
64,4.791337,1.4486483,1.7296687,0.60944116,Mouse67151,,CLOCK,0.0,69,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
