,mouse,condition,composite avgScore,composite avgHCScore,composite avgTaskScore,net 1 avgScore,net 1 avgHCScore,net 1 avgTaskScore,net 2 avgScore,net 2 avgHCScore,net 2 avgTaskScore,net 3 avgScore,net 3 avgHCScore,net 3 avgTaskScore
0,Mouse0911,WT,3.732661,3.3395793,4.192368,0.09620834,0.090969,0.10233578,0.16446348,0.1441459,0.18822473,0.06652752,0.062386133,0.07137081
1,Mouse0912,CLOCK,2.2515857,2.4070735,2.1904888,0.04885231,0.06092664,0.044107955,0.10283097,0.10615021,0.10152667,0.08090017,0.0558543,0.09074136
2,Mouse0913,CLOCK,3.382048,2.7145674,3.5890093,0.06371009,0.04750466,0.06873484,0.16259077,0.13203858,0.17206386,0.06503351,0.06594907,0.06474963
3,Mouse0914,WT,4.2398195,3.481134,4.458719,0.10989899,0.0930634,0.11475631,0.18730631,0.15201557,0.19748867,0.05573217,0.04832149,0.057870295
4,Mouse2401,CLOCK,3.4078698,3.535969,3.318642,0.082423784,0.0842634,0.08114239,0.15310748,0.15980944,0.14843917,0.06593229,0.06363008,0.067535914
5,Mouse2402,WT,2.9657898,3.101455,2.9272344,0.06155214,0.06135689,0.0616077,0.13901761,0.14723016,0.1366836,0.062170815,0.063061364,0.06191766
6,Mouse2403,WT,3.4175322,3.1867445,3.482308,0.09089872,0.08069093,0.093763754,0.14911366,0.1413077,0.15130459,0.05659525,0.05569357,0.056848306
7,Mouse30391,WT,3.6209483,3.3914998,3.8536162,0.09665922,0.08885004,0.10457785,0.15887423,0.14932847,0.16855401,0.034824453,0.043397117,0.026131481
8,Mouse30392,WT,2.8341079,2.3447397,3.2826984,0.094047524,0.08016407,0.106774196,0.11291157,0.091823146,0.13224268,0.041882593,0.03944423,0.044117767
9,Mouse3881,CLOCK,2.0542202,1.9488983,2.081662,0.0597403,0.052419946,0.061647665,0.08456726,0.08264743,0.08506746,0.081610434,0.07938326,0.082190715
10,Mouse3882,CLOCK,3.3280303,3.3889575,3.3134584,0.100867,0.0998777,0.10110362,0.1373111,0.1415848,0.13628896,0.06994042,0.06905424,0.07015238
11,Mouse3883,CLOCK,3.4923987,3.20118,3.5720878,0.10448077,0.09729608,0.10644682,0.14520916,0.1318746,0.14885803,0.06618547,0.068242736,0.0656225
12,Mouse67151,CLOCK,3.6776426,3.2706351,3.8871217,0.13127875,0.12172891,0.13619377,0.14162886,0.12297773,0.15122832,0.041947573,0.038508948,0.04371739
13,Mouse67152,CLOCK,3.02896,2.7801774,3.1377027,0.108256996,0.100292094,0.11173845,0.11665972,0.106640466,0.12103916,0.032456167,0.027325843,0.03469862
14,Mouse67161,WT,3.7687283,3.5026658,3.8971307,0.1293299,0.12581292,0.13102712,0.14832911,0.13476475,0.15487535,0.03981367,0.032284107,0.04344746
15,Mouse67162,WT,3.1337967,3.2137554,3.094751,0.1146734,0.11768205,0.11320418,0.11907485,0.12232838,0.11748608,0.034835987,0.029641064,0.037372842
16,Mouse69841,CLOCK,2.2805922,2.1234646,2.4644637,0.076104976,0.07288882,0.07986852,0.09050084,0.08291493,0.099377945,0.036206122,0.037392765,0.03481753
17,Mouse69861,WT,2.5206032,2.0696464,2.902279,0.081603095,0.07141278,0.09022789,0.101926714,0.08090967,0.119714856,0.030190691,0.02920138,0.031028036
18,Mouse69862,WT,3.1498344,2.496423,3.6014311,0.09603519,0.07168583,0.11286394,0.13077538,0.10579219,0.14804222,0.03967473,0.04194505,0.03810562
19,Mouse69872,CLOCK,3.3113244,3.0120118,3.5308735,0.08725205,0.074340366,0.09672283,0.14561236,0.13508245,0.1533362,0.039855443,0.043621004,0.037093405
20,Mouse69873,CLOCK,2.7612107,1.8170551,3.6182144,0.09854234,0.07358543,0.12119555,0.105823494,0.06408509,0.14370914,0.043627266,0.038401507,0.04837068
