mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
1.0,Mouse0641,1.0,1.0,-4.419543021605069,-18.406746538937348,0.12255569429032258,0.17999229896774188
1.0,Mouse0641,2.0,1.0,-4.36987439005279,-17.538792098416767,0.12416472675,0.1839541102222222
1.0,Mouse0641,3.0,1.0,-4.501015113430739,-19.467521064196255,0.119989315675,0.175497733425
1.0,Mouse0641,4.0,1.0,-4.321954567903866,-18.664057141039958,0.12575018705555552,0.1788686538333333
1.0,Mouse0641,5.0,1.0,-4.457646649017199,-23.976570920624958,0.12134434066666665,0.15970464727777775
2.0,Mouse39115,1.0,1.0,-4.710471530568058,-17.8378734008995,0.11378075244186045,0.1825579522093023
2.0,Mouse39115,2.0,1.0,-4.967913537733234,-18.067895765697962,0.10684190860465113,0.1815066731627907
2.0,Mouse39115,3.0,1.0,-4.93696447554299,-19.44005697157086,0.10763892025581392,0.17560966237209294
2.0,Mouse39115,4.0,1.0,-5.066300547132589,-24.3650636432365,0.10437138351162792,0.158544324
2.0,Mouse39115,5.0,1.0,-5.4035768331949345,-26.03564872828324,0.09657420651162792,0.15384190899999997
3.0,Mouse39121,1.0,1.0,-3.6632803710249573,-22.130359805055964,0.151411854547619,0.1656113417142857
3.0,Mouse39121,2.0,1.0,-3.6620173944287346,-20.400736779951995,0.15146911647727274,0.17182355613636363
3.0,Mouse39121,3.0,1.0,-3.6353326285643934,-20.066168298509776,0.1526873208536585,0.17311267000000005
3.0,Mouse39121,4.0,1.0,-3.6794742687277755,-20.791530001606358,0.1506807740476191,0.17035555797619054
3.0,Mouse39121,5.0,1.0,-3.6892200231731125,-17.94645751933024,0.15024358178571426,0.18205929297619047
4.0,Mouse39122,1.0,1.0,-6.612177554307015,-8.737615247253995,0.07518849869230766,0.2508946313076923
4.0,Mouse39122,2.0,1.0,-6.796759734561136,-9.26801996488644,0.07260709527692309,0.2444760216153846
4.0,Mouse39122,3.0,1.0,-6.658774544703399,-8.84415275637241,0.0745227964923077,0.24956257692307696
4.0,Mouse39122,4.0,1.0,-6.6984588508485805,-9.126459826277785,0.07396343275384615,0.2461381736923077
4.0,Mouse39122,5.0,1.0,-6.769625954888174,-8.854847805942347,0.072977384234375,0.24943008687500004
5.0,Mouse39132,1.0,1.0,-5.736033078348263,-12.614468317982054,0.08978080860714287,0.21324700732142857
5.0,Mouse39132,2.0,1.0,-5.999796398794978,-12.470371591726144,0.08492997218518517,0.21434228444444445
5.0,Mouse39132,3.0,1.0,-6.138444797787938,-14.197067656799133,0.08254979772413794,0.20227562310344827
5.0,Mouse39132,4.0,1.0,-5.914621985109218,-12.454894725685397,0.08644849414814813,0.21446098518518522
5.0,Mouse39132,5.0,1.0,-6.297122435769896,-12.362590219871207,0.07995717703448275,0.21517326413793098
6.0,Mouse39135,1.0,1.0,-6.843046484467752,-12.255099113616973,0.07198249452083333,0.2160122399444445
6.0,Mouse39135,2.0,1.0,-6.806748446864154,-12.315511358276582,0.07247155624999999,0.21553944765714286
6.0,Mouse39135,3.0,1.0,-6.85715671705711,-11.592495393916137,0.07179383856338029,0.22142296008450701
6.0,Mouse39135,4.0,1.0,-6.780685697314156,-11.247611716333967,0.0728260814178082,0.22441461323287676
6.0,Mouse39135,5.0,1.0,-6.857630524097175,-11.991731651291076,0.07178751775694446,0.21811239636111118
7.0,Mouse6674,1.0,1.0,-5.808371500494422,-17.661027094070963,0.08840608042608696,0.18337942815652186
