Unnamed: 0,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
71,4.6208076,0.08126504,0.22821957,0.027081463,Mouse0911,1.0,WT,1.0,240,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
73,5.907523,0.14449261,0.26532155,0.0945359,Mouse0911,1.0,WT,1.0,282,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
74,3.388041,0.09353943,0.14536394,0.066499926,Mouse0911,1.0,WT,1.0,294,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
76,4.0112844,0.0856108,0.18611075,0.096221596,Mouse0911,1.0,WT,1.0,320,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
77,6.546325,0.11324043,0.3217469,0.100186124,Mouse0911,1.0,WT,1.0,324,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
78,5.8051295,0.12022071,0.2766336,0.020899244,Mouse0911,1.0,WT,1.0,334,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
79,2.7610438,0.06490029,0.123474486,0.09205699,Mouse0911,1.0,WT,1.0,347,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
80,2.8906717,0.070883706,0.12765539,0.09387016,Mouse0911,1.0,WT,1.0,348,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
81,4.24647,0.115141846,0.18497425,0.047691043,Mouse0911,1.0,WT,1.0,359,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
82,5.6364865,0.124674514,0.2617014,0.071639,Mouse0911,1.0,WT,1.0,361,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
83,3.5457478,0.103908464,0.14799723,0.0834182,Mouse0911,1.0,WT,1.0,367,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
84,3.7838674,0.091018595,0.17113142,0.053891994,Mouse0911,1.0,WT,1.0,376,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
85,4.4985533,0.12826939,0.19311202,0.030852377,Mouse0911,1.0,WT,1.0,378,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
86,5.5845447,0.13149579,0.2537328,0.091145955,Mouse0911,1.0,WT,1.0,390,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
87,3.6518898,0.09571222,0.15885042,0.09096338,Mouse0911,1.0,WT,1.0,409,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
88,4.4996424,0.13169104,0.1903738,0.04914203,Mouse0911,1.0,WT,1.0,413,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
89,5.165262,0.12424485,0.23537084,0.03295166,Mouse0911,1.0,WT,1.0,414,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
90,4.2230744,0.10232544,0.18894605,0.09733068,Mouse0911,1.0,WT,1.0,415,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
91,2.6937966,0.06255621,0.123481765,0.030672029,Mouse0911,1.0,WT,1.0,437,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
92,4.0209675,0.09988724,0.17936158,0.07187299,Mouse0911,1.0,WT,1.0,441,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
93,3.4407334,0.078662425,0.15663214,0.0810476,Mouse0911,1.0,WT,1.0,464,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
94,4.5091457,0.1027479,0.20783952,0.051591575,Mouse0911,1.0,WT,1.0,465,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
95,3.6475654,0.09043818,0.16249669,0.072352804,Mouse0911,1.0,WT,1.0,467,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
96,2.6379642,0.053645432,0.1230501,0.08408578,Mouse0911,1.0,WT,1.0,473,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
97,2.3754027,0.06659583,0.1016043,0.040095076,Mouse0911,1.0,WT,1.0,486,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
98,2.5572872,0.08216866,0.10188777,0.0741376,Mouse0911,1.0,WT,1.0,490,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
99,3.1174607,0.068285905,0.14405558,0.0645415,Mouse0911,1.0,WT,1.0,492,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
100,4.614468,0.10110294,0.21318601,0.09622267,Mouse0911,1.0,WT,1.0,493,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
101,5.1810694,0.14777108,0.22067015,0.07509811,Mouse0911,1.0,WT,1.0,501,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
102,2.8587666,0.08295674,0.11845501,0.098360404,Mouse0911,1.0,WT,1.0,535,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
103,3.1002455,0.0890904,0.13092786,0.061638944,Mouse0911,1.0,WT,1.0,542,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
104,4.346871,0.09597361,0.20020467,0.094963774,Mouse0911,1.0,WT,1.0,551,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
105,3.3426814,0.07987537,0.15032943,0.07435315,Mouse0911,1.0,WT,1.0,559,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
106,4.6744967,0.105376534,0.21414234,0.099298485,Mouse0911,1.0,WT,1.0,565,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
107,4.7815113,0.10479321,0.22283609,0.054749742,Mouse0911,1.0,WT,1.0,567,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
108,4.706162,0.1166502,0.2119636,0.04065227,Mouse0911,1.0,WT,1.0,568,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
109,3.6942997,0.086315446,0.16713911,0.08577237,Mouse0911,1.0,WT,1.0,582,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
110,4.341917,0.10094237,0.19862252,0.057309408,Mouse0911,1.0,WT,1.0,592,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
111,3.7365084,0.10066782,0.161734,0.07437718,Mouse0911,1.0,WT,1.0,601,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
112,4.299016,0.10982464,0.19165045,0.03844356,Mouse0911,1.0,WT,1.0,603,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
113,4.44972,0.12949143,0.18869066,0.048707888,Mouse0911,1.0,WT,1.0,605,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
114,3.5924468,0.10440917,0.15071772,0.07848962,Mouse0911,1.0,WT,1.0,608,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
115,6.2006946,0.13165604,0.28990814,0.106910646,Mouse0911,1.0,WT,1.0,623,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
116,2.7593455,0.06994198,0.12067813,0.08590029,Mouse0911,1.0,WT,1.0,639,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
117,3.6374147,0.10066937,0.15693006,0.048101213,Mouse0911,1.0,WT,1.0,643,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
118,6.4899707,0.14547664,0.3019958,0.04106333,Mouse0911,1.0,WT,1.0,644,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
119,4.559595,0.09113804,0.21735503,0.059200443,Mouse0911,1.0,WT,1.0,646,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
120,5.736943,0.13905996,0.25808018,0.0991948,Mouse0911,1.0,WT,1.0,673,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
121,1.7043791,0.041372452,0.07433893,0.082451634,Mouse0911,1.0,WT,1.0,677,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
122,4.594653,0.11510015,0.20290174,0.11635461,Mouse0911,1.0,WT,1.0,683,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
123,4.515254,0.090182304,0.21478854,0.070000194,Mouse0911,1.0,WT,1.0,684,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
124,3.465964,0.07904098,0.15741351,0.09278919,Mouse0911,1.0,WT,1.0,747,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
125,5.4622993,0.15123849,0.23712642,0.037614413,Mouse0911,1.0,WT,1.0,758,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
126,3.464449,0.089867994,0.15156904,0.07881108,Mouse0911,1.0,WT,1.0,775,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
127,4.9533095,0.111737914,0.22870809,0.0628641,Mouse0911,1.0,WT,1.0,795,22021,0.7022844509948415,0.6190125276344879,0.7165315647261116,0.6195038074183248
328,3.6552927,0.08372366,0.16628711,0.08658088,Mouse0912,3.0,CLOCK,1.0,206,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
329,2.609034,0.067287475,0.11285026,0.09448056,Mouse0912,3.0,CLOCK,1.0,207,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
330,2.4109461,0.05608396,0.10826797,0.077962145,Mouse0912,3.0,CLOCK,1.0,208,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
332,0.5680084,0.0114885215,0.024245769,0.07079502,Mouse0912,1.0,CLOCK,1.0,211,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
333,2.3528674,0.053326294,0.10655047,0.074601494,Mouse0912,1.0,CLOCK,1.0,212,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
334,4.861991,0.11475237,0.22103935,0.072569065,Mouse0912,1.0,CLOCK,1.0,213,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
335,3.503204,0.06839676,0.16756395,0.054433,Mouse0912,1.0,CLOCK,1.0,214,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
336,3.5335,0.071414,0.16627716,0.085117236,Mouse0912,1.0,CLOCK,1.0,216,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
337,1.227082,0.04994697,0.042450387,0.041561432,Mouse0912,1.0,CLOCK,1.0,217,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
344,2.5679677,0.06422167,0.11376722,0.058089726,Mouse0912,3.0,CLOCK,1.0,224,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
345,0.77467996,0.03007748,0.026042262,0.06339445,Mouse0912,3.0,CLOCK,1.0,225,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
346,2.9380999,0.06702694,0.13472359,0.04874037,Mouse0912,3.0,CLOCK,1.0,226,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
347,2.3580663,0.04682606,0.11240193,0.03493137,Mouse0912,3.0,CLOCK,1.0,227,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
348,1.9939113,0.029309269,0.09993861,0.055975467,Mouse0912,3.0,CLOCK,1.0,228,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
364,3.2519448,0.08017422,0.14461415,0.07660763,Mouse0912,3.0,CLOCK,1.0,245,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
365,4.609104,0.09166355,0.21993627,0.06103035,Mouse0912,3.0,CLOCK,1.0,246,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
366,1.1265403,0.030738391,0.047650035,0.04280735,Mouse0912,3.0,CLOCK,1.0,247,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
367,2.9905903,0.053247683,0.14462928,0.07954916,Mouse0912,3.0,CLOCK,1.0,248,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
368,2.4640787,0.04359071,0.12110678,0.024647098,Mouse0912,3.0,CLOCK,1.0,249,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
369,2.9888113,0.058835484,0.14217405,0.058025215,Mouse0912,3.0,CLOCK,1.0,250,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
370,3.3334677,0.05989534,0.1602537,0.103392914,Mouse0912,3.0,CLOCK,1.0,251,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
377,1.1268977,0.036974307,0.043784473,0.047966298,Mouse0912,1.0,CLOCK,1.0,258,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
378,2.8277874,0.053529233,0.13529381,0.06585901,Mouse0912,1.0,CLOCK,1.0,259,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
379,2.7702544,0.06660607,0.12649974,0.011970485,Mouse0912,1.0,CLOCK,1.0,260,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
380,3.1882384,0.07089982,0.14584759,0.08568476,Mouse0912,1.0,CLOCK,1.0,261,22021,0.4124361493123772,0.3169253438113948,0.4449115913555992,0.7597347740667977
