mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
1.0,Mouse0641,7.0,1.0,-4.522441580017638,-73.17360693193714,0.1206165901212121,0.15552524966666662
1.0,Mouse0641,8.0,1.0,-4.499913254175345,-62.34420081073022,0.1213127235,0.16438127017857138
1.0,Mouse0641,9.0,1.0,-4.774295483364513,-71.2097382764696,0.11326119513333331,0.1569956463333333
1.0,Mouse0641,10.0,1.0,-4.523243019522697,-58.339248955902434,0.12059194653846153,0.1681964028846154
1.0,Mouse0641,11.0,1.0,-4.693163197908783,-53.50097607036822,0.11554820859090911,0.17330201954545457
2.0,Mouse39115,7.0,1.0,-5.178875829748252,-58.680891388787096,0.10289285620930234,0.16785742481395344
2.0,Mouse39115,8.0,1.0,-5.438520849094243,-63.50741743400569,0.0970348101627907,0.1633342860465116
2.0,Mouse39115,9.0,1.0,-5.20641567345927,-51.644045822754116,0.10224423530232563,0.1754286752558139
2.0,Mouse39115,10.0,1.0,-4.869085645084623,-40.11282408512072,0.11068214111627907,0.19140371776744186
2.0,Mouse39115,11.0,1.0,-4.821412428883552,-45.60673493622283,0.11196701220930232,0.18311839360465118
3.0,Mouse39121,7.0,1.0,-3.7058425152643286,-46.15441510514023,0.1508420189,0.18236592822500003
3.0,Mouse39121,8.0,1.0,-3.708822679861456,-46.72100061878811,0.15070967804878047,0.1815999536585366
3.0,Mouse39121,9.0,1.0,-3.8323942356730716,-56.17521103325337,0.14538593509756098,0.17040713092682927
3.0,Mouse39121,10.0,1.0,-3.7456619094409285,-49.37488732581382,0.14908940575000001,0.17817076365
3.0,Mouse39121,11.0,1.0,-3.735178529952096,-48.85993898558628,0.14954755893023253,0.17881658860465116
4.0,Mouse39122,7.0,1.0,-6.608489021578268,-15.692580133274845,0.07635714340000001,0.26400082938461544
4.0,Mouse39122,8.0,1.0,-6.724224269874911,-17.26125371356849,0.07470997956923073,0.255576968
4.0,Mouse39122,9.0,1.0,-6.604516482949601,-18.483818204937375,0.07641474027692308,0.24968347876923075
4.0,Mouse39122,10.0,1.0,-7.125619761758194,-19.36589477846166,0.0694269202923077,0.24574246215384615
4.0,Mouse39122,11.0,1.0,-7.31033550694632,-20.301398378440474,0.0671990074,0.24181434276923072
5.0,Mouse39132,7.0,1.0,-6.316255763001299,-31.79868619105518,0.08079333741935486,0.20733420322580642
5.0,Mouse39132,8.0,1.0,-6.109619086632115,-24.730104744101524,0.08419264132258064,0.2260228325806451
5.0,Mouse39132,9.0,1.0,-6.260623919302617,-24.54066261835314,0.08168599651724137,0.22661929413793103
5.0,Mouse39132,10.0,1.0,-6.341453342333225,-25.861956377621865,0.08039429182758621,0.22258148275862072
5.0,Mouse39132,11.0,1.0,-6.519577867675379,-24.474857948176318,0.07766356848275861,0.2268279146551724
6.0,Mouse39135,7.0,1.0,-6.725815058666929,-23.383540679392066,0.07468774764084507,0.23040023419718317
6.0,Mouse39135,8.0,1.0,-6.748424792948022,-23.848294714334013,0.07437294086805556,0.2288523814444445
6.0,Mouse39135,9.0,1.0,-6.962599615296336,-26.3248231269002,0.07149605752083334,0.2212313352222223
6.0,Mouse39135,10.0,1.0,-6.877222736893256,-26.69245564830469,0.07262055182876712,0.22018127846575344
6.0,Mouse39135,11.0,1.0,-6.957309347289875,-25.217425104808818,0.07156490022916667,0.22451600051388892
7.0,Mouse6674,7.0,1.0,-5.887383193225599,-37.457745384473,0.08811932691891891,0.19597258188288294
7.0,Mouse6674,8.0,1.0,-5.919469806810856,-37.094162675442554,0.08753396303636365,0.1966318996272728
7.0,Mouse6674,9.0,1.0,-5.994820041622028,-37.860381448850845,0.08618421807476635,0.19525234369158878
7.0,Mouse6674,10.0,1.0,-5.835683105942208,-36.830090029523774,0.0890761614090909,0.1971161997272728
7.0,Mouse6674,11.0,1.0,-5.788816309822441,-38.58146212878415,0.0899584158859649,0.1939876871052632
8.0,Mouse69061,7.0,1.0,-5.232027013786894,-73.14933153131574,0.10164705230645159,0.15554310114516126
8.0,Mouse69061,8.0,1.0,-5.121350377259537,-64.42411107544463,0.10426975795312501,0.1625271340625
