second_flx_auc,minute_flx_auc,minute_flx_mouse,second_epm_auc,minute_epm_auc,minute_epm_mouse,second_oft_auc,minute_oft_auc,minute_oft_mouse
0.4102502200646685,0.15053763440860216,Mouse69061,0.7422324510932107,1.0,Mouse0641,0.903977143722092,1.0,Mouse04203
0.6067541168223762,0.9373040752351097,Mouse78732,0.891685935457927,1.0,Mouse39115,0.8642398389570553,1.0,Mouse39115
0.6708565853658537,0.9895635673624289,Mouse78743,0.906627367939106,1.0,Mouse39121,0.9121263527347176,1.0,Mouse39121
0.6314347244280166,0.9770833333333333,Mouse78745,0.7198150541108062,1.0,Mouse39122,0.7343512031678343,1.0,Mouse39122
0.5610492452363276,0.8404533565823888,Mouse78751,0.6635451110061408,1.0,Mouse39132,0.9265035101827904,1.0,Mouse39132
0.6340186801104197,0.9893162393162394,Mouse78764,0.871639430680021,1.0,Mouse39135,0.8670534203529128,1.0,Mouse39135
,,,0.6546029776674938,1.0,Mouse6674,0.6935489654677808,1.0,Mouse69061
,,,0.7085181384141715,1.0,Mouse69061,0.8263132216620588,1.0,Mouse69071
,,,0.7389144033573523,1.0,Mouse69071,0.8662951995012468,1.0,Mouse69075
,,,0.7610080628315996,1.0,Mouse69075,,,
,,,0.6597929274098717,1.0,Mouse8893,,,
