,mouse,geno,HC_mean_scores,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,Mouse0911,WT,0.14414587824637679,,,0.22821957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26532155,,,,,,,,,,,,0.14536394,,,,,,,,,,,,,,,,,,,,,,,,,,0.18611075,,,,0.3217469,,,,,,,,,,0.2766336,,,,,,,,,,,,,0.123474486,0.12765539,,,,,,,,,,,0.18497425,,0.2617014,,,,,,0.14799723,,,,,,,,,0.17113142,,0.19311202,,,,,,,,,,,,0.2537328,,,,,,,,,,,,,,,,,,,0.15885042,,,,0.1903738,0.23537084,0.18894605,,,,,,,,,,,,,,,,,,,,,,0.123481765,,,,0.17936158,,,,,,,,,,,,,,,,,,,,,,,0.15663214,0.20783952,,0.16249669,,,,,,0.1230501,,,,,,,,,,,,,0.1016043,,,,0.10188777,,0.14405558,0.21318601,,,,,,,,0.22067015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11845501,,
1,Mouse0912,CLOCK,0.10615020032,0.16628711,0.11285026,0.10826797,,,0.024245769,0.10655047,0.22103935,0.16756395,,0.16627716,0.042450387,,,,,,,0.11376722,0.026042262,0.13472359,0.11240193,0.09993861,,,,,,,,,,,,,,,,,0.14461415,0.21993627,0.047650035,0.14462928,0.12110678,0.14217405,0.1602537,,,,,,,0.043784473,0.13529381,0.12649974,0.14584759,0.24776098,0.10789998,0.14641833,,0.17313017,,,0.16427247,0.102829576,0.07860281,0.064190924,0.07685377,0.17530924,,,,,,,0.0747709,0.013299444,0.085524105,0.2126751,0.074899636,0.065549575,0.13176763,,0.1477687,,,0.12392489,,,,,0.14618121,0.11501597,0.045582544,0.029761197,0.07201166,0.025870858,,0.14696123,0.095643215,0.1056319,0.030389994,0.01952337,0.06114032,0.09859035,0.03043656,0.053921722,,0.096160375,,0.08622661,0.03916975,0.08607719,0.036575608,0.08669557,0.20592575,,0.09078833,0.12813993,0.12556693,,,0.10036622,0.25793928,0.1637895,0.09399182,0.10828453,0.040711608,0.17199847,0.0825086,0.088262014,0.11569867,0.09623013,0.15900712,0.15025625,0.13457784,0.064852916,0.07845575,,,,,0.098489895,0.10534554,0.17349675,0.075207874,0.103484035,0.20275556,0.2220056,0.11622055,0.1763827,0.1570736,0.15734713,0.1629418,0.11681774,0.104797155,0.12382341,0.116940774,0.1115637,,,,0.10393207,0.117313124,0.08362647,0.1810975,0.16236496,0.035271127,0.019491168,0.14445913,0.13274989,0.12343599,0.09567192,0.06293348,0.0055128834,0.11322802,0.1571795,0.070706956,0.11331938,0.048716795,,0.14692198,0.11694543,0.10017124,0.13272764,0.16610473,0.1240343,0.1590923,0.15517054,0.12108054,0.20785776,0.15028279,,,0.205904,0.15551591,0.24833274,0.07072395,0.1667621,0.034945652,0.0833813,,,,,,,0.016995568,0.008044774,0.020147176,0.11700705,0.15613556,0.26089472,,0.1806136,,,0.30961472,0.17272061,0.0637895,0.25581133,0.12006476,0.25456372,0.25558174,0.15893045,0.20156008,0.20879911,,,,,,,0.06488765,0.14513339,0.07489195,0.10233544,,,0.057005472,,0.14125347,,0.1162895,0.069117814,0.19921045,0.02083052,0.076795675,0.06734731,0.06547199,0.049091402,0.115247115,,,,,,,,,,0.05376811,0.06555833,0.06273367,0.03238332,0.046007823,0.037431527,0.17403013,0.079367995,0.17467467,0.1833606,0.0035316655,0.019094149,0.01930829,0.08841332,0.03162455,0.14420146,,,,,0.06662541,0.027124742,0.059308834,0.0662058,0.110590704,0.04717199,0.049978867,0.06666044,0.06595813,0.042396218,0.06521107,0.13256852,0.16199996,0.071887374,0.2217397,0.057379343,0.062042788,0.09263686,
2,Mouse0913,CLOCK,0.13203853820732983,0.09096366,0.17502181,0.16473128,0.12586863,,0.08639031,,,0.1180027,,,,,,,,,,,,,0.1498341,,,,,0.254826,0.14557561,0.20717615,0.2481495,0.1315405,,0.17135428,0.17040665,0.109802745,,,,,,0.075592436,0.20023847,0.18932813,0.21411617,0.08203244,0.16986479,0.07093961,0.16613394,0.24520762,,,,,,,,,,,,,,,,,,,,,,,0.11226375,0.12496002,0.22046721,0.10070404,0.13763985,0.08874368,0.13556382,0.18746902,,,,0.20543788,,,0.2454343,0.25028434,0.16848801,,0.18782042,0.16980238,,,,,,,,,,,0.19352593,0.13801105,0.2746647,,0.16339007,0.102293886,0.10964597,0.14278473,0.09729045,0.12642522,,,,,,,,,,,,,,,,,,,,,,0.113780625,0.18645985,0.105831,0.19134057,0.06981309,0.13351531,,,,,,,0.086997665,0.15250206,0.13022693,0.0711905,0.15395544,0.11240348,0.1465357,0.20013355,0.122319885,0.16208425,0.17271169,0.22698526,0.2133432,0.13389824,0.1559953,0.191895,0.20029253,,,,,,,0.1564924,0.23963638,0.14437434,0.15884325,0.2282594,0.21276948,0.1501812,0.10586577,,,,,,,0.12590326,0.24528724,0.2097071,0.12191902,0.16270505,0.093889534,0.28982636,0.31704226,0.18482581,0.037431527,,,,,0.13213167,0.10123813,0.12845305,0.015591825,0.13601327,0.089649364,0.05504969,,,,,,,,,,,0.24340835,,,0.20452043,0.09136394,0.076889195,0.20393237,0.2270918,0.201628,0.13121316,0.08681893,0.11988308,0.15939881,0.08206844,,0.048401415,0.13037015,0.098819576,0.1984306,,,,,,,,,,,,,,,0.18192726,0.080538176,0.23446448,0.24336533,0.07768581,0.21018423,0.04247687,0.12354892,0.09451889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mouse0914,WT,0.15201557577272728,0.1681697,0.15919766,0.24784891,0.17760822,0.35037434,0.18729755,,,0.1360893,0.17872034,0.092005,0.18958476,0.28842217,0.18124856,0.101962164,0.27224457,,0.16712497,,,,,,,,,,,,,,,,,,,,,,,,,0.24055119,0.21805184,0.18282995,0.14641076,0.2833344,0.25266144,0.1714769,0.26304162,0.22336316,0.26210314,,,0.19051082,,0.2464192,,0.21046123,0.19420323,,0.23287103,0.16334371,0.18182354,0.17850053,0.2888364,0.30357137,0.21830541,0.22487445,,,,0.14330524,,0.20164202,0.20850624,0.17844355,0.19746959,0.21104337,0.27222303,0.21249981,0.12834251,,0.26495498,0.11299324,0.14951485,0.18520436,0.20097676,,0.071775466,0.2656003,0.28323126,0.16661549,0.23622039,,0.19647837,,0.26261526,0.18776922,0.37183246,0.29976103,0.28511015,0.20824784,0.19440724,0.19304968,0.20392719,0.29312834,0.14532699,0.1619199,0.27765897,0.14658174,0.28235072,,0.17919788,,,,,,,,0.17041121,0.20416868,,0.33728012,0.15947324,0.16466951,0.12972292,0.14309347,,0.21440351,,0.1959344,,0.15259734,0.17582853,0.26328805,0.22381355,,0.13697387,0.17226906,0.22394389,0.20450677,0.12892304,0.19308338,0.1452014,0.22302337,0.20175005,0.1432472,0.14968614,0.39406428,,0.16556203,,0.19293943,,0.16661465,,0.13131753,0.24676245,0.10106351,0.20043294,0.17351025,0.14189492,0.20654175,,0.2133631,0.21553567,0.17812859,,0.11216507,0.09964819,0.153735,0.17618169,0.16341142,0.15614511,0.08293708,0.16005278,0.15382095,0.2058387,,0.19235873,0.11971087,0.21048932,0.16300781,0.14563634,0.15643357,,0.18138367,0.17081176,0.23312597,0.3712359,0.1892904,0.14840798,0.2951039,0.18864,0.16785681,,,0.25462943,0.27398863,0.24726693,0.22848867,0.28536397,,0.21846402,0.16937757,0.15286742,0.27036017,0.24818556,0.15116532,0.14352962,0.16210729,0.1718888,0.19770382,0.22257228,0.12981477,0.10835513,0.25784662,0.08097637,0.118621044,,0.21545297,,0.22366507,0.1802294,0.24471082,0.0953239,0.19184685,0.23681541,0.15887037,,,0.13794178,0.22604418,0.16863614,0.12710176,0.22765991,,0.17367831,0.0751482,0.21149935,0.23701814,0.21153848,0.20873626,0.22457306,0.09854466,,0.31871822,0.17144527,0.1779567,0.21590297,0.13625167,0.14437611,,0.15324697,0.21589069,0.15486385,0.13463938,0.18963751,,,,0.24440514,,0.28229392,0.22314174,0.16044977,0.28331393,0.13943323,,0.21224006,,,0.18558794,0.16382144,0.24336122,0.15598959,0.20670128,0.20321038,0.12845443,0.14216825,0.13877311,0.27165687,0.20791265,0.23474197,0.27578223,0.13905875,0.17434575,0.21050423,0.2514977,0.17269193,,0.28472203,0.16882634,0.18330862,0.16153626,0.22361308,0.104175076,0.20074765
4,Mouse2401,CLOCK,0.15980946248184816,,,,,,,,,,,,0.0929131,,,,,,,,,,,,,,,,,,,,,,,,0.11746386,,,,,,,,,,,0.12564942,,,,,,0.11489505,,,,,,,,,,,,,,,,0.1331669,,,,,,,,,,,,,,,,,,,0.070166476,0.13154662,,,,,,,,0.15034612,,,,,,,,,,,,0.11562503,,,,,,,,,,,,,,,0.23462555,,,,,,,,,0.09789524,0.13592075,0.095455475,,,,,,,,,,,0.19816278,,,,,,0.2334791,,,0.26362085,,0.12650141,0.09331559,,,,,,,,0.040026277,0.22208208,,,,,,,,,,,,,0.152716,0.17754889,,,,,,,0.19681747,,,,,,,,,,0.11230996,,,,,,,,0.05008915,,,,0.11384605,,,,,,,,,,,,,,,,0.08394023,,,,,,,,,,0.14936142,,,,,0.11402768,0.24277556,0.120421365,,,,,,,0.1345062,,,,,,,,,,,,,,,,,0.14386086,0.12488658,,,,0.1481605,0.11754717,,,,,,,,,,0.21361896,0.12824064,0.038883638,0.17689788,,,,0.17635392,0.13146016,0.105956435,,,,,,,0.10710275,0.20743473
5,Mouse2402,WT,0.14723017427513227,0.03158805,,0.16809458,,0.0124478,0.014746121,0.009155602,,,,,,0.051330242,0.032198362,,,,,0.026643347,0.14303851,0.09123063,,0.026930436,0.03356709,0.042437527,0.03530904,0.061601598,,,,,,,,,,,0.05297135,0.09077409,0.051625516,,0.083304755,,0.032371454,0.10931975,,,,,0.065377384,,0.08989542,0.21600726,0.10417525,0.10462974,0.13296555,0.07905299,0.018767506,0.15148576,0.21751781,0.06824322,0.15030974,,,,,,,,,0.06420272,0.15467954,0.06221464,0.05954856,0.1662374,0.09338038,0.14299375,0.044155236,0.040491633,0.16025037,,,,,,,,,0.22706048,0.080253385,0.22506022,0.08668184,0.19801685,0.07287249,0.101275995,0.14090917,0.030314548,0.046569347,0.12763306,0.17057687,0.093351305,0.16369258,0.25730348,0.044762906,0.086022586,0.12448378,0.0961569,,0.07989685,,0.11408334,0.22969854,,0.20977889,0.16224724,0.033844784,,0.09284013,0.11087809,0.14408873,0.12229485,0.06826996,0.044294372,0.19583884,0.13147323,0.12594903,0.04228291,0.13874571,0.072792806,0.021126878,0.07345179,,0.10648528,0.118253574,0.057107415,0.11989044,0.062056556,,,,,,,,,,0.05781061,0.15323862,0.087155394,0.07663632,0.1364725,0.06250073,0.07265043,0.11704486,0.07283842,0.117871396,0.13656434,0.07909141,0.29432857,0.10568863,0.09443618,0.1306465,,,,,,,,0.18215555,0.25520298,0.12368389,0.07172799,0.1483465,0.06396912,,0.02815777,0.14362948,,0.15264505,0.093084365,0.15626769,0.17629153,,,,,,,0.15645422,0.0960022,0.14576627,0.11661821,0.122025624,0.06547637,0.16581902,,,0.09210057,0.08543757,0.15359403,,0.153095,,,,,0.15454252,0.13251296,0.17075694,0.10291722,0.11476521,0.10751638,0.15976945,0.21035941,0.15184167,0.058125567,0.08256301,0.08552375,0.12884112,0.1204613,0.16221985,0.12129483,0.061861437,0.1058412,0.050560564,0.122743525,0.11899875,0.082185015,,,,0.07564795,,,,0.11710776,0.21243088,0.23600756,0.118227445,0.21643126,0.15388148,0.13319217,0.090136476,,,0.07090021,0.08894035,0.1564907,,0.17549397,,,,0.061280023,0.15103474,0.15019691,0.20706147,0.06523693,0.13055171,,,,,,0.055487104,0.15434179,,0.23060709,0.14871052,0.1584528,,0.18067025,,0.1736483,,,,,,0.14081253,0.124830924,0.06640547,0.057723675,0.20510317,0.15721409,0.10938134,,,0.03684353,,,,,,,,0.14942013,0.17639521,0.21718898
6,Mouse2403,WT,0.1413076763053892,0.23725298,0.0724138,,0.014086865,,,,,,,,,,,,,,0.124859855,0.13110436,,,,,,0.10099655,,,,,,,,,,,,,,,,,,,,,,,,,0.18974027,0.18225645,0.22066543,0.18276528,0.23754145,0.15549609,0.07321478,,,,,,,,0.15424873,0.17506622,0.07965769,0.18739012,,,,,,,,,,,,0.10223629,0.20709388,0.19159618,,0.21531172,0.13650598,,,,,,,,,,0.24579754,,,0.09105912,,,,0.1396085,0.1714925,,,,,,,,,0.14329152,0.20845638,0.1457141,0.17750876,0.16824962,0.11532258,0.14036714,,0.15453334,,0.13652664,0.14667358,0.14704388,0.08672037,,,,,0.17635056,0.19452693,0.14578222,0.12508535,,,,,,,,0.113036245,0.17816968,0.17648987,0.12589645,0.14834653,0.13623062,0.22215633,,0.12734093,0.16837291,,,,,,0.22802642,0.12518254,,,,0.10718647,,,,,,,,,,,0.11848031,0.26009217,,,,,,,0.17843409,,,,,,0.041147422,0.20838289,0.12572795,0.07484236,0.14878908,0.10838367,0.20277292,0.17948812,,,0.091385916,0.07057056,0.06593394,0.15488893,0.18890649,0.092256725,0.13040844,,,,,,,,0.22584797,0.15492353,0.15020342,,,0.24813095,,,,,,,,0.16753137,,,,,,0.34374216,0.13353078,0.10831804,0.13637486,0.14586747,0.19174512,0.09436261,0.046378106,0.12888211,0.03911999,0.21779029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mouse30391,WT,0.1493284688131488,0.17310219,,0.17633778,0.16868845,0.12674165,0.12197655,0.1869097,0.106575064,0.147529,0.14367451,0.14324667,0.2437581,,,,,,0.14027618,,0.2806745,0.12895614,0.20336302,0.14773194,0.19676654,0.1659917,0.16074803,0.2090072,0.15913238,0.15563855,0.1416119,0.14412186,0.15124047,0.10682901,,,0.1999773,0.22174996,0.19941068,0.16857935,0.15558524,0.15234576,0.13686223,0.14405638,0.16907656,0.1485145,0.15500747,0.117277555,0.20447001,0.21938244,,,,,,,,0.13187411,0.157343,0.2075362,0.15476102,0.18800938,0.08683789,0.14432734,0.095279776,0.19024822,0.15186231,0.16281863,0.11167386,0.17829248,0.14001551,,,,,,,,0.22615777,0.158594,0.19983463,0.20962882,0.25548714,0.24341659,0.16195406,0.23074624,0.20834225,0.21499017,,,0.23428512,0.2028275,0.123331375,0.22061461,0.1156943,0.085458815,0.1907876,0.12169602,0.10532264,0.19387051,0.17182976,,,,0.17820281,,,,,0.09439135,0.1865763,0.18497218,0.15507138,0.13159268,0.18340409,0.20580702,0.19363344,0.11240333,0.25744197,0.13910669,0.121485226,,,0.08565902,,0.1519424,,0.17129858,0.16306101,0.12529139,0.22024362,0.18556191,0.16303869,0.08561291,0.20539983,0.2114518,0.18215306,0.110726945,0.102630235,0.14986455,0.17092423,0.1491514,0.2260429,0.11531555,0.11956228,0.2708537,0.14043717,0.11536737,0.14313848,0.21002294,,,,,,,0.16084737,0.14682569,0.21478447,0.20153022,0.22880173,0.2120117,,,,,,0.14665335,0.21160436,0.19603366,0.10353312,0.13173537,0.14184667,0.19392285,0.21144447,0.09218462,0.1715102,,,,0.21783808,0.21589169,0.1868054,0.17815678,0.12362367,0.14173204,,,0.18659742,0.1361155,0.14038195,0.24594466,0.18261479,0.14198624,0.20264517,,0.22869742,0.12918027,0.09200831,0.21648501,0.17838971,0.12318081,,,,,0.26314354,0.11478828,0.20984815,0.09805844,0.21018732,0.13229516,0.10926026,0.18861678,0.09682174,0.08903594,0.07634733,0.32613194,0.20724115,,,,,,,0.13736759,0.15854865,0.15881,0.13951798,0.1899168,0.059615403,,,0.16687717,,0.13840935,0.09581568,0.21693645,0.22770281,0.16537914,0.16773017,0.21993446,0.19783917,0.23208265,0.19847243,0.1647208,,,,,,0.2260537,0.18717243,0.09303803,0.13318339,0.13300818,,,,,,0.15931998,0.14722621,0.1522025,0.15804552,0.13817075,,0.17281717,,0.12759776,,,0.112109736,,,,,,,,0.16170214,0.054088403,0.16655721,0.23015031,0.16122767,,,,,,,,,,,,,,,,
8,Mouse30392,WT,0.09182315988668832,0.07216538,0.24160033,0.19348317,,,,,,,,,0.09776515,0.09918106,0.15932038,0.09645717,0.16030036,0.19120523,0.12256698,0.19829671,0.25111362,,,,,,,,0.16293423,0.17226785,0.15965198,0.20955534,0.1559507,0.16292399,,0.14864393,0.1539044,0.121031344,0.18661264,0.14827411,0.21781005,0.13918836,0.09312964,0.23937692,0.116253406,0.07118278,0.19057001,,,,,0.15812057,0.13176179,0.19436526,0.10636047,0.16861592,0.098218724,0.06787193,0.13564868,0.08709497,,,,0.10151253,0.12419644,0.19066514,0.14902106,0.0490298,0.13714701,0.14151558,0.11798331,0.09716211,0.04887628,0.039456952,0.18099442,0.050923314,0.11727233,0.100368954,0.10763217,,,,,,0.26609552,0.039262474,0.08023829,0.23560786,0.18073304,0.25309843,0.1491376,0.1493617,0.25432518,,,,0.0737041,,,,,0.10137055,0.10908051,0.08044641,0.09162697,0.13501266,0.11819937,,0.13501483,,,0.15909414,0.1826332,0.17674245,0.11030709,0.051316824,0.08393383,0.15085977,0.15769163,0.16582109,0.20177843,,,,,,0.14285508,0.20345849,0.044886254,0.11924288,0.054656927,0.15141092,0.18706922,0.08965693,0.09700955,0.025092257,0.090309255,0.12642863,0.12911762,,0.18896692,0.03511749,0.13846229,0.06629541,0.14627488,0.09767604,0.1641461,0.11751503,0.14478353,,,,,,,,,,0.08515236,0.12218931,0.22044511,0.0962351,0.12535736,0.09169651,0.06535759,0.15830553,0.15203024,0.08284225,0.06826556,0.12632272,0.13061385,0.17810841,0.1713383,0.06982707,0.1580233,0.0670265,0.14647953,0.15363908,0.12835512,0.13718395,0.11621609,0.124266624,0.117473155,0.31248155,0.108824454,0.17516553,0.100402206,0.103765406,0.114663616,0.10501631,0.05027401,,,0.11447119,0.0930439,0.13869452,0.19327272,0.15132886,0.14361843,0.10021801,0.1186516,0.045630403,0.13346358,0.13937025,0.16404606,0.16941868,0.11510335,0.0700956,0.20446363,0.07002613,0.05760296,0.089064166,,,0.11111609,0.0532517,0.112837486,0.1605091,,0.16039318,0.19294485,0.12445044,0.0987588,0.12827002,0.13300757,0.13054352,0.09618576,0.15646677,0.05924755,0.044267472,0.15890291,0.1070097,0.11019805,0.14839298,0.24392176,,,,,0.1448181,0.1283809,0.111400634,0.13538103,0.09782183,0.104265146,0.09459315,0.105086,0.15537523,0.072923586,0.2094124,0.15879299,,0.18270327,0.14605404,0.08025009,,,,,,,,,,0.17955936,,,,0.12913945,0.08158502,0.08338861,0.055035073,0.105384596,0.158495,0.13113701,0.12211445,0.13441119,0.13616619,0.081732474,0.23537187,,0.11312376,0.15461142,0.08884691,0.19635968,0.14343171,0.26682007,0.098354556,,,,,,0.14590754,,,,0.23395447,,0.07950943,0.16686231
9,Mouse3881,CLOCK,0.08264740627253521,0.06549569,0.082411714,0.111442044,0.046036974,,,,,,,,,,,,,,,,,,,,,,,0.058232706,0.28143165,0.094031595,,,,,0.12259132,0.18196975,,0.04869042,,0.034746654,,0.075963795,,,,,,,,0.096774116,,0.13269621,0.0714763,0.10173496,0.09701709,0.105289936,0.120748915,,,,,0.020655388,,0.03391169,,,0.16639069,,0.102167055,,,,0.0483051,0.04291575,,0.11262573,0.11211727,0.11348034,,,,,,0.02689682,,,,,0.03997882,0.09428717,0.2052907,0.09951882,0.081636466,0.08283333,0.11609839,0.26479,0.0654181,,,,,,,,,0.012375196,,0.12876607,0.06956708,0.04672299,0.091691285,0.09529278,,,,,0.08047732,,0.04808205,0.1295911,0.10731648,0.055711526,0.008002085,0.0037819066,0.00078282034,,0.023134595,0.03678726,0.052680697,0.067253664,0.06492424,0.049353138,0.06463154,0.01970816,0.052963194,,0.1033326,0.20060186,,0.05220326,,,,,,0.012567363,0.060465828,0.07753219,0.08324595,,,0.13262884,,,0.123388745,0.20721096,0.03214965,0.16766572,0.11185524,0.094017215,0.046292555,0.14965194,0.014883744,0.050259225,0.060468357,0.085761674,0.052310497,0.029674346,0.122376636,,,,0.15796676,0.049748182,,0.1464125,,0.14999953,,,,,,,,0.169757,0.11441382,,0.0065594986,0.002525545,0.07921901,0.010364709,0.061195813,0.12251844,0.050089326,0.12411532,0.2669771,0.05038235,0.17818387,0.1964154,0.17352682,0.2989529,0.075365014,0.035636056,0.07989614,0.04724531,0.10690489,0.10828874,0.14808361,,0.02583702,0.13590853,0.09480131,0.025182562,,0.047427848,0.11528135,0.1030245,0.045415614,0.07592338,0.01607919,0.01723945,,0.0026673765,0.092890196,0.12340189,0.104926296,0.2192608,0.022326242,0.09519429,0.15736574,0.22690049,0.16498466,,0.13720696,0.090831004,0.15368298,,0.03253813,0.20914757,0.053697564,0.120941326,0.038820967,0.09949665,0.15922438,0.02706884,,,,0.02480947,0.060619712,0.03624974,0.006577411,0.0028660533,0.060429342,0.054279402,0.09268885,0.018865706,0.13002157,0.14139055,0.052706756,0.023552978,0.027574856,0.13500488,0.09374753,0.08689974,0.07108932,0.03263351,0.042325582,0.1688296,0.24068403,0.1819329,0.010615892,0.07846876,0.04656835,0.071107745,0.16441219,0.12368005,0.0856066,0.014368887,0.015535116,0.16130269,0.026570287,0.11512971,0.057556085,0.16637895,0.04137162,0.045317426,0.057283796,0.062161624,0.08951569,0.03296344,0.16718902,0.0649555,0.03045078,0.09088178,0.024580285,0.030912962,0.014788152,0.09244653,0.056451157
