,mouse,decision,-2,-1,0
0,Mouse0641,center->open,0.19223379,0.20614633,0.19937117
1,Mouse39115,center->open,0.13312882455555558,0.1477021367777778,0.18160861555555557
2,Mouse39121,center->open,0.152624878125,0.1807041175,0.14946670375
3,Mouse39122,center->open,0.23270530699999997,0.26568741599999995,0.261084739
4,Mouse39132,center->open,0.234048912,0.20670175,0.23758097
5,Mouse39135,center->open,0.21588380750000002,0.2295994075,0.2009127725
6,Mouse6674,center->open,0.252126075,0.25029641999999996,0.142384835
7,Mouse69061,center->open,0.12235119,0.243305825,0.269366675
8,Mouse69071,center->open,0.1526167557142857,0.18009255571428567,0.12836252857142855
9,Mouse69075,center->open,0.175164291,0.146407016,0.1634965752
10,Mouse8893,center->open,0.18093125666666665,0.176889598,0.11096363533333332
11,Mouse0641,center->closed,0.16461246999999998,0.1741342416666667,0.18249763399999996
12,Mouse39115,center->closed,0.17390003,0.14458350333333334,0.24990934333333334
13,Mouse39121,center->closed,0.1700592575,0.1504088,0.13904985150000002
14,Mouse39122,center->closed,0.27812219875,0.26072245374999997,0.29669112124999997
15,Mouse39132,center->closed,0.266119898,0.224387918,0.24507260200000003
16,Mouse39135,center->closed,0.24228407624999998,0.20971440200000002,0.2342759725
17,Mouse69061,center->closed,0.17405730250000004,0.14544780124999998,0.16533979125
18,Mouse69075,center->closed,0.14253446,0.16223386499999998,0.17181269500000002
19,Mouse8893,center->closed,0.1507081142857143,0.16607259285714285,0.1686412842857143
