,mouse,decision,-2,-1,0
0,Mouse0641,center->open,4.3837714,4.6185822,4.221119
1,Mouse39115,center->open,3.2415592444444443,3.324338311111111,4.010610788888889
2,Mouse39121,center->open,3.9760654875,4.4968032875,3.9108297125
3,Mouse39122,center->open,4.676015210000001,5.26773375,5.050373549999999
4,Mouse39132,center->open,4.882806,4.31476348,4.848231960000001
5,Mouse39135,center->open,4.401872225,4.492781225,4.165972175
6,Mouse6674,center->open,5.22910115,5.2420095,3.3098853999999998
7,Mouse69061,center->open,3.1643455,5.3707773,6.0723322500000005
8,Mouse69071,center->open,3.7029372714285715,4.290290499999999,3.2147849
9,Mouse69075,center->open,3.9808026400000003,3.40278454,3.746803860000001
10,Mouse8893,center->open,4.139952500000001,4.0014867999999995,2.581202433333333
11,Mouse0641,center->closed,3.907264966666667,4.050618833333333,4.244734583333334
12,Mouse39115,center->closed,3.9564252,3.2941392,5.3661812666666675
13,Mouse39121,center->closed,4.406223075,3.882909325,3.7683747999999997
14,Mouse39122,center->closed,5.442141074999999,5.1141414375,5.6339323624999995
15,Mouse39132,center->closed,5.30921644,4.63393728,4.8906969799999995
16,Mouse39135,center->closed,4.7377331,4.1482039625,4.6338005875
17,Mouse69061,center->closed,4.002527175,3.410134733333333,3.8772010666666668
18,Mouse69075,center->closed,3.1310168999999997,3.7076678000000003,3.9942128500000003
19,Mouse8893,center->closed,3.4976079571428573,3.8468802857142856,3.7849949857142855
