region_pair,flx_mean,epm_mean,oft_mean
"('Amy', 'Cg_Cx')",0.4874886153989381,0.5745306633112732,0.660224756462286
"('Amy', 'Hipp')",0.4863128939182107,0.5636458008204405,0.6034877698839387
"('Amy', 'IL_Cx')",0.4835687395166581,0.5941168094249947,0.6616382401343345
"('Amy', 'Nac')",0.48870520592482286,0.5942160587080394,0.6623292049409827
"('Amy', 'PrL_Cx')",0.5029421415704037,0.6013555233633836,0.6977837556678882
"('Amy', 'Thal')",0.4539784910689118,0.5519492118436724,0.5818776462719774
"('Amy', 'VTA')",0.49032119477723707,0.5527128331162836,0.6300060293250622
"('Cg_Cx', 'Hipp')",0.48714532552949424,0.5545448788530106,0.5878110282003908
"('Cg_Cx', 'IL_Cx')",0.5078173657016498,0.5429848057378832,0.7070376009325232
"('Cg_Cx', 'Nac')",0.5029768322939505,0.6161044960711197,0.7501878541734632
"('Cg_Cx', 'PrL_Cx')",0.4712494738657409,0.56616131445459,0.7027565134332392
"('Cg_Cx', 'Thal')",0.4742792280229202,0.6022104529839818,0.63150429463172
"('Cg_Cx', 'VTA')",0.46552545192952915,0.5605102737510973,0.6236988390622412
"('Hipp', 'IL_Cx')",0.49758389411229453,0.5751582566615471,0.5975405225097996
"('Hipp', 'Nac')",0.47250155817975376,0.5797763426572963,0.5797184778398449
"('Hipp', 'PrL_Cx')",0.46965341850699044,0.5862734118585099,0.632158248973841
"('Hipp', 'Thal')",0.48917277446607194,0.5205934433473753,0.5200907116055102
"('Hipp', 'VTA')",0.5704237686347001,0.5768766961996037,0.5262668457078352
"('IL_Cx', 'Nac')",0.451527029656372,0.6450553115188691,0.7550016986036763
"('IL_Cx', 'PrL_Cx')",0.43389771929267357,0.6676215495857913,0.7676500773594129
"('IL_Cx', 'Thal')",0.4734387356133463,0.6331548105989055,0.6445139934725768
"('IL_Cx', 'VTA')",0.4413935107548281,0.5782945915970358,0.6447568035269539
"('Nac', 'PrL_Cx')",0.4868483127257904,0.6622490015949495,0.7655286763889043
"('Nac', 'Thal')",0.4540473326249334,0.583225734979584,0.6103239699309833
"('Nac', 'VTA')",0.42962583045746244,0.6150863573774016,0.66114776796632
"('PrL_Cx', 'Thal')",0.48131875285848075,0.5943954542899288,0.5519591650292581
"('PrL_Cx', 'VTA')",0.45482910353668893,0.5709487535789761,0.6454242708823895
"('Thal', 'VTA')",0.476435640964167,0.5548134815723678,0.5924699433128331
