,mouse,conditioned,Average Score,Average Tone Score,Average No Tone Score,Average Freeze With Tone Score
0,Mouse04191,0,0.07112975,0.071362466,0.07088029,0.06797226
1,Mouse04195,0,0.06806568,0.06853088,0.067657165,0.069122225
2,Mouse04201,1,0.11202248,0.109434396,0.114530064,0.108954616
3,Mouse04202,0,0.07580818,0.0763964,0.075232506,0.075497754
4,Mouse04203,0,0.08235175,0.08228902,0.08241283,0.0821723
5,Mouse04211,0,0.1000194,0.09753904,0.10261014,0.10227762
6,Mouse04214,0,0.0944434,0.0926701,0.096109115,0.089710146
7,Mouse04215,1,0.10044597,0.09953276,0.101313435,0.10096614
8,Mouse39114,1,0.10433129,0.105048366,0.10365964,0.109452434
9,Mouse39115,1,0.083581574,0.083011985,0.08408268,0.08415735
10,Mouse39121,1,0.10070926,0.10151381,0.09987515,0.10061716
11,Mouse39125,0,0.093280785,0.09307143,0.093485706,0.0943829
12,Mouse39132,0,0.107558794,0.11013214,0.10476864,0.10807287
13,Mouse39133,0,0.07968788,0.07650658,0.08283743,0.078956276
14,Mouse39135,0,0.0924831,0.09092844,0.093909875,0.093384884
15,Mouse9061,0,0.10339863,0.1033351,0.10346649,0.10435118
16,Mouse9065,0,0.09308485,0.093830466,0.092402175,0.095045075
17,Mouse9071,1,0.09075933,0.095021605,0.086875916,
18,Mouse9072,1,0.07805984,0.087323114,0.07011226,
19,Mouse9074,0,0.091579705,0.08952578,0.09387602,0.09079259
20,Mouse9075,0,0.07367263,0.07368133,0.07366398,0.074957125
21,Mouse9084,0,0.08707652,0.08474886,0.089321405,0.086220585
