,mouse,avgScore,avgSocScore,avgObjScore
0,MouseC5C12,0.07670066,0.078982614,0.07891865
1,MouseC5C13,0.07238552,0.07108371,0.074572906
2,MouseC5C20,0.08092932,0.091073774,0.09392699
3,MouseC5C22,0.08534576,0.085581124,0.08582673
4,MouseC5C23,0.050577674,0.050976947,0.05160219
5,MouseC5C24,0.10403986,0.1038037,0.10906374
6,MouseC5S10,0.10664288,0.11209038,0.104242265
7,MouseC5S11,0.101985395,0.10624197,0.09958319
8,MouseC5S12,0.11541225,0.11426869,0.1198203
9,MouseC5S13,0.09452228,0.094600536,0.09149729
10,MouseC5S14,0.11091636,0.108782135,0.11383648
11,MouseC5S23,0.097516626,0.10132879,0.097192794
