,mouse,avgLaserScore,avgBLaserScore,avgYLaserScore
0,Mouse5371,0.117840186,0.12727624,0.105565496
1,Mouse5373,0.11319565,0.12988052,0.09338653
2,Mouse5391,0.110985704,0.12225938,0.09978808
3,Mouse5392,0.13191812,0.13367468,0.13018523
4,Mouse5393,0.11234689,0.11558387,0.10896248
5,Mouse5394,0.11531071,0.13742413,0.08378729
6,Mouse5395,0.09176424,0.09950812,0.0840851
7,Mouse9511,0.10318666,0.10786934,0.09708991
8,Mouse9512,0.10133759,0.10149525,0.101213776
9,Mouse9513,0.12325165,0.12880243,0.11707588
10,Mouse9514,0.12261827,0.13428444,0.10947455
