,mouse,avgScore,avg_non_condition_Score,avg_freezing_w_tone_Score
0,Mouse04191,0.09830582,0.09830582,
1,Mouse04193,0.100350924,0.10153816,0.09766199
2,Mouse04195,0.08872336,0.08868305,0.08883712
3,Mouse04201,0.13185962,0.13143075,0.13273253
4,Mouse04202,0.09072799,0.088391915,0.09455577
5,Mouse04203,0.09717727,0.09858547,0.09446046
6,Mouse04205,0.07631027,0.07684508,0.069446824
7,Mouse04211,0.109963,0.10767048,0.116303824
8,Mouse04213,0.08287937,0.08119079,0.08690365
9,Mouse04214,0.101132385,0.10262553,0.098318405
10,Mouse04215,0.11901466,0.11889262,0.11932817
11,Mouse39111,0.12196978,0.11980253,0.1283487
12,Mouse39113,0.11041684,0.11266229,0.103111856
13,Mouse39114,0.1075781,0.10779896,0.10702798
14,Mouse39115,0.104307555,0.10544068,0.101675496
15,Mouse39121,0.14107516,0.13040484,0.15908135
16,Mouse39122,0.095878825,0.097992405,0.090669535
17,Mouse39124,0.13393272,0.12880482,0.14544004
18,Mouse39125,0.08994305,0.08900345,0.09190881
19,Mouse39132,0.11813435,0.115460485,0.12563883
20,Mouse39133,0.114836544,0.11256649,0.11970628
21,Mouse39134,0.076007575,0.0727899,0.081969075
22,Mouse39135,0.09922812,0.09990495,0.09723799
23,Mouse9001,0.0857237,0.0857237,
24,Mouse9002,0.11323114,0.113897264,0.111352436
25,Mouse9003,0.12701416,0.12701416,
26,Mouse9011,0.11834132,0.11339599,0.12942931
27,Mouse9013,0.1270626,0.1270626,
28,Mouse9021,0.07652048,0.07652048,
29,Mouse9022,0.13377014,0.13377014,
30,Mouse9061,0.12108777,0.12088367,0.12151306
31,Mouse9064,0.09874941,0.09874941,
32,Mouse9065,0.094373666,0.09561096,0.09157796
33,Mouse9071,0.102998175,0.10057058,0.1071434
34,Mouse9072,0.113736525,0.10857098,0.12420005
35,Mouse9074,0.08692684,0.08686173,0.08707289
36,Mouse9075,0.08022217,0.07919484,0.08253274
37,Mouse9081,0.0985759,0.099019356,0.09764332
38,Mouse9084,0.102788545,0.100586675,0.106876664
